#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58573o0461o,185.73396,15.8261625,>20.05,0.0,3.0,o,22.259,58573.4435192,7254.56,9446.14,166.0,184.0,2.7,8.8,182.9,6178.3,792.4,1.54,2.95,2.95,1.0,3.0,-0.432
01a58573o0470o,185.73396,15.8261625,>19.77,0.0,3.0,o,22.066,58573.448424,7273.84,9484.6,194.0,182.7,3.6,8.6,186.3,8016.7,820.6,1.35,3.19,3.01,1.0,3.0,-0.424
01a58573o0492o,185.73396,15.8261625,>19.32,0.0,3.0,o,21.46,58573.4597738,7218.96,9405.25,180.0,185.7,0.2,7.4,181.3,-1386.5,716.6,1.56,3.21,3.03,1.0,3.0,-0.429
01a58573o0512o,185.73396,15.8261625,19.93,0.39,2.31,o,22.255,58573.4704171,7202.98,9522.27,240.0,182.4,19.6,8.5,179.6,4099.4,648.5,2.2,3.07,2.85,1.0,3.0,-0.43
02a58575o0255c,185.73396,15.8261625,>20.45,0.0,3.0,c,22.239,58575.4484564,2377.65,3034.79,163.0,185.4,-0.4,8.8,185.0,2255.8,649.7,2.33,2.62,2.25,1.0,3.0,-0.405
02a58575o0262c,185.73396,15.8261625,20.8,0.54,1.54,c,22.238,58575.452214,2359.8,2996.63,202.0,184.4,12.9,8.4,183.6,4190.0,609.1,1.91,2.63,2.27,1.0,3.0,-0.409
02a58575o0286c,185.73396,15.8261625,>20.36,0.0,3.0,c,22.233,58575.4637836,2413.55,3071.55,201.0,188.6,-10.7,9.6,190.0,6807.5,618.3,1.51,2.61,2.23,1.0,3.0,-0.4095
02a58575o0306c,185.73396,15.8261625,>20.4,0.0,3.0,c,22.23,58575.474417,2433.96,2958.05,184.0,183.5,-3.9,8.7,181.9,-1338.1,726.3,1.65,2.68,2.31,1.0,3.0,-0.405
01a58577o0423o,185.73396,15.8261625,19.73,0.31,2.99,o,22.262,58577.4198289,8210.77,5539.8,204.0,179.7,26.6,8.9,182.2,6142.6,784.6,2.49,2.9,2.68,1.0,3.0,-0.438
01a58577o0456o,185.73396,15.8261625,>20.05,0.0,3.0,o,22.26,58577.4370975,8231.02,5575.4,173.0,183.0,3.0,10.1,189.8,9607.2,687.0,1.36,2.86,2.66,1.0,3.0,-0.443
01a58577o0472o,185.73396,15.8261625,>20.01,0.0,3.0,o,22.203,58577.4456244,8174.19,5499.25,171.0,183.3,-14.8,9.8,194.3,9075.3,698.1,1.96,2.86,2.68,1.0,3.0,-0.44
01a58577o0492o,185.73396,15.8261625,20.25,0.51,1.67,o,22.25,58577.455853,8159.66,5614.78,241.0,183.5,16.0,9.6,183.4,4479.6,685.9,2.6,2.9,2.71,1.0,3.0,-0.44
02a58579o0459c,185.73396,15.8261625,>20.38,0.0,3.0,c,22.249,58579.4361582,1394.74,1091.91,182.0,182.9,5.5,8.9,182.1,2180.5,700.3,1.93,2.63,2.38,1.0,3.0,-0.396
02a58579o0489c,185.73396,15.8261625,>20.38,0.0,3.0,c,22.245,58579.4508796,1372.95,1049.06,160.0,181.7,-7.9,9.1,170.6,-4793.5,571.5,2.0,2.59,2.37,1.0,3.0,-0.401
02a58579o0508c,185.73396,15.8261625,>20.3,0.0,3.0,c,22.244,58579.4608729,1431.44,1129.1,200.0,180.2,7.9,10.0,172.1,-4419.4,586.8,1.23,2.56,2.35,1.0,3.0,-0.399
02a58579o0528c,185.73396,15.8261625,>20.45,0.0,3.0,c,22.24,58579.4706266,1449.38,1008.91,170.0,183.4,3.2,9.1,181.0,1471.4,665.7,1.48,2.49,2.29,1.0,3.0,-0.404
01a58581o0434o,185.73396,15.8261625,>20.0,0.0,3.0,o,22.269,58581.4302511,9265.82,1623.67,185.0,181.2,7.1,10.1,181.8,5500.3,697.8,1.48,2.91,2.74,1.0,3.0,-0.437
