#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58625o0195o,173.845187143,-21.7152571429,>20.44,0.0,3.0,o,22.172,58625.3293866,6826.54,6231.32,174.0,185.6,-0.7,9.4,184.2,864.5,638.4,1.17,2.46,2.13,1.0,3.0,-0.423
02a58625o0202o,173.845187143,-21.7152571429,>20.41,0.0,3.0,o,22.173,58625.3325879,6806.26,6195.29,162.0,185.3,-17.9,9.4,187.4,1557.7,604.5,1.34,2.52,2.14,1.0,3.0,-0.415
02a58625o0215o,173.845187143,-21.7152571429,20.74,0.61,1.34,o,22.168,58625.3387989,6863.97,6273.71,202.0,184.9,14.3,10.7,189.0,695.3,647.5,0.93,2.49,2.14,1.0,3.0,-0.415
02a58625o0236o,173.845187143,-21.7152571429,>20.21,0.0,3.0,o,22.163,58625.3486696,6884.75,6156.62,182.0,183.8,8.9,11.3,182.5,336.0,746.2,1.42,2.47,2.16,1.0,3.0,-0.418
01a58627o0307o,173.845187143,-21.7152571429,>20.24,0.0,3.0,o,22.182,58627.3727904,3415.83,6782.23,214.0,183.3,-0.9,6.0,185.1,1755.4,473.9,1.32,3.33,3.0,1.0,3.0,-0.406
01a58627o0313o,173.845187143,-21.7152571429,20.66,0.62,1.31,o,22.179,58627.3757198,3435.9,6820.61,209.0,180.7,8.5,6.5,179.9,382.5,619.9,1.14,3.33,2.96,1.0,3.0,-0.407
01a58627o0333o,173.845187143,-21.7152571429,>20.14,0.0,3.0,o,22.167,58627.3854948,3376.93,6742.79,202.0,182.8,-3.3,5.5,184.0,1258.8,672.8,1.53,3.63,3.25,1.0,3.0,-0.391
01a58627o0359o,173.845187143,-21.7152571429,>19.7,0.0,3.0,o,22.148,58627.3979768,3352.5,6857.81,187.0,177.3,-7.6,6.5,176.2,-492.7,867.5,1.2,4.0,3.65,1.0,3.0,-0.368
02a58629o0018o,173.845187143,-21.7152571429,None,None,None,o,22.046,58629.2372536,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.452
02a58629o0023o,173.845187143,-21.7152571429,None,None,None,o,22.032,58629.2395406,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.426
02a58629o0185o,173.845187143,-21.7152571429,None,None,None,o,21.648,58629.3198484,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.426
02a58629o0190o,173.845187143,-21.7152571429,>20.06,0.0,3.0,o,21.529,58629.3222187,10006.0,10211.0,192.0,187.2,4.0,8.3,187.6,1076.1,567.4,1.28,2.35,1.99,1.0,3.0,-0.423
02a58629o0196o,173.845187143,-21.7152571429,>19.99,0.0,3.0,o,21.44,58629.3253936,9984.14,10174.6,195.0,184.5,-6.1,8.3,187.2,2002.4,487.5,1.0,2.31,1.98,1.0,3.0,-0.428
02a58629o0211o,173.845187143,-21.7152571429,>19.78,0.0,3.0,o,21.354,58629.3326452,10043.0,10251.8,159.0,184.1,4.5,9.8,182.0,1455.9,756.9,1.5,2.27,1.92,1.0,3.0,-0.426
02a58629o0212o,173.845187143,-21.7152571429,None,None,None,o,21.408,58629.3331027,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.428
02a58629o0222o,173.845187143,-21.7152571429,>20.05,0.0,3.0,o,21.275,58629.3381005,10068.3,10134.9,162.0,184.0,-5.0,7.1,184.5,557.1,393.0,1.31,2.28,1.91,1.0,3.0,-0.433
01a58631o0082o,173.845187143,-21.7152571429,20.65,0.53,1.59,o,22.214,58631.3011397,3408.07,6781.29,204.0,184.0,11.1,7.0,184.3,748.9,488.4,1.33,2.86,2.66,1.0,3.0,-0.445
01a58631o0088o,173.845187143,-21.7152571429,>20.41,0.0,3.0,o,22.214,58631.3039193,3427.17,6819.16,164.0,183.3,-9.0,6.7,182.5,674.3,499.1,1.16,2.91,2.71,1.0,3.0,-0.44
01a58631o0127o,173.845187143,-21.7152571429,>20.39,0.0,3.0,o,22.207,58631.3223061,3372.44,6741.79,174.0,183.7,-8.1,6.7,185.5,1464.3,589.0,1.18,2.9,2.74,1.0,3.0,-0.438
01a58631o0138o,173.845187143,-21.7152571429,20.54,0.52,1.61,o,22.204,58631.3274349,3354.35,6858.47,161.0,184.8,11.6,7.2,183.7,119.8,678.3,1.32,2.91,2.75,1.0,3.0,-0.438
02a58633o0122c,173.845187143,-21.7152571429,None,None,None,c,22.225,58633.28539,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.384
02a58633o0137c,173.845187143,-21.7152571429,21.38,0.7,1.11,c,22.212,58633.2923602,9997.69,10214.6,182.0,181.4,7.3,6.6,180.0,-208.9,446.0,1.83,2.63,2.34,1.0,3.0,-0.394
02a58633o0138c,173.845187143,-21.7152571429,None,None,None,c,22.229,58633.2928165,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.392
02a58633o0141c,173.845187143,-21.7152571429,None,None,None,c,22.221,58633.2942518,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.379
