#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58634o0655c,296.588069,0.858121,20.6,0.42,2.11,c,22.321,58634.5375734,10319.7,9428.17,183.0,181.2,16.9,8.0,180.5,86.0,455.5,0.98,2.51,2.3,1.0,3.0,-0.445
02a58634o0669c,296.588069,0.858121,20.24,0.32,2.93,c,22.321,58634.5444513,10336.6,9470.53,209.0,180.8,22.3,7.6,182.2,1173.2,524.4,0.94,2.57,2.38,1.0,3.0,-0.439
02a58634o0700c,296.588069,0.858121,19.88,0.24,4.05,c,22.323,58634.5589086,10275.9,9397.06,208.0,180.7,33.2,8.2,182.1,516.0,513.6,1.19,2.48,2.29,1.0,3.0,-0.449
02a58634o0701c,296.588069,0.858121,20.35,0.37,2.45,c,22.298,58634.5593663,136.69,9433.15,178.0,181.8,21.1,8.6,183.0,58.2,539.8,1.1,2.49,2.31,1.0,3.0,-0.426
02a58634o0717c,296.588069,0.858121,19.35,0.17,6.06,c,22.297,58634.5667534,153.33,9469.97,216.0,181.9,46.7,7.7,181.6,931.8,529.0,1.14,2.68,2.47,1.0,3.0,-0.411
02a58634o0718c,296.588069,0.858121,20.26,0.34,2.68,c,22.323,58634.5672111,10257.7,9513.95,208.0,180.8,20.6,7.7,180.6,313.0,445.2,0.94,2.65,2.44,1.0,3.0,-0.44
02a58634o0724c,296.588069,0.858121,20.22,0.37,2.48,c,22.298,58634.5701275,95.95,9391.73,192.0,180.6,22.1,8.9,182.1,2508.6,486.5,1.05,2.6,2.4,1.0,3.0,-0.42
02a58634o0745c,296.588069,0.858121,20.95,0.67,1.18,c,22.3,58634.580078,75.34,9510.71,173.0,182.0,11.9,10.1,184.8,1256.9,674.4,0.92,2.54,2.34,1.0,3.0,-0.423
01a58636o0707o,296.588069,0.858121,20.38,0.47,1.86,o,22.274,58636.5719591,2018.85,7440.61,164.0,181.9,13.6,7.3,183.0,1129.2,561.2,1.3,2.99,2.77,1.0,3.0,-0.456
01a58636o0722o,296.588069,0.858121,20.52,0.51,1.67,o,22.274,58636.5792348,2041.55,7478.39,173.0,183.5,11.7,7.0,185.3,1896.2,553.2,1.5,3.02,2.81,1.0,3.0,-0.454
01a58636o0728o,296.588069,0.858121,19.4,0.21,4.6,o,22.273,58636.5820527,1982.91,7401.55,215.0,182.4,33.1,7.2,182.0,1334.8,562.7,0.95,2.9,2.9,1.0,3.0,-0.455
01a58636o0770o,296.588069,0.858121,19.21,0.19,5.33,o,22.269,58636.6021018,1968.18,7514.55,229.0,182.9,38.4,7.2,180.9,873.4,526.6,1.44,3.05,2.84,1.0,3.0,-0.446
02a58642o0587c,296.588069,0.858121,20.64,0.42,2.12,c,22.302,58642.5086254,8359.19,9514.35,188.0,182.1,15.9,7.5,182.1,1308.1,437.8,1.53,2.54,2.28,1.0,3.0,-0.44
02a58642o0597c,296.588069,0.858121,20.81,0.49,1.77,c,22.302,58642.5136345,8372.54,9557.03,195.0,181.8,13.6,7.7,182.9,766.6,470.7,1.09,2.54,2.29,1.0,3.0,-0.44
02a58642o0604c,296.588069,0.858121,19.98,0.26,3.74,c,22.301,58642.5169979,8313.77,9478.85,199.0,182.0,28.8,7.7,183.2,675.2,421.4,1.17,2.56,2.3,1.0,3.0,-0.439
02a58642o0630c,296.588069,0.858121,20.87,0.51,1.68,c,22.305,58642.5298212,8296.64,9595.42,185.0,183.1,12.4,7.4,186.2,902.4,447.9,1.1,2.61,2.32,1.0,3.0,-0.442
01a58644o0509o,296.588069,0.858121,19.42,0.25,3.85,o,22.261,58644.4819979,201.79,9476.1,220.0,179.7,34.3,8.9,178.5,577.7,633.1,1.28,2.92,2.68,1.0,3.0,-0.459
01a58644o0517o,296.588069,0.858121,18.85,0.16,6.28,o,22.269,58644.4858547,184.59,9438.99,255.0,178.4,54.6,8.7,176.8,826.0,671.9,1.04,3.12,2.7,1.0,3.0,-0.453
