#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58689o0562o,343.987773333,-43.43858,>20.25,0.0,3.0,o,22.142,58689.5084369,3863.39,8241.35,156.0,179.8,2.0,12.5,175.9,-719.2,709.7,1.21,2.3,1.98,1.0,3.0,-0.423
02a58689o0570o,343.987773333,-43.43858,>20.32,0.0,3.0,o,22.143,58689.5125659,3880.64,8279.6,190.0,177.8,9.4,13.2,176.3,-298.8,759.3,1.36,2.16,1.88,1.0,3.0,-0.438
02a58689o0585o,343.987773333,-43.43858,>20.24,0.0,3.0,o,22.146,58689.5198458,3820.33,8204.4,194.0,177.5,-1.2,13.5,173.5,-1041.5,804.0,1.25,2.24,1.91,1.0,3.0,-0.424
02a58689o0606o,343.987773333,-43.43858,20.31,0.45,1.96,o,22.149,58689.5302795,3798.17,8320.14,179.0,181.1,26.4,13.5,175.2,-382.5,735.1,1.12,2.21,1.89,1.0,3.0,-0.426
01a58691o0544o,343.987773333,-43.43858,18.89,0.2,4.96,o,22.195,58691.4936568,974.08,2591.43,155.0,174.9,39.2,7.9,154.4,-27633.5,746.9,11.1,3.44,3.23,1.0,3.0,-0.397
01a58691o0565o,343.987773333,-43.43858,>19.93,0.0,3.0,o,22.197,58691.5038715,951.22,2550.81,196.0,174.5,1.5,8.5,170.5,-28053.6,695.8,1.16,3.24,2.92,1.0,3.0,-0.414
01a58691o0579o,343.987773333,-43.43858,None,None,None,o,22.195,58691.5106888,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.417
01a58691o0582o,343.987773333,-43.43858,>19.93,0.0,3.0,o,22.199,58691.5120692,1014.96,2633.43,161.0,177.6,-13.1,8.3,169.7,-32941.9,796.8,3.06,3.28,2.96,1.0,3.0,-0.41
01a58691o0589o,343.987773333,-43.43858,>20.02,0.0,3.0,o,22.201,58691.5152933,1032.53,2518.99,156.0,176.6,-8.0,8.0,170.6,-31030.0,776.7,4.22,3.22,2.9,1.0,3.0,-0.413
01a58695o0523o,343.987773333,-43.43858,>19.75,0.0,3.0,o,22.197,58695.4892889,972.32,2593.6,196.0,172.4,-3.5,7.3,170.1,-28575.0,808.0,2.13,3.71,3.51,1.0,3.0,-0.387
01a58695o0539o,343.987773333,-43.43858,>19.82,0.0,3.0,o,22.2,58695.4970606,950.41,2551.52,164.0,174.9,-1.8,7.7,170.1,-31268.7,688.6,0.93,3.55,3.27,1.0,3.0,-0.39
01a58695o0546o,343.987773333,-43.43858,>19.84,0.0,3.0,o,22.2,58695.5002891,1009.52,2633.32,183.0,175.8,-13.1,6.8,173.7,-29490.2,697.0,1.25,3.71,3.5,1.0,3.0,-0.381
01a58695o0562o,343.987773333,-43.43858,None,None,None,o,22.196,58695.507663,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.389
01a58695o0570o,343.987773333,-43.43858,20.56,0.72,1.07,o,22.201,58695.5113658,1027.74,2520.58,186.0,174.3,7.8,7.3,169.4,-30080.5,977.6,3.68,3.59,3.39,1.0,3.0,-0.391
