#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58023o0289o,348.638891818,-24.9373727273,19.88,0.39,2.33,o,22.263,58023.3853616,1087.49,3377.68,189.0,184.2,20.0,8.6,184.7,-494.9,582.0,1.11,3.37,2.68,1.0,3.0,-0.426
01a58023o0310o,348.638891818,-24.9373727273,>20.1,0.0,3.0,o,22.264,58023.3961667,1110.77,3480.64,198.0,183.9,-1.7,7.8,184.3,275.0,645.6,1.34,3.42,2.75,1.0,3.0,-0.421
01a58023o0315o,348.638891818,-24.9373727273,>20.04,0.0,3.0,o,22.263,58023.3987288,1032.43,3396.68,161.0,185.7,-8.2,8.4,187.9,487.9,651.3,1.17,3.39,2.73,1.0,3.0,-0.425
01a58023o0348o,348.638891818,-24.9373727273,>20.09,0.0,3.0,o,22.262,58023.4155836,1038.58,3580.35,212.0,189.6,5.1,7.9,191.0,-84.8,663.4,1.32,3.44,2.73,1.0,3.0,-0.422
01a58027o0140o,348.638891818,-24.9373727273,>19.25,0.0,3.0,o,22.269,58027.3706182,7692.93,6400.01,213.0,205.2,10.5,14.0,208.2,1917.9,1281.3,1.08,3.75,3.06,1.0,3.0,-0.41
01a58027o0171o,348.638891818,-24.9373727273,>19.34,0.0,3.0,o,22.27,58027.3854351,7647.85,6417.69,247.0,209.3,6.4,15.1,208.6,142.5,1109.6,0.92,3.52,2.8,1.0,3.0,-0.425
01a58027o0176o,348.638891818,-24.9373727273,>19.28,0.0,3.0,o,22.268,58027.3877253,7721.9,6507.45,178.0,210.0,-11.4,15.8,208.3,-869.8,1246.7,0.87,3.51,2.82,1.0,3.0,-0.425
01a58027o0189o,348.638891818,-24.9373727273,19.3,0.42,2.15,o,22.27,58027.3937096,7636.35,6568.51,219.0,209.4,30.7,14.3,211.4,2387.8,1339.4,1.2,3.57,2.85,1.0,3.0,-0.421
02a58033o0322o,348.638891818,-24.9373727273,>19.59,0.0,3.0,o,22.229,58033.390223,814.03,6627.79,124.0,183.5,13.3,28.1,187.6,709.0,1298.7,1.13,2.09,1.94,1.0,3.0,-0.461
02a58033o0339o,348.638891818,-24.9373727273,>19.55,0.0,3.0,o,22.232,58033.3981091,800.14,6584.14,188.0,183.2,-8.9,28.5,181.6,-2939.2,1525.9,1.17,2.12,1.96,1.0,3.0,-0.456
02a58033o0348o,348.638891818,-24.9373727273,>19.44,0.0,3.0,o,22.231,58033.4022504,10419.2,6610.81,224.0,167.2,2.7,30.7,166.4,1806.6,1855.3,1.22,2.14,1.99,1.0,3.0,-0.457
02a58033o0356o,348.638891818,-24.9373727273,>19.58,0.0,3.0,o,22.228,58033.4059524,855.23,6661.81,194.0,183.9,17.6,27.5,182.0,1710.0,1305.0,1.32,2.12,1.97,1.0,3.0,-0.461
02a58033o0364o,348.638891818,-24.9373727273,19.14,0.32,2.89,o,22.231,58033.4096233,10403.1,6573.92,235.0,162.3,81.6,28.2,163.0,626.7,1379.8,0.72,2.13,1.99,1.0,3.0,-0.456
02a58033o0372o,348.638891818,-24.9373727273,>19.56,0.0,3.0,o,22.226,58033.413298,892.23,6547.59,164.0,169.6,6.1,28.2,175.1,1478.1,1305.1,1.03,2.1,1.97,1.0,3.0,-0.458
02a58033o0381o,348.638891818,-24.9373727273,>19.32,0.0,3.0,o,22.23,58033.4174683,10459.9,6649.93,74.0,158.6,-42.7,33.8,168.6,3991.3,1867.8,0.69,2.15,2.01,1.0,3.0,-0.451
02a58033o0398o,348.638891818,-24.9373727273,>18.32,0.0,3.0,o,22.228,58033.4252788,10497.4,6532.02,102.0,101.6,74.2,81.5,98.8,-6349.0,3834.6,0.19,2.2,2.04,1.0,3.0,-0.446
02a58037o0137o,348.638891818,-24.9373727273,20.92,0.66,1.19,o,22.234,58037.3693804,2310.21,3935.36,213.0,184.4,12.3,10.3,184.7,-238.0,634.4,1.1,2.42,2.29,1.0,3.0,-0.425
02a58037o0154o,348.638891818,-24.9373727273,>20.34,0.0,3.0,o,22.233,58037.3772127,2291.85,3897.51,168.0,183.1,-0.1,11.2,181.7,644.3,649.6,1.05,2.33,2.2,1.0,3.0,-0.433
02a58037o0171o,348.638891818,-24.9373727273,>20.25,0.0,3.0,o,22.231,58037.3850507,2344.8,3975.79,176.0,187.9,-2.8,11.7,189.8,1804.8,683.4,1.29,2.37,2.23,1.0,3.0,-0.435
02a58037o0188o,348.638891818,-24.9373727273,>20.21,0.0,3.0,o,22.223,58037.3928781,2363.53,3859.06,198.0,182.1,-1.9,14.2,179.9,-1075.3,651.2,0.91,2.18,2.06,1.0,3.0,-0.444
01a58039o0267o,348.638891818,-24.9373727273,20.47,0.6,1.36,o,22.227,58039.3840415,8964.91,3724.6,181.0,182.4,11.7,8.6,182.3,362.0,537.6,1.26,3.05,2.84,1.0,3.0,-0.428
01a58043o0368o,348.638891818,-24.9373727273,>19.66,0.0,3.0,o,21.944,58043.3617208,7243.83,5205.71,178.0,187.1,5.4,8.0,185.7,447.3,653.4,1.04,3.4,3.01,1.0,3.0,-0.409
01a58043o0385o,348.638891818,-24.9373727273,>19.4,0.0,3.0,o,21.644,58043.3695719,7265.1,5276.28,159.0,183.3,0.9,7.8,183.5,1067.6,584.9,1.14,3.43,2.95,1.0,3.0,-0.412
01a58043o0402o,348.638891818,-24.9373727273,>19.66,0.0,3.0,o,21.82,58043.3773921,7214.82,5230.13,174.0,187.6,-3.5,6.9,188.7,818.2,641.3,1.04,3.53,3.01,1.0,3.0,-0.409
01a58043o0419o,348.638891818,-24.9373727273,>19.95,0.0,3.0,o,22.098,58043.3852228,7200.53,5377.57,161.0,181.0,1.0,7.3,181.7,592.3,526.8,1.23,3.45,2.86,1.0,3.0,-0.415
01a58047o0347o,348.638891818,-24.9373727273,>19.74,0.0,3.0,o,22.258,58047.350122,9948.71,5737.42,190.0,182.8,0.4,8.7,183.2,913.2,780.5,1.39,3.56,3.29,1.0,3.0,-0.426
01a58047o0364o,348.638891818,-24.9373727273,20.33,0.65,1.22,o,22.262,58047.3579572,9970.64,5808.32,196.0,181.9,11.2,9.2,180.9,58.7,688.6,1.19,3.76,2.91,1.0,3.0,-0.394
01a58047o0371o,348.638891818,-24.9373727273,19.26,0.35,2.64,o,22.262,58047.3611722,348.09,5899.87,217.0,181.5,21.9,8.3,180.0,-131.3,854.6,0.92,4.42,3.51,1.0,3.0,-0.361
01a58047o0381o,348.638891818,-24.9373727273,>19.74,0.0,3.0,o,22.26,58047.3657948,9919.12,5761.55,210.0,184.1,0.1,10.3,186.0,878.7,799.2,1.2,3.44,2.88,1.0,3.0,-0.411
01a58047o0388o,348.638891818,-24.9373727273,>19.74,0.0,3.0,o,22.262,58047.3690497,370.18,5970.09,206.0,182.8,4.1,9.7,183.8,403.3,638.3,1.09,3.53,2.99,1.0,3.0,-0.399
01a58047o0398o,348.638891818,-24.9373727273,>19.83,0.0,3.0,o,22.258,58047.3736372,9904.65,5909.16,196.0,183.3,1.5,9.1,183.1,156.7,805.6,1.17,3.52,2.92,1.0,3.0,-0.405
01a58047o0405o,348.638891818,-24.9373727273,20.25,0.52,1.61,o,22.261,58047.3768971,318.34,5925.54,157.0,183.0,14.0,8.7,182.3,243.4,673.5,1.37,3.35,2.76,1.0,3.0,-0.42
01a58047o0422o,348.638891818,-24.9373727273,20.65,0.71,1.08,o,22.258,58047.3846922,303.83,6073.64,174.0,184.0,9.5,8.8,184.7,25.0,724.3,1.22,3.35,2.81,1.0,3.0,-0.417
02a58049o0183c,348.638891818,-24.9373727273,>20.12,0.0,3.0,c,22.007,58049.3612997,9499.0,6101.33,169.0,182.8,-2.2,9.5,182.5,-133.0,525.7,1.23,2.56,2.34,1.0,3.0,-0.446
02a58049o0200c,348.638891818,-24.9373727273,>20.31,0.0,3.0,c,22.236,58049.3691414,9482.48,6063.48,192.0,182.6,5.0,9.4,183.7,1526.7,556.8,1.41,2.5,2.5,1.0,3.0,-0.442
02a58049o0208c,348.638891818,-24.9373727273,20.83,0.61,1.32,c,22.26,58049.3727922,9535.74,6140.2,202.0,182.8,12.1,9.2,184.1,308.0,598.0,1.09,2.6,2.37,1.0,3.0,-0.444
02a58049o0241c,348.638891818,-24.9373727273,19.78,0.28,3.34,c,22.248,58049.3878485,9573.16,6023.24,220.0,181.7,31.1,9.3,182.6,1707.5,502.5,1.06,2.64,2.37,1.0,3.0,-0.441
02a58053o0279o,348.638891818,-24.9373727273,20.35,0.49,1.76,o,22.224,58053.3126756,413.21,6619.74,202.0,183.1,25.9,14.7,184.9,2801.5,813.5,1.39,2.15,2.02,1.0,3.0,-0.451
02a58053o0294o,348.638891818,-24.9373727273,20.64,0.67,1.16,o,22.16,58053.3195479,396.13,6579.9,195.0,182.3,18.4,15.8,181.4,-846.6,793.2,0.96,2.17,2.03,1.0,3.0,-0.445
02a58053o0303o,348.638891818,-24.9373727273,>19.98,0.0,3.0,o,22.138,58053.3236673,10014.7,6622.7,182.0,182.1,-16.7,17.1,189.5,7883.8,844.1,0.89,2.14,2.0,1.0,3.0,-0.448
02a58053o0309o,348.638891818,-24.9373727273,>20.12,0.0,3.0,o,22.198,58053.3264456,450.71,6659.81,212.0,200.2,12.6,16.3,199.7,485.1,953.6,1.03,2.11,1.97,1.0,3.0,-0.453
02a58053o0318o,348.638891818,-24.9373727273,>20.13,0.0,3.0,o,22.212,58053.3305494,9997.45,6584.09,176.0,182.9,15.6,16.1,178.9,-2054.7,803.2,1.27,2.13,1.99,1.0,3.0,-0.449
02a58053o0324o,348.638891818,-24.9373727273,>20.04,0.0,3.0,o,22.139,58053.3332873,469.49,6545.32,176.0,171.5,-1.5,17.1,169.6,-137.9,747.3,1.03,2.08,1.95,1.0,3.0,-0.455
02a58053o0333o,348.638891818,-24.9373727273,20.78,0.69,1.14,o,22.204,58053.3374054,10052.3,6661.05,220.0,194.0,17.5,15.4,191.4,247.8,842.4,1.17,2.12,1.99,1.0,3.0,-0.456
02a58053o0348o,348.638891818,-24.9373727273,19.93,0.38,2.37,o,22.22,58053.3442798,10072.2,6544.09,231.0,180.4,37.9,16.0,179.5,-478.0,940.1,0.96,2.15,2.03,1.0,3.0,-0.447
