#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58206o0168o,115.957279286,56.7172828571,>19.35,0,3,o,22.251,58206.3372734,5098.66,3277.1,175,176.6,8.9,11.5,177.7,2053.9,1012.6,1.2,4.05,3.1,1,3,-0.413
01a58206o0178o,115.957279286,56.7172828571,>19.31,0,3,o,22.251,58206.3419277,5128.41,3333.24,173,178.4,-3.1,12.4,176.1,-238,1042.3,0.89,3.98,3.05,1,3,-0.418
01a58206o0203o,115.957279286,56.7172828571,>19.24,0,3,o,22.248,58206.3535375,5093.3,3294.03,188,173.7,-8.7,12.8,174.3,67.5,1117.2,0.86,4.1,3.05,1,3,-0.413
01a58206o0219o,115.957279286,56.7172828571,18.74,0.28,3.34,o,22.246,58206.3608717,5087.02,3436.25,215,169.1,39.7,11.9,167.4,1099.4,1242.7,1.05,4.18,3.11,1,3,-0.402
02a58208o0122o,115.957279286,56.7172828571,>19.23,0,3,o,22.236,58208.2831826,5765.14,9618.15,166,176.3,14.1,19.8,172.9,312.5,1376.5,1.17,3.12,2.57,1,3,-0.426
02a58208o0143o,115.957279286,56.7172828571,>17.15,0,3,o,20.996,58208.2928382,5742.96,9577.89,-102,-63.7,9.5,49.5,-64.9,-1522.7,3139.8,0.85,2.92,2.39,1,3,-0.45
02a58220o0198o,115.957279286,56.7172828571,>20.39,0,3,o,22.2,58220.3152908,6230.79,6857.78,156,181.5,-7,12.1,182.1,546.3,675,1.48,2.19,2,1,3,-0.447
02a58220o0231o,115.957279286,56.7172828571,>20.35,0,3,o,22.195,58220.330638,6207.99,6814.81,134,181.2,-26.7,13,183.1,502.2,570.1,0.9,2.16,1.94,1,3,-0.442
02a58220o0246o,115.957279286,56.7172828571,>20.31,0,3,o,22.192,58220.3375574,6260.52,6890.65,175,180.4,-17.8,12.5,179.6,-72.1,672.7,1.05,2.24,2.03,1,3,-0.447
02a58220o0265o,115.957279286,56.7172828571,>18.46,0,3,o,20.641,58220.3464441,6283.07,6777.38,167,175.8,-17.7,16.8,178.2,-590.8,961.2,0.9,2.22,2,1,3,-0.449
02a58224o0005c,115.957279286,56.7172828571,19.98,0.35,2.62,c,22.279,58224.3067063,4005.08,8812.86,183,182.7,20.4,7.8,183.4,2.5,600.8,1.19,3.1,2.78,1,3,-0.38
02a58224o0021c,115.957279286,56.7172828571,20.35,0.46,1.91,c,22.275,58224.314186,3971.45,8773.42,192,183.6,14.9,7.8,183.6,-18.9,662.8,1.11,3.09,2.7,1,3,-0.373
02a58224o0043c,115.957279286,56.7172828571,20.47,0.49,1.74,c,22.246,58224.3246233,4021.44,8849.89,193,183.1,15.1,8.7,182.7,-108.9,578.2,1.27,2.77,2.56,1,3,-0.394
02a58224o0067c,115.957279286,56.7172828571,19.96,0.34,2.76,c,22.245,58224.3359205,4042.53,8727.71,208,183.1,25.7,9.3,184.6,787.5,603.9,1.14,2.67,2.49,1,3,-0.4
01a58234o0032o,115.957279286,56.7172828571,17.17,0.61,1.31,o,20.888,58234.2884912,5341.3,2378.27,527,402.7,49.4,37.6,411.8,7487.2,3266.8,1.08,3.75,3.44,1,3,-0.426
01a58234o0045o,115.957279286,56.7172828571,>13.0,0,3,o,20.048,58234.2946404,5289.22,2323.01,780,506.8,-43.5,515,697.8,64667.2,32855.7,0.01,3.78,3.38,1,3,-0.444
01a58234o0058o,115.957279286,56.7172828571,17.58,0.56,1.49,o,21.939,58234.3006655,5293.09,2459.34,365,185.9,106.4,71.5,227.9,31013.4,4313.4,0.07,3.45,3.04,1,3,-0.428
01a58238o0045o,115.957279286,56.7172828571,17.64,0.13,8.03,o,22.16,58238.2765586,3618.45,2040.34,211,152.4,139.7,17.4,152.7,1838.8,1496.1,1.26,3.25,2.88,1,3,-0.426
01a58238o0060o,115.957279286,56.7172828571,17.57,0.18,5.59,o,22.061,58238.2836478,3656.67,2104.19,437,256.5,134.2,24,253.2,2794.4,2150.4,1.2,3.26,2.92,1,3,-0.428
01a58238o0074o,115.957279286,56.7172828571,17.58,0.12,8.43,o,22.181,58238.2902113,3617.67,2047.75,280,165.5,148.4,17.6,164.5,2243.4,1452.6,1.16,3.28,2.9,1,3,-0.42
01a58238o0090o,115.957279286,56.7172828571,>15.42,0,3,o,20.275,58238.2978211,3616.09,2189.66,-1265,-1397.7,-122.5,83.6,-1382.9,2825.7,6355.2,0.78,3.41,3.08,1,3,-0.434
02a58244o0123o,115.957279286,56.7172828571,>16.69,0,3,o,19.558,58244.2818936,4546.99,7816.5,237,192,20,34.3,191.7,1319,2114.8,0.84,2.11,1.94,1,3,-0.452
02a58244o0159o,115.957279286,56.7172828571,>15.32,0,3,o,18.757,58244.2987777,4585.32,7854.68,221,239.8,-1.8,44.8,239.4,560.2,2259.9,1.21,2.4,2.21,1,3,-0.433
02a58244o0177o,115.957279286,56.7172828571,18.75,0.35,2.66,o,21.108,58244.3072574,4605.98,7734.58,225,178,39.3,14.8,179.5,117.1,717.5,0.81,2.21,2.03,1,3,-0.441
