#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58230o0580o,223.701566,5.507554,>18.59,0.0,3.0,o,20.675,58230.5185835,4025.69,6361.14,178.0,185.3,6.3,13.0,185.1,27.4,801.2,1.21,2.38,2.2,1.0,3.0,-0.436
02a58230o0602o,223.701566,5.507554,>19.4,0.0,3.0,o,21.306,58230.5293155,4008.06,6322.86,172.0,185.7,-14.2,11.0,185.9,294.7,692.8,1.08,2.38,2.21,1.0,3.0,-0.434
02a58230o0623o,223.701566,5.507554,>19.62,0.0,3.0,o,21.44,58230.5394955,4067.51,6399.32,170.0,182.2,-18.7,10.6,182.9,766.0,521.0,1.23,2.33,2.17,1.0,3.0,-0.44
02a58230o0645o,223.701566,5.507554,>19.64,0.0,3.0,o,21.513,58230.5500465,4087.94,6283.86,180.0,183.4,8.8,11.4,183.5,586.3,665.3,1.1,2.3,2.15,1.0,3.0,-0.443
02a58234o0262o,223.701566,5.507554,>19.21,0.0,3.0,o,22.089,58234.4894872,2360.73,7452.72,186.0,184.1,-16.4,23.1,186.5,1810.9,1721.9,1.0,2.65,2.32,1.0,3.0,-0.449
02a58234o0283o,223.701566,5.507554,>19.74,0.0,3.0,o,22.233,58234.4996225,2341.68,7413.3,140.0,181.0,-30.5,17.1,182.8,779.2,827.8,1.02,2.55,2.27,1.0,3.0,-0.448
02a58234o0304o,223.701566,5.507554,19.93,0.58,1.41,o,22.235,58234.5096588,2400.16,7488.61,146.0,177.7,19.6,13.9,176.0,-482.6,908.9,0.98,3.07,2.79,1.0,3.0,-0.427
02a58234o0325o,223.701566,5.507554,>18.78,0.0,3.0,o,21.922,58234.5195926,2421.66,7371.48,36.0,186.0,-9.2,29.9,186.0,1413.8,1975.0,1.47,2.63,2.3,1.0,3.0,-0.466
02a58246o0168o,223.701566,5.507554,>20.29,0.0,3.0,o,22.173,58246.4899861,1449.95,6569.7,174.0,179.2,7.7,13.1,179.6,-101.9,708.9,0.9,2.18,1.98,1.0,3.0,-0.44
02a58246o0190o,223.701566,5.507554,>19.82,0.0,3.0,o,21.88,58246.5006101,1432.1,6529.95,143.0,174.0,7.7,15.2,168.5,-740.1,919.3,1.8,2.2,1.99,1.0,3.0,-0.447
02a58246o0211o,223.701566,5.507554,>20.19,0.0,3.0,o,22.123,58246.5107242,1492.58,6604.85,170.0,181.3,-7.7,13.7,179.4,-343.5,683.3,1.04,2.18,1.98,1.0,3.0,-0.444
02a58246o0234o,223.701566,5.507554,>20.3,0.0,3.0,o,22.207,58246.5217246,1513.9,6487.34,149.0,178.5,-9.3,12.6,179.8,428.6,734.3,1.25,2.25,2.05,1.0,3.0,-0.44
01a58248o0321o,223.701566,5.507554,>19.68,0.0,3.0,o,21.737,58248.4943387,6123.12,6233.96,177.0,182.1,5.6,8.0,180.4,-448.8,517.6,0.93,3.07,2.7,1.0,3.0,-0.439
01a58248o0343o,223.701566,5.507554,20.41,0.67,1.17,o,22.002,58248.5049312,6149.4,6313.22,211.0,181.7,9.8,8.4,179.9,47.6,607.9,1.04,3.18,2.8,1.0,3.0,-0.424
01a58248o0364o,223.701566,5.507554,>19.79,0.0,3.0,o,21.856,58248.5150502,6097.18,6275.46,191.0,180.2,0.8,7.7,180.7,609.4,553.9,0.86,3.19,2.74,1.0,3.0,-0.433
01a58248o0386o,223.701566,5.507554,>19.71,0.0,3.0,o,21.788,58248.5256177,6084.39,6430.21,209.0,179.6,4.9,7.7,177.9,-7.3,526.0,1.09,3.19,2.75,1.0,3.0,-0.433
01a58252o0556o,223.701566,5.507554,>20.04,0.0,3.0,o,22.272,58252.4844234,6519.85,4940.78,218.0,179.3,4.1,7.8,179.2,612.6,609.8,1.07,3.39,2.95,1.0,3.0,-0.424
01a58252o0578o,223.701566,5.507554,>20.13,0.0,3.0,o,22.27,58252.4949478,6546.47,5019.5,188.0,182.9,-0.8,7.5,184.0,-39.8,528.9,1.08,3.47,2.76,1.0,3.0,-0.431
01a58252o0601o,223.701566,5.507554,>20.01,0.0,3.0,o,22.265,58252.5059562,6495.36,4984.32,185.0,181.9,7.5,8.1,182.4,-29.8,707.5,0.98,3.46,2.84,1.0,3.0,-0.436
01a58252o0623o,223.701566,5.507554,>19.99,0.0,3.0,o,22.262,58252.5163821,6484.09,5138.82,185.0,183.4,6.0,8.1,185.8,966.0,778.2,1.23,3.5,2.86,1.0,3.0,-0.434
02a58254o0293c,223.701566,5.507554,>20.21,0.0,3.0,c,21.985,58254.4785975,4111.57,6809.36,198.0,184.9,-3.4,7.3,185.8,1529.5,702.7,1.12,2.75,2.56,1.0,3.0,-0.425
02a58254o0316c,223.701566,5.507554,>20.34,0.0,3.0,c,22.065,58254.48933,4093.96,6770.6,186.0,185.4,4.3,6.6,183.4,184.6,447.1,1.29,2.82,2.64,1.0,3.0,-0.411
02a58254o0339c,223.701566,5.507554,>20.45,0.0,3.0,c,22.153,58254.5000932,4154.33,6847.35,207.0,185.9,0.1,6.7,183.7,518.6,552.5,1.45,2.77,2.58,1.0,3.0,-0.414
02a58254o0362c,223.701566,5.507554,>20.33,0.0,3.0,c,22.109,58254.5108407,4175.89,6730.68,202.0,185.4,-0.7,7.3,183.4,-668.2,528.9,1.11,2.75,2.57,1.0,3.0,-0.413
01a58260o0423o,223.701566,5.507554,19.38,0.25,3.91,o,22.267,58260.4556479,6305.15,2610.91,202.0,179.3,31.7,8.1,180.0,869.0,529.3,1.04,3.21,2.83,1.0,3.0,-0.425
01a58260o0447o,223.701566,5.507554,19.42,0.24,3.99,o,22.263,58260.4671233,6332.31,2694.11,217.0,175.2,31.5,7.9,176.5,579.8,601.2,1.04,3.19,2.74,1.0,3.0,-0.435
01a58260o0471o,223.701566,5.507554,20.91,0.75,1.01,o,22.26,58260.4786305,6279.12,2660.93,176.0,179.3,7.5,7.4,176.3,-1200.6,639.3,1.16,3.25,2.87,1.0,3.0,-0.424
01a58260o0495o,223.701566,5.507554,19.84,0.33,2.86,o,22.259,58260.4901342,6269.74,2819.5,226.0,178.3,20.6,7.2,178.6,-253.7,487.4,1.03,3.25,2.81,1.0,3.0,-0.425
02a58262o0432o,223.701566,5.507554,>17.25,0.0,3.0,o,21.121,58262.4381502,4525.87,5225.82,33.0,78.6,22.9,70.7,82.4,1330.1,4761.2,1.11,2.35,2.12,1.0,3.0,-0.443
02a58262o0454o,223.701566,5.507554,>17.42,0.0,3.0,o,21.053,58262.4489255,4507.33,5186.71,44.0,105.2,-61.0,57.5,112.7,-492.6,3057.9,1.06,2.33,2.11,1.0,3.0,-0.4475
02a58262o0475o,223.701566,5.507554,18.32,0.55,1.51,o,21.681,58262.4592,4565.83,5261.7,158.0,202.1,88.6,58.8,240.9,26745.1,2606.6,0.32,2.35,2.13,1.0,3.0,-0.444
02a58262o0497o,223.701566,5.507554,>16.15,0.0,3.0,o,19.743,58262.4698169,4586.42,5145.65,-73.0,4.2,-25.6,52.4,12.4,526.0,3295.0,0.91,2.42,2.16,1.0,3.0,-0.442
01a58272o0433o,223.701566,5.507554,18.37,0.13,7.86,o,22.203,58272.4660349,8775.53,6049.73,271.0,183.0,76.2,9.7,184.2,2545.2,697.4,1.26,3.2,2.84,1.0,3.0,-0.421
01a58272o0456o,223.701566,5.507554,18.16,0.11,9.2,o,22.232,58272.4770652,8723.39,6010.89,239.0,182.2,93.8,10.2,184.7,2105.4,700.6,1.21,3.23,2.86,1.0,3.0,-0.418
01a58272o0478o,223.701566,5.507554,18.24,0.13,7.6,o,22.229,58272.4879227,8712.81,6164.01,239.0,181.7,83.6,11.0,184.2,2020.9,873.2,0.99,3.26,2.95,1.0,3.0,-0.414
01a58276o0409o,223.701556667,5.50753666667,18.91,0.44,2.0,o,21.068,58276.4350524,5697.45,4139.13,199.0,180.1,14.4,7.2,180.4,19.7,488.3,1.09,3.41,3.04,1.0,3.0,-0.413
01a58276o0431o,223.701556667,5.50753666667,17.98,0.18,5.42,o,21.187,58276.4456043,5724.11,4216.05,223.0,180.3,40.1,7.4,179.4,-26.9,551.1,0.9,3.32,2.93,1.0,3.0,-0.415
01a58276o0452o,223.701556667,5.50753666667,>17.64,0.0,3.0,o,19.989,58276.4556865,5672.4,4175.79,183.0,181.9,7.4,8.5,180.6,13.4,655.8,1.04,3.45,2.96,1.0,3.0,-0.426
