#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58243o0662o,241.395096,32.66313,>16.0,0.0,3.0,o,19.747,58243.5562937,5524.53,2174.36,-170.0,-169.1,-37.7,75.1,-150.6,7090.1,3795.4,0.87,2.18,1.92,1.0,3.0,-0.497
02a58243o0667o,241.395096,32.66313,>17.15,0.0,3.0,o,20.038,58243.5585752,5574.54,2252.48,144.0,224.1,-70.1,31.5,223.0,-1107.1,1549.7,1.17,2.29,1.98,1.0,3.0,-0.485
02a58243o0700o,241.395096,32.66313,>18.09,0.0,3.0,o,20.802,58243.5748182,5590.08,2134.57,193.0,208.4,-27.4,27.8,205.1,-105.4,1572.6,0.83,2.19,1.99,1.0,3.0,-0.47
02a58247o0113o,241.395096,32.66313,20.13,0.31,3.04,o,22.238,58247.5344196,6195.71,1947.33,200.0,180.0,30.7,10.1,179.9,5.9,516.8,2.06,2.23,2.05,1.0,3.0,-0.435
02a58247o0134o,241.395096,32.66313,>20.64,0.0,3.0,o,22.234,58247.5446653,6179.32,1907.0,164.0,181.0,8.7,10.2,179.8,-316.0,523.2,2.16,2.17,1.97,1.0,3.0,-0.439
02a58247o0169o,241.395096,32.66313,>20.5,0.0,3.0,o,22.23,58247.5620115,6228.84,1984.2,156.0,181.7,-18.4,10.5,183.8,529.6,489.4,1.51,2.27,2.06,1.0,3.0,-0.4335
02a58247o0177o,241.395096,32.66313,>20.42,0.0,3.0,o,22.228,58247.565691,6262.13,1866.87,198.0,180.2,9.0,12.3,177.8,886.2,547.9,1.2,2.17,1.98,1.0,3.0,-0.445
01a58249o0061o,241.395096,32.66313,>19.97,0.0,3.0,o,22.222,58249.5130847,10410.9,1031.53,224.0,181.6,2.6,8.2,179.9,-415.1,583.3,1.27,3.32,2.91,1.0,3.0,-0.428
01a58249o0081o,241.395096,32.66313,19.54,0.29,3.25,o,22.236,58249.5227224,937.5,1215.99,168.0,183.0,26.0,8.0,174.6,-2120.9,559.0,2.45,3.33,2.77,1.0,3.0,-0.432
01a58249o0082o,241.395096,32.66313,19.85,0.37,2.45,o,22.263,58249.5231796,10435.4,1112.07,193.0,184.5,18.4,7.5,184.0,688.7,743.7,1.55,3.45,2.93,1.0,3.0,-0.423
