#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58098o0903o,156.527053462,47.2740757692,20.26,0.48,1.78,o,22.273,58098.6177023,7470.46,9383.94,176.0,181.8,11.9,6.7,181.5,115.2,517.1,1.01,3.51,3.11,1.0,3.0,-0.411
01a58098o0922o,156.527053462,47.2740757692,>20.13,0.0,3.0,o,22.263,58098.6267386,7468.02,9310.95,195.0,181.5,6.6,7.2,180.5,-76.3,499.9,1.18,3.31,3.0,1.0,3.0,-0.418
01a58098o0941o,156.527053462,47.2740757692,>20.07,0.0,3.0,o,22.182,58098.6356024,7528.62,9357.37,177.0,182.5,4.9,6.5,181.5,140.7,434.7,1.27,3.52,3.07,1.0,3.0,-0.409
01a58098o0960o,156.527053462,47.2740757692,>20.27,0.0,3.0,o,22.261,58098.6445805,7562.47,9205.88,156.0,183.2,3.5,6.5,183.9,1799.8,542.4,1.38,3.31,2.9,1.0,3.0,-0.418
02a58100o0457o,156.527053462,47.2740757692,>20.64,0.0,3.0,o,22.246,58100.636574,8580.86,8831.27,144.0,182.5,-21.7,8.6,184.1,614.4,510.5,1.37,2.45,2.09,1.0,3.0,-0.446
02a58100o0476o,156.527053462,47.2740757692,>20.46,0.0,3.0,o,22.242,58100.6463591,8564.88,8792.11,205.0,182.4,-1.6,11.2,183.0,-540.9,651.7,1.35,2.33,1.97,1.0,3.0,-0.461
02a58100o0495o,156.527053462,47.2740757692,>20.44,0.0,3.0,o,22.242,58100.6564758,8614.33,8872.07,188.0,181.1,-9.4,11.2,181.8,1422.6,565.5,1.3,2.35,2.0,1.0,3.0,-0.459
02a58100o0514o,156.527053462,47.2740757692,>19.35,0.0,3.0,o,22.248,58100.6664115,8639.01,8749.8,154.0,185.9,16.5,31.5,179.6,647.5,1577.9,1.05,2.32,1.98,1.0,3.0,-0.461
01a58102o0903o,156.527053462,47.2740757692,20.18,0.44,2.01,o,22.268,58102.6089592,7824.78,1015.96,201.0,183.6,15.3,7.6,184.6,802.1,537.5,1.28,3.23,2.8,1.0,3.0,-0.422
01a58102o0922o,156.527053462,47.2740757692,>20.03,0.0,3.0,o,22.27,58102.6187445,7825.79,941.24,217.0,185.3,-2.7,7.4,185.0,805.6,650.8,1.16,3.5,3.05,1.0,3.0,-0.403
01a58102o0940o,156.527053462,47.2740757692,None,None,None,o,22.274,58102.6274755,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4185
01a58102o0941o,156.527053462,47.2740757692,20.61,0.6,1.36,o,22.269,58102.627934,7888.02,979.85,207.0,186.1,10.2,7.5,186.0,724.4,657.0,1.37,3.25,2.82,1.0,3.0,-0.421
01a58102o0960o,156.527053462,47.2740757692,>20.16,0.0,3.0,o,22.269,58102.6366982,7923.24,828.5,168.0,181.9,-10.5,7.2,181.0,-30.6,568.5,1.19,3.33,2.9,1.0,3.0,-0.419
01a58110o0867o,156.527053462,47.2740757692,20.64,0.52,1.62,o,22.271,58110.5868643,6834.8,945.09,191.0,182.4,9.7,6.0,182.8,847.4,475.9,1.11,3.22,2.89,1.0,3.0,-0.425
