#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58324o0799o,20.58136,-2.49677833333,>20.13,0.0,3.0,o,22.246,58324.6217318,825.46,8501.81,163.0,182.2,4.5,7.5,182.7,543.0,521.2,1.1,3.22,2.91,1.0,3.0,-0.425
02a58325o0654o,20.58136,-2.49677833333,>20.11,0.0,3.0,o,22.23,58325.581225,9622.05,9313.09,146.0,168.3,-12.2,18.7,167.2,827.7,1019.1,1.66,2.04,1.84,1.0,3.0,-0.461
02a58325o0671o,20.58136,-2.49677833333,>20.09,0.0,3.0,o,22.235,58325.5907232,9639.59,9354.5,167.0,171.4,-19.7,19.3,173.8,-861.0,1071.5,1.36,2.02,1.85,1.0,3.0,-0.455
02a58325o0688o,20.58136,-2.49677833333,>20.16,0.0,3.0,o,22.236,58325.6000823,9579.14,9278.56,159.0,172.0,-16.9,18.0,172.1,1196.6,1210.7,0.9,2.03,1.86,1.0,3.0,-0.453
02a58325o0704o,20.58136,-2.49677833333,>20.26,0.0,3.0,o,22.24,58325.6090315,9560.01,9397.14,167.0,176.3,-16.6,15.8,179.7,493.8,772.7,1.26,2.07,1.89,1.0,3.0,-0.443
02a58326o0739o,20.58136,-2.49677833333,>18.68,0.0,3.0,o,21.9,58326.5962138,2357.91,1826.17,306.0,342.2,3.0,40.6,344.0,-1440.3,2249.2,0.72,2.29,2.08,1.0,3.0,-0.453
02a58326o0757o,20.58136,-2.49677833333,>18.87,0.0,3.0,o,21.815,58326.6050197,2375.69,1867.1,201.0,181.0,14.3,33.3,180.4,1252.5,1937.7,0.8,2.25,2.02,1.0,3.0,-0.443
02a58326o0774o,20.58136,-2.49677833333,>18.06,0.0,3.0,o,21.421,58326.6135157,2315.42,1788.85,145.0,206.5,16.7,52.0,191.3,-2079.9,2961.7,1.01,2.17,1.96,1.0,3.0,-0.455
02a58326o0792o,20.58136,-2.49677833333,>18.02,0.0,3.0,o,21.341,58326.6223566,2295.81,1906.21,251.0,203.0,-2.9,50.4,198.2,-1753.1,3047.1,1.07,2.17,1.95,1.0,3.0,-0.452
01a58328o0617o,20.58136,-2.49677833333,17.44,0.39,2.3,o,21.619,58328.5410539,1063.6,9733.51,143.0,195.8,112.1,48.7,191.5,8761.0,3875.6,1.24,3.05,2.72,1.0,3.0,-0.483
01a58328o0634o,20.58136,-2.49677833333,>17.97,0.0,3.0,o,21.731,58328.5492491,1046.43,9695.52,111.0,212.0,-39.3,38.4,214.9,4558.2,3013.5,1.19,3.08,2.71,1.0,3.0,-0.47
01a58328o0651o,20.58136,-2.49677833333,>18.1,0.0,3.0,o,21.731,58328.5572881,1105.83,9774.57,261.0,298.3,6.2,34.2,285.3,-3020.5,2697.4,0.86,3.08,2.69,1.0,3.0,-0.461
01a58328o0655o,20.58136,-2.49677833333,14.5,0.73,1.05,o,21.903,58328.5591848,1089.72,25.47,-308.0,143.1,2203.0,2100.8,-1259.0,-868216.0,119476.0,0.14,3.03,2.74,1.0,3.0,-0.464
01a58328o0668o,20.58136,-2.49677833333,>18.48,0.0,3.0,o,21.947,58328.5653797,1124.41,9657.31,188.0,216.5,6.9,27.7,211.5,1183.7,2204.0,1.08,3.13,2.81,1.0,3.0,-0.449
02a58330o0272o,20.58136,-2.49677833333,18.48,0.45,1.97,o,22.178,58330.6047019,9976.0,8987.34,378.0,185.5,145.0,73.5,182.4,1028.7,4023.3,1.01,2.11,1.93,1.0,3.0,-0.471
02a58330o0298o,20.58136,-2.49677833333,>16.95,0.0,3.0,o,21.87,58330.6177167,9993.07,9030.48,283.0,209.3,77.0,205.9,222.7,12365.3,12396.8,0.78,2.25,2.0,1.0,3.0,-0.47
02a58330o0309o,20.58136,-2.49677833333,>18.69,0.0,3.0,o,22.147,58330.6233914,241.12,8966.15,253.0,209.9,-12.5,50.3,212.0,3559.3,3127.4,0.96,2.29,2.09,1.0,3.0,-0.458
02a58330o0323o,20.58136,-2.49677833333,19.74,0.67,1.17,o,22.181,58330.6299461,660.98,1611.6,186.0,182.2,37.1,31.7,180.9,-350.8,1701.4,0.96,2.34,2.19,1.0,3.0,-0.459
02a58330o0334o,20.58136,-2.49677833333,>18.25,0.0,3.0,o,22.193,58330.6352802,254.83,9004.7,204.0,190.8,-51.3,87.0,202.5,4200.5,4495.4,1.48,2.18,1.99,1.0,3.0,-0.458
02a58330o0340o,20.58136,-2.49677833333,>18.32,0.0,3.0,o,22.199,58330.6382474,680.23,1496.66,87.0,140.3,31.9,65.6,149.9,1416.4,4334.9,0.94,2.43,2.23,1.0,3.0,-0.45
