#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58408o0970o,128.413908571,55.5980828571,17.67,0.07,15.03,o,22.221,58408.6462507,2021.38,4759.56,446,179.1,293,19.5,177.2,3400.7,915.6,1.29,2.25,2.03,1,3,-0.431
02a58412o0933o,128.413908571,55.5980828571,17.45,0.04,29.61,o,22.218,58412.6262898,9344.39,4632.19,565,179.3,367.2,12.4,178.1,5227.9,645.7,1.46,2.17,2.01,1,3,-0.454
02a58412o0951o,128.413908571,55.5980828571,17.51,0.04,27.35,o,22.229,58412.6346656,9366.01,4673.73,542,181.4,350.1,12.8,182.6,5135.8,641.9,1.36,2.21,2.01,1,3,-0.428
02a58412o0970o,128.413908571,55.5980828571,17.6,0.05,22.54,o,22.224,58412.6436402,9312.02,4598.85,456,181.8,306.5,13.6,187.8,3953.7,568.7,1.08,2.22,2.07,1,3,-0.45
02a58412o0988o,128.413908571,55.5980828571,17.3,0.07,14.13,o,22.233,58412.6521623,9292.08,4718.52,576,176.9,405.5,28.7,177.5,5180.6,1647.8,0.71,2.22,2.06,1,3,-0.4585
01a58414o0924o,128.413911739,55.5981104348,17.23,0.06,18.78,o,22.256,58414.6278899,1062.71,6798.58,462,184.5,234.8,12.5,186.9,6566.6,1057.7,1.14,3.14,2.78,1,3,-0.43
01a58414o0928o,128.413911739,55.5981104348,17.71,0.09,12.07,o,22.251,58414.6299394,10435.2,6704.53,326,182.1,153.3,12.7,191.7,10858.4,1005.5,1.31,3.08,2.76,1,3,-0.445
01a58414o0941o,128.413911739,55.5981104348,17.35,0.06,17.26,o,22.255,58414.6368462,1049.03,6762.47,388,182.8,189.9,11,187.1,4344,807.1,1.08,3.28,2.98,1,3,-0.419
01a58414o0945o,128.413911739,55.5981104348,17.61,0.08,12.32,o,22.252,58414.6388493,10412.5,6663.13,326,182.1,138,11.2,188.2,7614.4,968.8,1.07,3.43,3.12,1,3,-0.405
01a58414o0958o,128.413911739,55.5981104348,17.19,0.09,11.78,o,22.261,58414.6457363,1104.33,6836.21,405,183,228.5,19.4,184,7293.6,1520.5,1.02,3.22,2.92,1,3,-0.427
01a58414o0962o,128.413911739,55.5981104348,17.69,0.21,4.71,o,22.263,58414.6477968,10468.5,6740.66,266,179.3,153.4,32.6,181.3,3017.4,2341.2,1.04,3.11,2.82,1,3,-0.4415
02a58416o0834o,128.413882143,55.5981042857,17.28,0.06,17.63,o,22.218,58416.5752661,8410.14,3621.72,561,171,401.9,22.8,170.2,4554.2,1514.5,1.06,2.3,2.07,1,3,-0.4335
02a58416o0851o,128.413882143,55.5981042857,17.39,0.06,16.31,o,22.221,58416.5831673,8430.76,3659.71,488,171.8,353.9,21.7,172.6,5478.7,1282.6,0.72,2.36,2.09,1,3,-0.417
02a58416o0868o,128.413882143,55.5981042857,17.26,0.06,17.37,o,22.225,58416.5910354,8375.7,3584.12,552,172.9,375.2,21.6,174.2,2476.5,1462,1.02,2.45,2.17,1,3,-0.406
02a58416o0885o,128.413882143,55.5981042857,17.33,0.06,16.35,o,22.226,58416.5989257,8354.12,3702.32,491,170.2,346.6,21.2,171.7,4297.9,1278.8,0.89,2.47,2.17,1,3,-0.405
01a58418o0051o,128.413882143,55.5981042857,17.28,0.36,2.55,o,22.226,58418.6546492,601.03,7141.77,766,168.9,177.5,69.5,179.6,4311.5,6507.7,1.34,3.52,3.1,1,3,-0.444
01a58426o0613o,128.413907727,55.5981068182,17.16,0.04,26.12,o,22.238,58426.5956166,1121.81,7916.8,391,181.5,201.1,7.7,182.7,6522.3,687,1.08,3.51,3.13,1,3,-0.409
01a58426o0631o,128.413907727,55.5981068182,17.22,0.04,23.91,o,22.239,58426.6040816,1098.48,7879.84,368,181.6,153,6.4,183,7359.1,597.1,1.48,3.91,3.56,1,3,-0.387
01a58426o0648o,128.413907727,55.5981068182,17.1,0.04,29.86,o,22.241,58426.6120535,1152.17,7956.4,455,182.2,232.9,7.8,181.4,6835.6,550.2,1.34,3.31,3.01,1,3,-0.412
01a58426o0657o,128.413907727,55.5981068182,17.6,0.07,15.14,o,22.236,58426.6163856,10493.3,7826.44,288,174.3,115.1,7.6,183.3,5122.5,610.8,1.1,3.72,3.46,1,3,-0.391
01a58426o0666o,128.413907727,55.5981068182,17.18,0.04,27.7,o,22.241,58426.6206049,1171.68,7839.39,438,177.8,221.6,8,181.8,7347.9,634.1,1.25,3.28,2.95,1,3,-0.417
01a58426o0675o,128.413907727,55.5981068182,17.31,0.04,25.82,o,22.238,58426.6249467,10468,7785.12,326,178,204,7.9,180.6,2002.2,609.3,1.23,3.22,2.88,1,3,-0.419
01a58426o0692o,128.413907727,55.5981068182,17.6,0.21,4.66,o,22.234,58426.6329387,10532.7,7867.16,264,168.5,129.1,27.7,186.6,-18810.4,2271.9,0.16,3.51,3.21,1,3,-0.41
01a58426o0710o,128.413907727,55.5981068182,None,None,None,o,22.237,58426.6415044,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.366
02a58428o0759c,128.413912414,55.5980972414,17.19,0.03,41.43,c,22.297,58428.593672,9405.02,5831.89,447,182.2,327.3,7.9,182.3,3281,365.4,1.37,2.72,2.55,1,3,-0.413
02a58428o0777c,128.413912414,55.5980972414,17.18,0.02,43.99,c,22.302,58428.6020301,9423.92,5871.52,451,182,325.5,7.4,182.7,6321.4,389.6,1.53,2.79,2.57,1,3,-0.388
02a58428o0787c,128.413912414,55.5980972414,17.11,0.03,31.68,c,22.294,58428.6066453,47.83,5807.73,603,182,370.6,11.7,180.7,2569.2,742.9,1.5,2.63,2.48,1,3,-0.416
02a58428o0796c,128.413912414,55.5980972414,17.18,0.03,42.22,c,22.3,58428.6107967,9372.82,5798.92,441,182,350.4,8.3,183.2,3055.2,431.6,1.54,2.64,2.47,1,3,-0.418
02a58428o0805c,128.413912414,55.5980972414,17.17,0.03,33.5,c,22.297,58428.6149242,70.79,5849.26,558,181.1,348.4,10.4,182.3,5968.6,580.1,1.51,2.56,2.56,1,3,-0.422
02a58428o0814c,128.413912414,55.5980972414,17.19,0.03,41.64,c,22.301,58428.61912,9354.4,5917.63,551,182.2,349.8,8.4,182.6,6365,441.4,1.48,2.54,2.54,1,3,-0.419
02a58428o0824c,128.413912414,55.5980972414,17.28,0.04,24.04,c,22.296,58428.623762,18.69,5769.37,540,180.9,324.6,13.5,183.8,4151.3,944.3,1.63,2.61,2.43,1,3,-0.425
02a58428o0842c,128.413912414,55.5980972414,None,None,None,c,22.301,58428.6321062,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.42
01a58430o0792o,128.4138925,55.5980966667,17.1,0.04,29.47,o,22.243,58430.5784497,671.83,5423.57,445,181.8,218.1,7.4,179.2,2729.2,469.3,1.45,3.56,2.98,1,3,-0.422
