###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,Sky,ZP,Obs
58343.637911,19.635,1.953,51,99,o,0,1.05,69.73733,-20.66226,6674.32,4487.81,3.78,3.52,-86.1,-0.411,16.95,17.60,01a58343o0591o
58343.624439,21.447,1.677,10,16,o,0,1.07,69.73733,-20.66226,6637.78,4450.10,3.89,3.54,-80.1,-0.380,19.00,20.83,01a58343o0562o
58343.636503,18.458,0.765,150,115,o,0,0.90,69.73733,-20.66226,6601.57,4411.83,4.49,4.19,-89.6,-0.371,17.11,18.00,01a58343o0588o
58345.620606,22.773,13.500,3,38,c,0,1.29,69.73733,-20.66226,3778.14,7445.96,2.63,2.43,-34.9,-0.400,18.26,20.03,02a58345o0842c
58345.636536,-18.712,0.796,-119,95,c,0,1.29,69.73733,-20.66226,3722.63,7407.49,2.62,2.42,-24.6,-0.410,17.11,18.08,02a58345o0876c
58341.638285,18.875,1.506,102,154,c,0,1.49,69.73733,-20.66226,3671.22,5975.64,2.79,2.54,-37.7,-0.441,16.63,17.56,02a58341o0880c
58341.634122,19.282,0.840,70,59,c,0,0.97,69.73733,-20.66226,3726.17,6052.38,2.81,2.59,-62.1,-0.398,17.69,18.69,02a58341o0871c
58341.617055,20.174,0.322,31,10,c,0,1.00,69.73733,-20.66226,3708.11,6014.08,2.66,2.48,-54.4,-0.400,19.66,21.59,02a58341o0834c
58345.628521,19.473,0.379,59,22,c,0,1.01,69.73733,-20.66226,3795.52,7484.36,2.56,2.40,-15.4,-0.402,18.75,20.08,02a58345o0859c
58337.632415,-21.670,6.260,-8,49,c,0,1.65,69.73733,-20.66226,1033.51,6636.32,2.72,2.56,-31.2,-0.403,17.71,18.67,02a58337o0859c
58347.638491,18.609,1.118,131,146,o,0,1.74,69.73733,-20.66226,9321.12,5645.71,3.28,2.83,-81.6,-0.453,16.98,17.38,01a58347o0779o
58347.610289,20.931,0.703,15,11,o,0,1.29,69.73733,-20.66226,9261.00,5724.93,3.18,2.83,-84.3,-0.420,19.34,21.09,01a58347o0718o
58347.614904,20.312,0.485,27,13,o,0,0.97,69.73733,-20.66226,9244.25,5686.75,3.14,2.76,-82.7,-0.423,19.31,21.05,01a58347o0728o
58361.598045,19.927,0.489,39,19,o,0,1.43,69.73733,-20.66226,2362.12,8049.53,2.29,1.99,-33.8,-0.430,19.06,19.75,02a58361o0695o
58347.624153,21.157,1.016,12,13,o,0,1.49,69.73733,-20.66226,9300.70,5762.70,3.13,2.76,-81.0,-0.424,19.21,20.70,01a58347o0748o
58361.614774,20.035,0.625,35,22,o,0,0.79,69.73733,-20.66226,2286.61,8088.86,2.21,2.00,-13.7,-0.440,19.08,19.82,02a58361o0728o
58361.605478,19.652,0.398,50,20,o,0,1.12,69.73733,-20.66226,2306.71,7972.15,2.23,2.00,-35.8,-0.428,19.11,19.78,02a58361o0711o
58363.600356,15.521,0.012,2248,27,o,0,781.31,69.73733,-20.66226,7313.29,4993.05,3.11,2.77,-83.4,-0.431,18.87,20.08,01a58363o0743o
58363.607731,20.677,1.069,20,21,o,0,1.10,69.73733,-20.66226,7368.54,5069.52,3.10,2.74,-82.1,-0.435,18.88,20.10,01a58363o0759o
58363.592527,19.180,0.295,77,23,o,0,0.84,69.73733,-20.66226,7331.82,5032.17,3.18,2.81,-80.7,-0.428,18.84,20.07,01a58363o0726o
58363.615584,19.762,0.411,45,19,o,0,1.05,69.73733,-20.66226,7385.73,4953.13,3.20,2.82,-81.5,-0.443,18.90,20.14,01a58363o0776o
58367.587508,19.676,0.312,49,15,o,0,0.82,69.73733,-20.66226,577.54,4489.06,2.98,2.64,-84.2,-0.440,19.41,21.10,01a58367o0795o
58367.595354,20.137,0.380,32,12,o,0,1.20,69.73733,-20.66226,558.81,4450.88,3.03,2.70,-82.6,-0.431,19.42,21.12,01a58367o0812o
58367.603894,20.055,0.356,34,12,o,0,1.12,69.73733,-20.66226,612.22,4530.19,3.13,2.75,-77.1,-0.426,19.36,21.09,01a58367o0829o
58367.596740,19.544,0.224,55,12,o,0,1.42,69.73733,-20.66226,10210.82,4390.69,3.02,2.61,-84.8,-0.441,19.39,21.05,01a58367o0815o
58367.605284,19.938,0.352,38,14,o,0,0.84,69.73733,-20.66226,10191.04,4350.98,3.10,2.77,-84.3,-0.429,19.33,21.06,01a58367o0832o
58367.611753,19.523,0.219,56,12,o,0,0.99,69.73733,-20.66226,629.08,4414.78,2.99,2.65,-83.2,-0.435,19.42,21.14,01a58367o0846o
58367.613149,19.458,0.216,60,13,o,0,0.80,69.73733,-20.66226,10247.11,4426.64,3.10,2.78,-82.5,-0.428,19.36,21.08,01a58367o0849o
58367.622016,19.802,0.325,44,14,o,0,0.78,69.73733,-20.66226,10264.94,4308.99,3.02,2.70,-83.1,-0.434,19.35,21.07,01a58367o0866o
58369.581862,19.341,0.155,67,10,o,0,1.10,69.73733,-20.66226,3395.00,5348.13,2.08,1.88,-35.7,-0.448,19.56,20.65,02a58369o0795o
58369.589219,19.352,0.149,66,10,o,0,1.28,69.73733,-20.66226,3411.11,5386.75,2.11,1.91,-26.6,-0.442,19.59,20.67,02a58369o0811o
58369.604041,19.611,0.229,52,12,o,0,0.82,69.73733,-20.66226,3335.33,5425.35,2.15,1.92,-39.8,-0.438,19.64,20.78,02a58369o0843o
58369.596609,19.323,0.138,68,9,o,0,1.34,69.73733,-20.66226,3355.26,5309.68,2.10,1.89,-39.3,-0.444,19.60,20.78,02a58369o0827o
58371.577888,19.579,0.317,54,17,o,0,1.20,69.73733,-20.66226,7169.09,5093.53,3.18,2.85,-86.0,-0.422,19.14,20.55,01a58371o0785o
58371.585269,19.055,0.172,87,15,o,0,1.27,69.73733,-20.66226,7151.82,5053.86,3.32,2.98,-89.0,-0.414,19.16,20.71,01a58371o0801o
58371.593134,19.034,0.169,88,15,o,0,1.13,69.73733,-20.66226,7207.24,5130.68,3.32,2.98,-84.6,-0.416,19.19,20.79,01a58371o0818o
58371.600525,21.354,1.489,10,16,o,0,0.89,69.73733,-20.66226,7224.41,5014.06,3.31,2.98,-89.5,-0.416,19.21,20.91,01a58371o0834o
58375.555093,18.253,0.097,181,18,o,0,23.76,69.73733,-20.66226,399.65,3649.60,3.12,2.72,-84.6,-0.432,19.07,20.57,01a58375o0299o
58375.562011,18.585,0.129,134,17,o,0,0.91,69.73733,-20.66226,380.37,3611.91,3.09,2.72,-86.1,-0.432,19.16,20.72,01a58375o0314o
58375.568465,18.805,0.147,109,16,o,0,0.92,69.73733,-20.66226,435.41,3690.97,3.04,2.67,-86.7,-0.435,19.20,20.69,01a58375o0328o
58375.564312,19.897,0.371,40,15,o,0,1.61,69.73733,-20.66226,10036.92,3559.73,3.09,2.71,-83.4,-0.434,19.12,20.57,01a58375o0319o
58375.570770,19.734,0.362,46,17,o,0,0.86,69.73733,-20.66226,10017.89,3520.16,3.03,2.67,-84.1,-0.440,19.20,20.64,01a58375o0333o
58375.578510,19.241,0.248,73,18,o,0,0.83,69.73733,-20.66226,451.60,3575.81,3.38,2.98,-81.1,-0.409,19.11,20.71,01a58375o0343o
58375.587302,18.939,0.221,96,21,o,0,1.19,69.73733,-20.66226,10093.10,3478.51,3.12,2.79,-86.8,-0.430,18.91,20.35,01a58375o0362o
58375.580830,19.443,0.285,61,17,o,0,1.06,69.73733,-20.66226,10073.28,3595.25,3.11,2.77,-86.2,-0.430,19.07,20.54,01a58375o0348o
58381.649243,18.054,0.455,218,99,o,0,1.24,69.73733,-20.66226,9946.27,2293.46,2.86,2.40,0.9,-0.318,17.08,17.00,02a58381o0850o
58381.642320,19.622,0.496,52,26,o,0,0.98,69.73733,-20.66226,291.87,2271.50,2.50,2.22,-59.0,-0.388,18.60,18.95,02a58381o0835o
58381.644148,18.450,0.252,151,38,o,0,0.78,69.73733,-20.66226,9964.76,2332.40,2.44,2.15,-64.2,-0.417,18.29,18.46,02a58381o0839o
58381.627226,18.657,0.096,125,12,o,0,1.74,69.73733,-20.66226,313.82,2307.84,2.19,2.02,86.9,-0.441,19.42,20.40,02a58381o0802o
58383.579555,18.679,0.195,123,24,o,0,1.00,69.73733,-20.66226,7254.73,2450.96,4.50,3.08,-1.8,-0.389,18.75,20.19,01a58383o0774o
58383.552409,19.172,0.315,78,24,o,0,1.06,69.73733,-20.66226,7198.11,2530.18,3.34,3.07,-79.6,-0.427,18.62,19.72,01a58383o0716o
58383.568486,18.735,0.179,116,21,o,0,1.14,69.73733,-20.66226,7182.42,2490.72,3.29,2.94,-70.3,-0.410,18.84,19.96,01a58383o0750o
58383.574944,19.296,0.294,70,20,o,0,1.01,69.73733,-20.66226,7235.58,2567.68,3.37,2.98,-17.1,-0.417,18.87,20.09,01a58383o0764o
58385.577128,18.615,0.277,130,36,o,0,1.52,69.73733,-20.66226,2559.83,7226.64,2.11,1.89,-16.6,-0.449,18.34,18.54,02a58385o0781o
58385.586824,18.703,0.562,120,67,o,0,1.40,69.73733,-20.66226,2575.16,7265.19,2.28,1.97,-37.1,-0.435,17.39,17.35,02a58385o0802o
58385.596497,22.444,44.000,4,168,o,0,1.53,69.73733,-20.66226,2518.54,7187.03,2.27,1.95,-41.5,-0.436,16.86,16.80,02a58385o0823o
58385.606355,18.765,0.310,113,35,o,0,1.47,69.73733,-20.66226,2479.07,7302.72,2.11,1.91,-30.8,-0.444,18.39,18.59,02a58385o0844o
58386.488521,18.453,0.695,151,105,o,0,2.18,69.73733,-20.66226,10057.74,6661.69,2.13,1.91,16.8,-0.450,17.85,18.01,02a58386o0365o
58386.512959,18.598,0.567,132,75,o,0,0.75,69.73733,-20.66226,443.17,6692.59,2.14,1.93,-26.7,-0.452,17.39,17.55,02a58386o0414o
58386.497123,17.928,0.679,245,166,o,0,1.25,69.73733,-20.66226,10076.64,6700.54,2.34,2.14,15.6,-0.449,17.51,17.49,02a58386o0382o
58386.505707,17.504,0.593,362,214,o,0,1.21,69.73733,-20.66226,10005.14,6620.59,2.14,1.90,-6.3,-0.455,17.61,17.60,02a58386o0399o
58386.529834,17.856,0.640,262,168,o,0,0.98,69.73733,-20.66226,368.41,6730.84,2.20,2.00,-13.8,-0.441,17.32,17.49,02a58386o0448o
58386.504616,19.854,2.725,42,113,o,0,1.16,69.73733,-20.66226,424.30,6654.86,2.12,1.94,35.1,-0.461,17.42,17.34,02a58386o0397o
58386.514040,-20.862,10.424,-16,171,o,0,1.82,69.73733,-20.66226,9987.50,6736.75,2.08,1.88,21.6,-0.473,17.51,17.37,02a58386o0416o
58386.521519,18.821,0.437,108,47,o,0,0.87,69.73733,-20.66226,388.07,6614.89,2.17,1.95,35.3,-0.459,18.24,18.26,02a58386o0431o
58387.573577,19.024,0.337,89,30,o,0,1.11,69.73733,-20.66226,8306.99,3300.78,3.54,3.21,-84.1,-0.415,18.38,19.49,01a58387o0655o
58387.593108,19.111,0.380,82,31,o,0,0.96,69.73733,-20.66226,8341.71,3338.67,3.61,3.24,-87.4,-0.404,18.46,19.55,01a58387o0697o
58387.583339,18.502,0.225,144,32,o,0,0.89,69.73733,-20.66226,8287.92,3262.25,3.54,3.15,-88.5,-0.409,18.44,19.54,01a58387o0676o
58387.602807,18.656,0.224,125,28,o,0,1.31,69.73733,-20.66226,8376.20,3221.24,3.64,3.30,-84.6,-0.399,18.46,19.57,01a58387o0718o
58389.538105,18.960,0.354,95,34,o,0,1.30,69.73733,-20.66226,3312.16,8371.23,2.48,2.08,-44.3,-0.407,18.71,19.16,02a58389o0637o
58389.551892,18.576,0.213,135,29,o,0,1.49,69.73733,-20.66226,3273.89,8332.03,2.36,2.00,-43.4,-0.412,18.79,19.28,02a58389o0667o
58389.545006,18.569,0.234,136,32,o,0,1.02,69.73733,-20.66226,3328.70,8409.88,2.38,2.03,-42.9,-0.416,18.81,19.23,02a58389o0652o
58389.558793,18.805,0.265,109,29,o,0,1.22,69.73733,-20.66226,3253.54,8448.46,2.34,2.05,-42.5,-0.423,18.83,19.30,02a58389o0682o
58391.540578,18.398,0.174,159,28,o,0,0.93,69.73733,-20.66226,7684.78,3954.61,3.31,2.98,-77.2,-0.416,18.56,19.67,01a58391o0730o
58391.530913,19.261,0.361,72,26,o,0,0.96,69.73733,-20.66226,7703.92,3993.63,3.38,3.02,-77.5,-0.416,18.53,19.52,01a58391o0709o
58391.553940,18.889,0.246,101,25,o,0,1.03,69.73733,-20.66226,7757.27,3913.48,3.76,2.97,-4.8,-0.391,18.56,19.68,01a58391o0759o
58391.556705,19.055,0.317,87,28,o,0,0.92,69.73733,-20.66226,7739.36,4029.70,3.51,2.94,-9.9,-0.402,18.51,19.66,01a58391o0765o
58393.537424,18.563,0.256,136,35,o,0,0.97,69.73733,-20.66226,3143.04,5018.84,2.23,2.05,35.0,-0.441,18.31,19.20,02a58393o0729o
58393.527019,18.716,0.187,118,22,o,0,1.21,69.73733,-20.66226,3125.33,4981.03,2.19,2.02,41.6,-0.445,18.86,19.58,02a58393o0707o
58393.555062,18.556,0.093,137,13,o,0,1.40,69.73733,-20.66226,3066.03,5058.59,2.36,2.08,-39.6,-0.426,19.36,20.28,02a58393o0760o
58393.558262,18.520,0.080,142,11,o,0,1.17,69.73733,-20.66226,3084.67,4942.13,2.15,1.97,-32.3,-0.443,19.38,20.28,02a58393o0767o
58395.551549,18.676,0.152,123,19,o,0,1.10,69.73733,-20.66226,7925.67,5147.88,3.19,2.80,-71.8,-0.420,18.99,20.55,01a58395o0699o
58395.530798,18.850,0.155,105,16,o,0,1.09,69.73733,-20.66226,7873.15,5228.20,3.28,2.86,-11.7,-0.411,19.03,20.56,01a58395o0654o
58395.544634,19.038,0.203,88,18,o,0,1.28,69.73733,-20.66226,7908.41,5264.58,3.15,2.76,-30.7,-0.422,19.00,20.52,01a58395o0684o
58395.537720,19.000,0.165,91,15,o,0,1.42,69.73733,-20.66226,7853.91,5189.14,3.21,2.78,-10.7,-0.416,19.05,20.60,01a58395o0669o
