#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58337o0859c,69.7373193023,-20.6622213953,>18.73,0,3,c,22.235,58337.6324146,1032.49,6635.25,177,185.3,-4.3,36.2,190,2706.7,2410,1.24,2.72,2.56,1,3,-0.403
02a58341o0834c,69.7373193023,-20.6622213953,20.07,0.29,3.27,c,22.24,58341.6170553,3707.09,6013.01,205,181.8,23.2,7.1,182.8,620.9,379.9,0.93,2.66,2.48,1,3,-0.4
02a58341o0871c,69.7373193023,-20.6622213953,19.22,0.64,1.24,c,22.29,58341.6341223,3725.16,6051.31,226,191.4,48.9,39.5,192.2,5704.1,3144.9,0.91,2.81,2.59,1,3,-0.398
02a58341o0880c,69.7373193023,-20.6622213953,>17.6,0,3,c,22.374,58341.6382846,3670.2,5974.57,320,221.3,79.3,114.3,228.6,-1004.7,8131.7,1.3,2.79,2.54,1,3,-0.441
01a58343o0562o,69.7373193023,-20.6622213953,19.57,0.31,3.05,o,22.21,58343.6244393,6636.8,4449.17,218,181.2,17.4,5.7,181.1,969,510.5,0.89,3.89,3.54,1,3,-0.38
01a58343o0588o,69.7373193023,-20.6622213953,18.16,0.47,1.85,o,22.243,58343.6365027,6600.59,4410.9,173,174.2,49.3,26.7,186.9,10691.8,3919.8,1.02,4.49,4.19,1,3,-0.371
01a58343o0591o,69.7373193023,-20.6622213953,>18.05,0,3,o,22.252,58343.637911,6673.34,4486.88,466,248.9,30.5,36.1,256.8,5292.3,3475.2,0.91,3.78,3.52,1,3,-0.411
02a58345o0842c,69.7373193023,-20.6622213953,>19.15,0,3,c,20.939,58345.6206062,3777.12,7444.88,192,182.5,1.2,8.1,182.4,681.1,558,1.3,2.63,2.43,1,3,-0.4
02a58345o0859c,69.7373193023,-20.6622213953,19.43,0.32,2.88,c,21.707,58345.6285211,3794.5,7483.28,208,180.7,27.4,9.5,179.4,880.6,694.3,1.16,2.56,2.4,1,3,-0.402
02a58345o0876c,69.7373193023,-20.6622213953,>18.06,0,3,c,21.64,58345.6365364,3721.61,7406.41,187,194.5,-47.6,42.6,195.4,-433.6,3093.6,1.02,2.62,2.42,1,3,-0.41
01a58347o0718o,69.7373193023,-20.6622213953,19.61,0.25,3.8,o,22.217,58347.6102891,9260.02,5724,228,182.6,24.7,6.5,183.2,1218.2,491.9,0.92,3.18,2.83,1,3,-0.42
01a58347o0728o,69.7373193023,-20.6622213953,19.43,0.21,4.61,o,22.221,58347.6149039,9243.27,5685.82,201,182.1,30.4,6.6,183,901.4,465.9,0.97,3.14,2.76,1,3,-0.423
01a58347o0748o,69.7373193023,-20.6622213953,19.63,0.27,3.49,o,22.228,58347.6241528,9299.72,5761.77,196,185.4,25.5,7.3,184.3,405.8,636.5,1.17,3.13,2.76,1,3,-0.424
01a58347o0779o,69.7373193023,-20.6622213953,>17.56,0,3,o,22.282,58347.6384907,9320.14,5644.79,285,307.2,77,83.7,302.9,-868.8,7652.9,1.22,3.28,2.83,1,3,-0.453
02a58361o0695o,69.7373193023,-20.6622213953,19.17,0.26,3.73,o,22.214,58361.5980446,2361.1,8048.46,258,177.7,72.7,19.5,180.9,2455.5,1165.3,1.2,2.29,1.99,1,3,-0.43
02a58361o0711o,69.7373193023,-20.6622213953,19.03,0.23,4.17,o,22.218,58361.6054782,2305.69,7971.08,247,179.8,84.7,20.3,179.3,1867.3,963.7,1.08,2.23,2,1,3,-0.428
02a58361o0728o,69.7373193023,-20.6622213953,19.29,0.28,3.46,o,22.221,58361.6147739,2285.59,8087.78,215,177.8,67.2,19.4,179.4,2346.7,1143.3,1.04,2.21,2,1,3,-0.44
01a58363o0759o,69.7373193023,-20.6622213953,19.48,0.34,2.73,o,22.091,58363.6077312,7367.56,5068.59,178,171.4,25.9,9.5,172.4,790.2,678.5,1.07,3.1,2.74,1,3,-0.435
01a58367o0795o,69.7373193023,-20.6622213953,18.99,0.17,5.83,o,22.237,58367.5875077,576.56,4488.13,216,177.2,50.1,8.6,179.4,-605.2,644.7,0.84,2.98,2.64,1,3,-0.44
01a58367o0812o,69.7373193023,-20.6622213953,19.21,0.19,5.38,o,22.24,58367.5953545,557.83,4449.96,198,178.4,39.8,7.4,180.6,2158.1,706,1,3.03,2.7,1,3,-0.431
01a58367o0815o,69.7373193023,-20.6622213953,18.99,0.15,6.86,o,22.237,58367.59674,10209.8,4389.77,216,181.4,50.1,7.3,182.6,1425.4,494.1,1.3,3.02,2.61,1,3,-0.441
01a58367o0829o,69.7373193023,-20.6622213953,19.21,0.19,5.32,o,22.245,58367.6038939,611.24,4529.27,229,180.1,38.3,7.2,182.5,767.6,517.4,0.88,3.13,2.75,1,3,-0.426
01a58367o0832o,69.7373193023,-20.6622213953,19.2,0.18,5.5,o,22.239,58367.6052839,10190.1,4350.05,207,180.2,38.5,7,181.5,1187.4,458.2,0.87,3.1,2.77,1,3,-0.429
01a58367o0846o,69.7373193023,-20.6622213953,18.93,0.14,7.51,o,22.244,58367.6117534,628.1,4413.86,223,179.5,53.3,7.1,180.9,1363.6,480.9,0.95,2.99,2.65,1,3,-0.435
01a58367o0849o,69.7373193023,-20.6622213953,18.94,0.15,6.61,o,22.242,58367.6131487,10246.1,4425.71,217,181.8,48.9,7.4,181.7,869,475,0.64,3.1,2.78,1,3,-0.428
01a58367o0866o,69.7373193023,-20.6622213953,19.13,0.17,6.06,o,22.245,58367.6220161,10264,4308.06,182,182.1,43,7.1,184,1260.4,460.3,0.92,3.02,2.7,1,3,-0.434
02a58369o0795o,69.7373193023,-20.6622213953,18.83,0.14,7.48,o,22.211,58369.5818618,3393.98,5347.06,296,182.3,114.4,15.3,184,1049.4,795,0.79,2.08,1.88,1,3,-0.448
02a58369o0811o,69.7373193023,-20.6622213953,18.83,0.13,8.08,o,22.216,58369.5892187,3410.09,5385.67,314,180.5,111.5,13.8,179.1,408.8,691.1,1.02,2.11,1.91,1,3,-0.442
02a58369o0827o,69.7373193023,-20.6622213953,18.84,0.12,8.75,o,22.219,58369.5966089,3354.24,5308.61,288,181.6,112.9,12.9,181.8,535.6,595.1,1.11,2.1,1.89,1,3,-0.444
02a58369o0843o,69.7373193023,-20.6622213953,19.04,0.14,7.41,o,22.223,58369.6040413,3334.31,5424.28,232,180.9,90.4,12.2,182.2,456.6,687.3,1.12,2.15,1.92,1,3,-0.438
01a58371o0785o,69.7373193023,-20.6622213953,18.95,0.18,5.51,o,22.235,58371.5778884,7168.11,5092.61,239,180,45.7,8.3,180,637.9,637.5,1.21,3.18,2.85,1,3,-0.422
01a58371o0801o,69.7373193023,-20.6622213953,18.61,0.13,8.18,o,22.239,58371.5852692,7150.84,5052.93,247,180.5,58.1,7.1,179.9,541.5,579.6,1.12,3.32,2.98,1,3,-0.414
01a58371o0818o,69.7373193023,-20.6622213953,18.6,0.12,8.23,o,22.24,58371.5931338,7206.26,5129.76,238,180.1,58.4,7.1,179.1,926.1,543.3,0.99,3.32,2.98,1,3,-0.416
01a58371o0834o,69.7373193023,-20.6622213953,19.63,0.26,3.68,o,22.243,58371.6005254,7223.43,5013.13,210,181.3,22.8,6.2,182.5,1803.3,538.1,1.2,3.31,2.98,1,3,-0.416
01a58375o0299o,69.7373193023,-20.6622213953,18.17,0.1,10.15,o,22.022,58375.5550934,398.67,3648.67,233,182.4,82.2,8.1,135.5,-7330.1,579.6,20.04,3.12,2.72,1,3,-0.432
01a58375o0314o,69.7373193023,-20.6622213953,18.29,0.1,10.39,o,22.144,58375.5620105,379.39,3610.99,279,180.4,83.1,8,180,959.9,566.1,0.98,3.09,2.72,1,3,-0.432
01a58375o0319o,69.7373193023,-20.6622213953,19.16,0.22,4.43,o,22.072,58375.5643121,10035.9,3558.81,191,184.4,35,7.9,185.1,1147.8,671,1.21,3.09,2.71,1,3,-0.434
01a58375o0328o,69.7373193023,-20.6622213953,18.45,0.12,8.9,o,22.158,58375.5684649,434.43,3690.05,240,180.9,74.8,8.4,181.8,2452.1,596.9,0.87,3.04,2.67,1,3,-0.435
01a58375o0333o,69.7373193023,-20.6622213953,19.07,0.19,5.38,o,22.165,58375.5707705,10016.9,3519.23,205,182.4,42.5,7.9,184,880.1,590.9,1.09,3.03,2.67,1,3,-0.44
01a58375o0343o,69.7373193023,-20.6622213953,18.75,0.16,6.39,o,22.183,58375.5785096,450.62,3574.89,247,181.9,47.9,7.5,183.6,1000.6,587.1,0.89,3.38,2.98,1,3,-0.409
01a58375o0348o,69.7373193023,-20.6622213953,18.92,0.19,5.38,o,22.085,58375.5808297,10072.3,3594.32,205,180.1,43,8,179.4,542,566.8,0.99,3.11,2.77,1,3,-0.43
01a58375o0362o,69.7373193023,-20.6622213953,18.59,0.18,5.57,o,21.895,58375.5873023,10092.1,3477.59,204,183.9,48.5,8.7,185.3,1781.4,619.1,1.01,3.12,2.79,1,3,-0.43
02a58381o0802o,69.7373193023,-20.6622213953,18.34,0.09,11.17,o,22.22,58381.6272261,312.84,2306.91,338,179.5,162,14.5,178.5,716.3,784.3,1.29,2.19,2.02,1,3,-0.441
02a58381o0835o,69.7373193023,-20.6622213953,18.97,0.29,3.25,o,22.233,58381.64232,290.89,2270.58,226,166.3,74.5,22.9,168.9,1836.7,1455.3,1.06,2.5,2.22,1,3,-0.394
02a58381o0839o,69.7373193023,-20.6622213953,18.17,0.2,5,o,22.239,58381.6441482,9963.78,2331.47,298,164.3,163.4,32.7,178.8,6793.8,2126.8,0.96,2.44,2.15,1,3,-0.42
02a58381o0850o,69.7373193023,-20.6622213953,17.97,0.47,1.83,o,22.365,58381.6492427,9945.32,2292.55,-44,99.5,169.6,92.9,57.5,-16845.7,7432.5,1.13,2.86,2.4,1,3,-0.419
01a58383o0716o,69.7373193023,-20.6622213953,18.71,0.22,4.5,o,22.176,58383.5524087,7197.13,2529.26,224,182,47.7,10.6,185.3,2552.9,826.6,0.94,3.34,3.07,1,3,-0.427
01a58383o0750o,69.7373193023,-20.6622213953,18.41,0.15,6.9,o,22.204,58383.5684862,7181.44,2489.79,255,170.3,69.7,10.1,171.2,2248.6,875.2,0.98,3.29,2.94,1,3,-0.41
01a58383o0764o,69.7373193023,-20.6622213953,18.79,0.19,5.34,o,22.228,58383.5749437,7234.6,2566.76,187,172.8,48.1,9,172.1,1509,827.5,1.02,3.37,2.98,1,3,-0.417
01a58383o0774o,69.7373193023,-20.6622213953,18.38,0.14,7.41,o,22.237,58383.5795549,7253.75,2450.03,225,180.1,52.6,7.1,178.8,202.5,778.6,1.22,4.5,3.08,1,3,-0.389
02a58385o0781o,69.7373193023,-20.6622213953,18.36,0.25,3.85,o,22.035,58385.5771285,2558.81,7225.57,303,133.7,147.6,38.3,141.3,1901.3,2140.7,1.09,2.11,1.89,1,3,-0.449
02a58385o0802o,69.7373193023,-20.6622213953,18.41,0.44,1.98,o,21.665,58385.5868244,2574.15,7264.11,195,114.5,89.9,45.3,113.7,617.1,2447.5,1.02,2.28,1.97,1,3,-0.435
02a58385o0823o,69.7373193023,-20.6622213953,>17.49,0,3,o,21.313,58385.5964975,2517.52,7185.95,-25,11.3,18.2,76.1,42.5,7511.5,4617.6,1.32,2.27,1.95,1,3,-0.436
02a58385o0844o,69.7373193023,-20.6622213953,18.45,0.22,4.5,o,22.085,58385.6063549,2478.05,7301.64,284,167.6,140.8,31.3,174,2998.3,1578.6,1.67,2.11,1.91,1,3,-0.444
02a58386o0365o,69.7373193023,-20.6622213953,18.24,0.52,1.64,o,21.997,58386.4885207,10056.7,6660.61,590,462,154.4,94.1,473.8,11322,5228.4,1.94,2.13,1.91,1,3,-0.45
02a58386o0382o,69.7373193023,-20.6622213953,17.93,0.58,1.41,o,21.855,58386.4971231,10075.6,6699.46,-177,-78.8,148.4,105.1,-73.1,2885.1,6491.4,1.13,2.34,2.14,1,3,-0.449
02a58386o0397o,69.7373193023,-20.6622213953,>18.03,0,3,o,21.732,58386.5046156,423.27,6653.79,156,-8.1,47,73.4,-0.2,13854.5,4236.8,1.15,2.12,1.94,1,3,-0.461
02a58386o0399o,69.7373193023,-20.6622213953,17.53,0.41,2.17,o,21.868,58386.5057073,10004.1,6619.51,878,149.8,266.4,123,234.2,72835.6,8041.2,2.1,2.14,1.9,1,3,-0.455
02a58386o0414o,69.7373193023,-20.6622213953,18.29,0.41,2.16,o,21.727,58386.5129593,442.15,6691.52,695,570.9,113.6,52.5,578.3,5909.5,3242.8,0.97,2.14,1.93,1,3,-0.452
02a58386o0416o,69.7373193023,-20.6622213953,>17.52,0,3,o,21.802,58386.5140402,9986.48,6735.67,386,166.5,14.1,131.8,170.8,13761.8,5992.4,1.58,2.08,1.88,1,3,-0.473
02a58386o0431o,69.7373193023,-20.6622213953,18.53,0.3,3.12,o,22.08,58386.5215192,387.05,6613.81,208,169.1,123.4,39.6,163.5,-5212.4,2572,0.95,2.17,1.95,1,3,-0.459
02a58386o0448o,69.7373193023,-20.6622213953,17.76,0.47,1.84,o,21.726,58386.5298343,367.39,6729.76,487,390.1,175.2,95,369.5,11416.9,5575.1,1.15,2.2,2,1,3,-0.441
01a58387o0655o,69.7373193023,-20.6622213953,18.64,0.24,4.12,o,22.254,58387.5735774,8306.01,3299.86,201,178.8,49.8,12.1,181.3,2171.9,993.7,1.08,3.54,3.21,1,3,-0.415
01a58387o0676o,69.7373193023,-20.6622213953,18.23,0.17,5.99,o,22.256,58387.5833386,8286.94,3261.32,250,177.6,74.9,12.5,174.6,-304.9,936.4,1,3.54,3.15,1,3,-0.409
01a58387o0697o,69.7373193023,-20.6622213953,18.65,0.23,4.31,o,22.259,58387.5931084,8340.73,3337.74,236,177.2,48.7,11.3,180.9,3320.8,1064.8,1.11,3.61,3.24,1,3,-0.404
01a58387o0718o,69.7373193023,-20.6622213953,18.34,0.17,5.74,o,22.258,58387.602807,8375.22,3220.32,235,178.9,63.1,11,179.3,1947.5,1090,1.23,3.64,3.3,1,3,-0.399
02a58389o0637o,69.7373193023,-20.6622213953,18.55,0.27,3.54,o,22.223,58389.5381055,3311.14,8370.15,303,182.3,115.3,32.6,192.9,5208.6,1904.7,1,2.48,2.08,1,3,-0.407
02a58389o0652o,69.7373193023,-20.6622213953,18.27,0.19,5.18,o,22.226,58389.5450062,3327.68,8408.8,284,176.5,157.9,30.5,181.8,2067.2,1724,0.91,2.38,2.03,1,3,-0.416
02a58389o0667o,69.7373193023,-20.6622213953,18.26,0.18,5.7,o,22.231,58389.5518924,3272.87,8330.95,311,164.3,162.4,28.5,159.7,1445.5,1797.5,1.29,2.36,2,1,3,-0.412
02a58389o0682o,69.7373193023,-20.6622213953,18.5,0.21,4.7,o,22.232,58389.558793,3252.52,8447.38,337,178,130.6,27.8,181,972.1,1560.2,1.07,2.34,2.05,1,3,-0.423
01a58391o0709o,69.7373193023,-20.6622213953,18.77,0.24,4.13,o,22.185,58391.5309126,7702.94,3992.71,203,162.7,46.3,11.2,162.3,385.5,1019.5,0.88,3.38,3.02,1,3,-0.416
01a58391o0730o,69.7373193023,-20.6622213953,18.17,0.14,7.29,o,22.191,58391.5405785,7683.8,3953.69,287,170.3,83.8,11.5,168.1,1063.4,1131.8,0.98,3.31,2.98,1,3,-0.416
01a58391o0759o,69.7373193023,-20.6622213953,18.51,0.19,5.35,o,22.199,58391.5539404,7756.29,3912.55,236,170.1,55.6,10.4,169.6,1054.7,1022.4,0.89,3.76,2.97,1,3,-0.391
01a58391o0765o,69.7373193023,-20.6622213953,18.67,0.2,4.85,o,22.189,58391.5567054,7738.38,4028.78,285,186.4,50.9,10.5,187.4,1228.4,946.6,1.06,3.51,2.94,1,3,-0.402
02a58393o0707o,69.7373193023,-20.6622213953,18.36,0.14,7.31,o,21.947,58393.5270191,3124.31,4979.95,279,172.3,122,16.7,173.6,1323.4,818.6,1.27,2.19,2.02,1,3,-0.445
02a58393o0729o,69.7373193023,-20.6622213953,18.29,0.19,5.25,o,21.619,58393.5374236,3142.02,5017.76,287,256.3,93.9,17.9,258.1,163.5,898.4,1.02,2.23,2.05,1,3,-0.442
02a58393o0760o,69.7373193023,-20.6622213953,18.32,0.09,12.25,o,22.23,58393.5550616,3065.01,5057.51,308,182.9,149.5,12.2,181.5,1966.2,630,1.29,2.36,2.08,1,3,-0.427
02a58393o0767o,69.7373193023,-20.6622213953,18.3,0.08,13.01,o,22.229,58393.5582624,3083.65,4941.05,354,183.5,175.7,13.5,184.9,594.1,663.6,0.88,2.15,1.97,1,3,-0.442
01a58395o0654o,69.7373193023,-20.6622213953,18.5,0.12,8.37,o,22.036,58395.5307977,7872.17,5227.28,229,181.9,56.1,6.7,181.4,1359.6,551.8,1.02,3.28,2.86,1,3,-0.411
01a58395o0669o,69.7373193023,-20.6622213953,18.6,0.13,7.81,o,22.052,58395.5377199,7852.93,5188.21,239,184.7,54.7,7,184.4,885.8,568.5,1.16,3.21,2.78,1,3,-0.416
01a58395o0684o,69.7373193023,-20.6622213953,18.63,0.15,6.74,o,22.003,58395.5446339,7907.43,5263.65,265,180.2,51.9,7.7,180.1,1940.6,580.2,1.3,3.15,2.76,1,3,-0.422
01a58395o0699o,69.7373193023,-20.6622213953,18.37,0.12,8.79,o,22.041,58395.551549,7924.69,5146.95,281,177.8,66.8,7.6,178.2,1889.2,678.7,1.12,3.19,2.8,1,3,-0.42
02a58397o0059c,69.7373193023,-20.6622213953,18.31,0.09,11.89,c,22.313,58397.639825,9449.98,2999.9,265,181.2,95.1,8,178.5,106,601.7,1.08,3.15,2.86,1,3,-0.353
02a58397o0082c,69.7373193023,-20.6622213953,17.73,0.34,2.75,c,22.352,58397.6504502,9430.82,2962.8,412,166.2,193.2,70.2,166.8,-8873,4828.3,0.96,2.94,2.67,1,3,-0.36
02a58401o0696c,69.7373193023,-20.6622213953,18.17,0.06,18.27,c,22.303,58401.5174957,1447.3,6910.83,295,181.6,135.2,7.4,180.2,1080.9,442.8,1.2,2.73,2.54,1,3,-0.398
02a58401o0713c,69.7373193023,-20.6622213953,18.13,0.06,17.7,c,22.307,58401.5253363,1462.37,6948.92,309,181.9,146.9,8.3,180.9,1353.6,549.6,0.99,2.68,2.47,1,3,-0.399
02a58401o0730c,69.7373193023,-20.6622213953,18.21,0.06,17.72,c,22.311,58401.5332218,1406.55,6871.66,321,181.9,132.9,7.5,182.3,1565.4,424.5,0.98,2.71,2.51,1,3,-0.396
02a58401o0747c,69.7373193023,-20.6622213953,18.25,0.06,17.31,c,22.313,58401.5410409,1386.2,6987.84,283,182,128.1,7.4,181.9,1443.6,434.8,1.1,2.72,2.51,1,3,-0.394
01a58403o0754o,69.7373193023,-20.6622213953,18.26,0.09,11.11,o,22.237,58403.6186998,1309.89,5137.74,283,182,88.9,8,185.3,2221.8,497.9,0.95,3.13,2.81,1,3,-0.433
01a58403o0775o,69.7373193023,-20.6622213953,18.27,0.09,11.28,o,22.236,58403.628406,1346.28,5173.05,279,183.2,89.1,7.9,181.2,684,640.4,0.85,3.16,2.77,1,3,-0.423
01a58403o0798o,69.7373193023,-20.6622213953,18.33,0.14,7.29,o,22.235,58403.6391004,1271.57,5095.33,301,185.9,81.7,11.2,187.5,2376.4,904,1.11,3.15,2.83,1,3,-0.435
01a58403o0820o,69.7373193023,-20.6622213953,17.53,0.41,2.19,o,22.302,58403.6493211,1253.81,5210.94,290,170.9,160.8,73.4,179,12566.3,7409.6,1.19,3.41,2.89,1,3,-0.481
02a58405o0805c,69.7373193023,-20.6622213953,18.11,0.06,19.24,c,22.308,58405.5981354,321.22,3437.88,333,180,153.9,8,179,585.2,450.3,1.13,2.59,2.43,1,3,-0.423
02a58405o0827c,69.7373193023,-20.6622213953,18.13,0.05,20.32,c,22.302,58405.6083398,303.5,3399.47,328,180.5,152.4,7.5,179,903.4,442.7,1.68,2.57,2.41,1,3,-0.425
02a58405o0833c,69.7373193023,-20.6622213953,18.23,0.06,17.58,c,22.307,58405.6111797,9962.06,3461.18,300,181.5,135.4,7.7,183.5,3039.2,427.2,0.96,2.62,2.45,1,3,-0.423
02a58405o0848c,69.7373193023,-20.6622213953,18.07,0.05,19.86,c,22.301,58405.6180933,359.42,3479.57,378,181.4,160.9,8.1,180.7,1337.8,466,0.9,2.57,2.42,1,3,-0.422
02a58405o0855c,69.7373193023,-20.6622213953,18.34,0.07,15.88,c,22.302,58405.6213849,9925.6,3424.06,297,181.6,122.3,7.7,181.3,1629.7,413.2,1.16,2.61,2.45,1,3,-0.425
02a58405o0870c,69.7373193023,-20.6622213953,18.1,0.05,20.66,c,22.298,58405.6283269,377.76,3364.36,348,180.9,152.9,7.4,179,946.8,475,1.51,2.61,2.45,1,3,-0.415
02a58405o0876c,69.7373193023,-20.6622213953,18.2,0.06,17.89,c,22.307,58405.6310928,9997.19,3504.71,310,181.1,130.6,7.3,179.7,754.6,453.1,1.21,2.77,2.53,1,3,-0.391
02a58405o0898c,69.7373193023,-20.6622213953,18.38,0.1,10.37,c,22.299,58405.6412979,10016.6,3389.11,284,181.4,116.1,11.2,181.7,560.9,742.7,0.99,2.65,2.47,1,3,-0.4055
02a58409o0777o,69.7373193023,-20.6622213953,18.36,0.11,9.07,o,21.761,58409.5787783,6560.24,3230.69,292,178.3,107,11.8,182.2,1572.7,755.4,1.05,2.16,2,1,3,-0.441
02a58409o0799o,69.7373193023,-20.6622213953,18.15,0.09,10.99,o,21.685,58409.5890292,6540.85,3192.52,280,181.6,124.2,11.3,179,385.9,514.9,1.22,2.12,1.98,1,3,-0.445
02a58409o0820o,69.7373193023,-20.6622213953,18.23,0.11,9.33,o,21.651,58409.5987537,6590.6,3275.03,234,181.9,93.3,10,182.1,1111.4,525.7,0.77,2.39,2.14,1,3,-0.403
02a58409o0842o,69.7373193023,-20.6622213953,>17.45,0,3,o,19.106,58409.6089561,6610.42,3159.95,181,181.1,-4.2,10.4,182.6,515.9,583.9,0.85,2.19,2.01,1,3,-0.4385
02a58413o0631o,69.7373193023,-20.6622213953,18.3,0.12,8.34,o,22.228,58413.4978062,9915.23,7030.41,312,178.3,176.9,21.2,182.5,2110.4,1090.1,1.4,2.13,1.97,1,3,-0.443
02a58413o0650o,69.7373193023,-20.6622213953,18.04,0.1,10.51,o,22.225,58413.5065337,9935.03,7070.51,422,180,225,21.4,178,2260.2,1256.4,1.03,2.13,1.96,1,3,-0.453
02a58413o0659o,69.7373193023,-20.6622213953,18.15,0.11,9.35,o,22.226,58413.5106713,9878.85,6992.73,373,178.2,204.8,21.9,177.6,2480,1057.3,1,2.12,1.95,1,3,-0.454
02a58413o0673o,69.7373193023,-20.6622213953,17.82,0.08,13.7,o,22.228,58413.5170764,273.16,7022.39,462,189,268.5,19.6,187,1610.1,1120.8,1.05,2.19,1.98,1,3,-0.438
02a58413o0682o,69.7373193023,-20.6622213953,18.04,0.09,11.64,o,22.231,58413.5211936,9855.37,7106.69,397,185.1,225.9,19.4,186.6,2312.7,1107.3,1.43,2.14,1.97,1,3,-0.434
02a58413o0691o,69.7373193023,-20.6622213953,18.23,0.1,9.98,o,22.228,58413.5253108,290.57,7060.42,407,189.3,184.6,18.5,191.3,2270.5,1031.8,1.02,2.17,1.97,1,3,-0.45
02a58413o0699o,69.7373193023,-20.6622213953,18,0.09,11.76,o,22.228,58413.5289747,235.64,6986.07,450,190.9,232.9,19.8,192,1533.6,1144.4,1.19,2.15,1.95,1,3,-0.452
02a58413o0725o,69.7373193023,-20.6622213953,17.93,0.08,12.76,o,22.23,58413.5412817,212.3,7098.75,403,194.7,246.3,19.3,193.6,2457.6,1177.7,1.24,2.16,1.97,1,3,-0.447
01a58416o0638o,69.7373193023,-20.6622213953,18.22,0.2,4.98,o,22.255,58416.4978066,8553.48,3134.05,264,180,92.1,18.5,180.7,2540.1,1566.2,0.82,3.18,2.83,1,3,-0.425
01a58416o0657o,69.7373193023,-20.6622213953,18,0.15,6.59,o,22.255,58416.5085506,8534.3,3095.92,287,182.2,108.8,16.5,182.5,2074.4,1383.4,0.92,3.26,2.89,1,3,-0.418
01a58416o0676o,69.7373193023,-20.6622213953,18.22,0.19,5.29,o,22.258,58416.5192935,8587.83,3172.21,299,183.6,88.9,16.8,186.8,3610.9,1337,1.01,3.28,2.87,1,3,-0.415
01a58416o0695o,69.7373193023,-20.6622213953,17.94,0.17,6.01,o,22.258,58416.5292934,8599.46,3055.88,220,182.6,94.9,15.8,181.9,1588.4,1189.8,0.9,3.55,3.26,1,3,-0.4
02a58417o0783o,69.7373193023,-20.6622213953,18,0.12,8.38,o,22.231,58417.5614609,264.88,2749.99,405,186.7,201,24,185.6,716.6,1405.7,1.76,2.29,2.15,1,3,-0.439
02a58417o0804o,69.7373193023,-20.6622213953,18.15,0.14,7.01,o,22.227,58417.5711347,247.03,2711.6,353,191.1,180.1,25.7,186.5,-276.6,1652,0.88,2.25,2.1,1,3,-0.449
02a58417o0815o,69.7373193023,-20.6622213953,17.82,0.11,9.71,o,22.234,58417.5762138,9912.15,2776.35,451,186.2,242.7,25,189.2,2383.9,1677.3,0.84,2.3,2.12,1,3,-0.418
02a58417o0825o,69.7373193023,-20.6622213953,17.89,0.12,8.61,o,22.225,58417.580822,303,2790.61,425,180.7,229,26.6,187.9,830.3,1346.4,0.92,2.26,2.09,1,3,-0.446
02a58417o0836o,69.7373193023,-20.6622213953,17.92,0.11,9.07,o,22.228,58417.5859007,9894.22,2737.72,405,183.6,235.7,26,184.7,2033.1,1507.7,1.25,2.2,2.05,1,3,-0.4475
02a58417o0846o,69.7373193023,-20.6622213953,18.03,0.14,7.1,o,22.223,58417.5905427,322.22,2674.77,411,191.2,199.4,28.1,202,4248,2139,0.91,2.26,2.1,1,3,-0.446
02a58417o0857o,69.7373193023,-20.6622213953,17.89,0.11,9.12,o,22.227,58417.5955883,9949.31,2816.98,347,175.4,219.7,24.1,178.7,5234.3,1412.4,1.09,2.31,2.15,1,3,-0.442
02a58417o0878o,69.7373193023,-20.6622213953,18.31,0.17,6.03,o,22.224,58417.6053113,9969.64,2700.46,314,183.1,143,23.7,190.3,3995.6,1327,1.06,2.37,2.2,1,3,-0.433
01a58423o0403o,69.7373193023,-20.6622213953,18.35,0.09,11.27,o,22.234,58423.5750256,3400.17,8085.53,272,182.1,83.4,7.4,184.7,2748.6,487.1,1.48,3.1,2.77,1,3,-0.433
