#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58445o0144o,352.2049,28.360696,>17.04,0.0,3.0,o,21.632,58445.353347,5143.03,10400.1,-167.0,-192.4,24.1,30.1,-186.5,4296.0,4124.5,1.15,5.05,4.52,1.0,3.0,-0.364
01a58445o0148o,352.2049,28.360696,>18.09,0.0,3.0,o,21.932,58445.3553943,4439.16,699.7,108.0,178.7,-9.7,17.9,177.6,-266.3,2140.7,1.08,4.51,4.28,1.0,3.0,-0.373
01a58445o0161o,352.2049,28.360696,>17.39,0.0,3.0,o,22.025,58445.3622455,5174.59,10470.8,-146.0,-184.1,-4.0,20.7,-168.1,13755.7,3711.1,1.07,6.08,5.68,1.0,3.0,-0.294
01a58445o0165o,352.2049,28.360696,>17.58,0.0,3.0,o,21.959,58445.3643634,4470.11,769.63,11.0,121.0,-51.8,19.8,127.4,2896.9,2575.1,1.18,5.51,5.18,1.0,3.0,-0.338
01a58445o0178o,352.2049,28.360696,>17.98,0.0,3.0,o,22.144,58445.3711152,5118.53,10421.8,268.0,292.9,0.9,10.7,296.7,2637.9,1921.5,1.07,6.73,6.43,1.0,3.0,-0.3085
01a58445o0182o,352.2049,28.360696,>17.73,0.0,3.0,o,21.983,58445.3731331,4430.73,720.37,344.0,446.2,-53.4,29.3,445.0,1014.3,3473.4,1.19,4.34,3.96,1.0,3.0,-0.39
01a58445o0195o,352.2049,28.360696,None,None,None,o,21.688,58445.3799561,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.306
01a58445o0199o,352.2049,28.360696,>17.74,0.0,3.0,o,21.859,58445.3820463,4429.48,864.76,222.0,171.7,19.0,20.1,169.5,-481.4,3513.5,1.1,4.84,4.58,1.0,3.0,-0.347
01a58449o0269o,352.2049,28.360696,>20.39,0.0,3.0,o,22.213,58449.304163,7021.39,7896.72,175.0,180.9,-7.8,5.7,180.5,393.0,421.5,1.0,3.25,2.89,1.0,3.0,-0.425
01a58449o0288o,352.2049,28.360696,>20.28,0.0,3.0,o,22.209,58449.3137136,7049.54,7970.88,177.0,180.5,2.0,6.2,179.3,-170.5,558.9,1.19,3.28,2.9,1.0,3.0,-0.422
01a58449o0307o,352.2049,28.360696,>20.17,0.0,3.0,o,22.21,58449.3232522,7009.14,7928.1,162.0,180.7,-19.6,7.3,181.8,768.7,642.2,1.21,3.16,2.83,1.0,3.0,-0.428
