###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,Sky,ZP,Obs
58464.531188,20.353,0.526,26,14,o,0,1.17,127.22267,1.11075,3277.60,3624.32,4.21,3.73,-9.2,-0.373,19.14,21.33,01a58464o0727o
58464.539221,-23.167,6.500,-2,13,o,0,1.09,127.22267,1.11075,3337.60,3672.89,3.65,3.06,-87.8,-0.404,19.30,21.39,01a58464o0744o
58464.523057,22.815,5.333,3,14,o,0,0.91,127.22267,1.11075,3296.87,3693.37,3.87,3.59,-2.8,-0.381,19.14,21.30,01a58464o0710o
58468.530986,-20.253,0.523,-29,15,o,0,0.75,127.22267,1.11075,9190.06,1574.38,3.42,2.91,-85.1,-0.413,19.33,21.26,01a58468o0716o
58468.522065,21.549,1.459,9,13,o,0,1.23,127.22267,1.11075,9169.39,1725.92,3.49,3.05,-85.7,-0.409,19.27,21.23,01a58468o0698o
58468.504188,20.278,0.614,28,17,o,0,0.95,127.22267,1.11075,9126.89,1751.13,4.27,3.41,-4.8,-0.395,19.11,21.20,01a58468o0662o
58468.513175,21.056,1.217,14,17,o,0,0.84,127.22267,1.11075,9108.35,1679.57,3.86,3.44,-9.6,-0.417,19.14,21.19,01a58468o0680o
58470.506565,21.720,1.803,7,13,o,0,1.26,127.22267,1.11075,1875.14,1146.70,2.20,1.97,14.0,-0.442,19.36,20.29,02a58470o0664o
58464.547338,24.268,17.333,1,12,o,0,1.11,127.22267,1.11075,3357.15,3526.59,3.63,2.96,-87.9,-0.410,19.32,21.38,01a58464o0761o
58470.514872,20.906,0.871,16,14,o,0,0.93,127.22267,1.11075,1892.67,1184.52,2.14,1.95,36.2,-0.450,19.42,20.40,02a58470o0681o
58474.500436,-22.077,5.283,-5,28,o,0,1.16,127.22267,1.11075,1880.37,7017.80,2.15,1.93,-34.7,-0.445,18.66,18.87,02a58474o0664o
58470.532010,-22.142,2.681,-5,14,o,0,0.68,127.22267,1.11075,1814.72,1227.76,2.20,2.01,27.4,-0.447,19.54,20.70,02a58470o0715o
58472.495505,21.628,2.500,8,20,o,0,1.13,127.22267,1.11075,5218.15,1764.37,3.40,3.01,-81.4,-0.411,18.77,19.97,01a58472o0644o
58472.503562,21.583,2.421,8,20,o,0,1.17,127.22267,1.11075,5199.87,1696.06,3.44,2.91,-86.9,-0.420,18.79,19.98,01a58472o0661o
58472.519953,-21.117,1.732,-13,22,o,0,0.94,127.22267,1.11075,5279.49,1597.14,3.56,2.95,-86.0,-0.414,18.80,20.04,01a58472o0695o
58474.509055,-23.433,18.400,-2,28,o,0,1.42,127.22267,1.11075,1827.50,6938.39,2.16,1.94,8.0,-0.448,18.64,18.89,02a58474o0682o
58474.517941,20.118,0.823,33,27,o,0,1.25,127.22267,1.11075,1805.10,7054.59,2.12,1.91,3.7,-0.455,18.66,18.90,02a58474o0701o
