#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58450o0894o,127.22266,1.1106975,>20.03,0.0,3.0,o,22.232,58450.6282914,5708.53,7152.99,184.0,179.0,4.4,16.8,175.9,-1295.1,1169.7,1.01,2.22,2.04,1.0,3.0,-0.448
02a58450o0915o,127.22266,1.1106975,20.5,0.62,1.31,o,22.232,58450.6383886,5689.56,7116.87,186.0,177.5,21.2,16.2,176.2,352.5,821.7,0.92,2.25,2.07,1.0,3.0,-0.442
02a58450o0936o,127.22266,1.1106975,>19.95,0.0,3.0,o,22.23,58450.6484014,5746.55,7194.49,189.0,180.5,12.7,16.9,177.7,402.5,941.9,0.96,2.3,2.1,1.0,3.0,-0.441
02a58450o0957o,127.22266,1.1106975,>19.69,0.0,3.0,o,22.231,58450.6584895,5764.59,7079.11,179.0,177.4,-1.0,21.4,180.1,577.9,1528.3,1.29,2.3,2.11,1.0,3.0,-0.442
01a58452o0602o,127.22266,1.1106975,>20.25,0.0,3.0,o,22.245,58452.626902,5226.58,1304.87,167.0,184.5,-3.9,6.0,186.5,1285.4,578.1,1.33,3.41,3.08,1.0,3.0,-0.4
01a58452o0621o,127.22266,1.1106975,20.29,0.48,1.78,o,22.242,58452.6360217,5174.26,1265.34,217.0,184.0,10.5,5.9,184.2,842.4,516.5,1.04,3.6,3.28,1.0,3.0,-0.398
01a58452o0640o,127.22266,1.1106975,>20.08,0.0,3.0,o,22.207,58452.6450563,5160.89,1416.83,174.0,183.1,3.3,6.9,181.7,322.7,545.3,1.12,3.4,3.03,1.0,3.0,-0.404
02a58454o0906c,127.22266,1.1106975,>20.64,0.0,3.0,c,22.332,58454.6151059,4642.05,5894.31,182.0,181.7,-3.4,6.5,181.6,71.1,408.0,1.07,2.8,2.61,1.0,3.0,-0.425
02a58454o0925c,127.22266,1.1106975,>20.53,0.0,3.0,c,22.33,58454.6241986,4622.26,5855.56,213.0,182.2,4.2,6.1,182.9,241.7,435.3,1.14,3.01,2.85,1.0,3.0,-0.412
02a58454o0944c,127.22266,1.1106975,21.02,0.55,1.5,c,22.331,58454.6333742,4680.27,5935.7,185.0,182.3,8.7,5.8,181.3,-47.7,389.2,1.24,2.9,2.74,1.0,3.0,-0.416
02a58454o0963c,127.22266,1.1106975,>20.56,0.0,3.0,c,22.327,58454.6426034,4699.57,5818.92,191.0,182.0,-16.7,6.1,182.5,55.1,386.9,1.02,2.98,2.81,1.0,3.0,-0.41
01a58456o0703o,127.22266,1.1106975,>20.23,0.0,3.0,o,22.257,58456.5533818,7178.68,4848.4,169.0,181.4,-0.1,5.6,179.6,-421.7,413.5,1.01,3.57,3.24,1.0,3.0,-0.399
01a58456o0721o,127.22266,1.1106975,20.91,0.65,1.22,o,22.258,58456.5621705,7160.08,4779.56,197.0,181.9,6.6,5.4,181.9,281.3,471.6,0.97,3.47,3.12,1.0,3.0,-0.403
01a58456o0739o,127.22266,1.1106975,>20.28,0.0,3.0,o,22.259,58456.5711622,7219.32,4820.92,181.0,181.3,-0.7,5.9,182.4,720.3,438.8,0.97,3.46,3.03,1.0,3.0,-0.407
01a58456o0757o,127.22266,1.1106975,>20.38,0.0,3.0,o,22.259,58456.5799872,7239.72,4672.55,174.0,181.3,-3.4,5.1,180.7,148.5,395.8,1.22,3.55,3.13,1.0,3.0,-0.405
02a58458o0452c,127.22266,1.1106975,>20.82,0.0,3.0,c,22.319,58458.5623278,3787.55,8920.02,183.0,181.8,-3.5,5.9,183.1,25.9,432.6,1.14,2.7,2.49,1.0,3.0,-0.416
02a58458o0471c,127.22266,1.1106975,>20.79,0.0,3.0,c,22.318,58458.572788,6801.85,1597.38,182.0,181.5,-1.4,6.1,181.1,-231.5,371.5,0.86,2.68,2.51,1.0,3.0,-0.426
02a58458o0488c,127.22266,1.1106975,>20.82,0.0,3.0,c,22.319,58458.5820234,6858.8,1675.15,179.0,182.0,3.1,5.9,184.7,831.2,367.1,1.24,2.68,2.51,1.0,3.0,-0.425
02a58458o0506c,127.22266,1.1106975,>20.79,0.0,3.0,c,22.321,58458.5914268,3728.3,8997.03,176.0,182.1,-0.5,6.5,182.9,555.2,455.6,1.14,2.6,2.42,1.0,3.0,-0.422
01a58460o0741o,127.22266,1.1106975,>20.35,0.0,3.0,o,22.254,58460.534011,5253.74,7556.8,156.0,182.6,-8.5,6.1,185.2,853.6,536.9,1.07,3.35,2.83,1.0,3.0,-0.427
01a58460o0758o,127.22266,1.1106975,>20.38,0.0,3.0,o,22.254,58460.5423307,5234.15,7486.83,172.0,182.0,-7.2,5.6,181.8,356.6,478.4,1.31,3.41,2.93,1.0,3.0,-0.416
01a58460o0778o,127.22266,1.1106975,21.04,0.74,1.03,o,22.256,58460.55201,5294.08,7528.18,204.0,181.9,6.3,6.1,180.7,-335.2,484.1,0.95,3.39,2.89,1.0,3.0,-0.42
01a58460o0790o,127.22266,1.1106975,>20.3,0.0,3.0,o,22.257,58460.5575667,5313.64,7392.43,188.0,180.2,5.8,5.9,180.2,681.4,449.7,0.99,3.47,2.96,1.0,3.0,-0.415
02a58462o0773c,127.22266,1.1106975,>20.77,0.0,3.0,c,22.311,58462.5566998,4874.77,3569.82,172.0,182.3,-0.4,5.5,183.6,621.5,378.0,0.95,2.83,2.66,1.0,3.0,-0.407
02a58462o0791c,127.22266,1.1106975,>20.79,0.0,3.0,c,22.312,58462.5658993,4855.29,3534.79,182.0,182.4,-6.5,5.4,181.5,86.0,320.1,1.04,2.82,2.66,1.0,3.0,-0.409
02a58462o0808c,127.22266,1.1106975,20.88,0.46,1.9,c,22.312,58462.5748719,4912.5,3612.53,196.0,181.9,9.5,5.0,183.0,976.9,332.4,1.18,2.94,2.78,1.0,3.0,-0.401
02a58462o0826c,127.22266,1.1106975,>20.71,0.0,3.0,c,22.312,58462.5850388,4925.47,3495.93,186.0,181.8,2.2,5.2,180.8,-67.2,351.5,0.94,2.99,2.82,1.0,3.0,-0.401
01a58464o0710o,127.22266,1.1106975,>20.19,0.0,3.0,o,22.246,58464.5230567,3295.88,3692.27,168.0,178.5,0.2,4.8,177.4,-538.3,437.6,0.87,3.87,3.59,1.0,3.0,-0.381
01a58464o0727o,127.22266,1.1106975,20.42,0.52,1.62,o,22.253,58464.5311881,3276.61,3623.22,163.0,177.8,7.3,4.5,175.2,-1423.8,562.5,1.01,4.21,3.73,1.0,3.0,-0.373
01a58464o0744o,127.22266,1.1106975,>20.35,0.0,3.0,o,22.256,58464.5392213,3336.62,3671.79,180.0,180.9,-1.5,5.2,179.3,-657.7,422.7,1.08,3.65,3.06,1.0,3.0,-0.404
01a58464o0761o,127.22266,1.1106975,>20.43,0.0,3.0,o,22.256,58464.5473376,3356.17,3525.49,181.0,180.2,0.3,5.0,179.0,-586.8,437.8,1.2,3.63,2.96,1.0,3.0,-0.41
01a58468o0662o,127.22266,1.1106975,20.34,0.53,1.61,o,22.249,58468.504188,9125.91,1750.02,186.0,177.6,8.2,5.1,175.9,-606.2,585.6,1.05,4.27,3.41,1.0,3.0,-0.395
