#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58516o0465o,150.093925,-3.0201675,>19.89,0.0,3.0,o,22.248,58516.4808206,9267.39,1362.51,171.0,181.1,-9.6,4.9,182.8,1086.6,520.8,1.22,4.7,3.8,1.0,3.0,-0.345
01a58516o0483o,150.093925,-3.0201675,>19.95,0.0,3.0,o,22.251,58516.4897634,9288.28,1400.03,175.0,182.1,-2.5,5.1,183.1,407.7,515.8,1.2,4.25,3.83,1.0,3.0,-0.357
01a58516o0500o,150.093925,-3.0201675,>19.84,0.0,3.0,o,22.249,58516.4980849,9230.26,1321.84,155.0,180.6,2.1,5.2,180.1,325.2,574.8,0.98,4.73,3.74,1.0,3.0,-0.362
01a58516o0518o,150.093925,-3.0201675,>20.13,0.0,3.0,o,22.25,58516.5068538,9212.7,1436.97,169.0,181.3,-0.2,6.4,185.2,2048.7,456.6,1.05,3.52,3.13,1.0,3.0,-0.407
02a58518o0575c,150.093925,-3.0201675,>20.93,0.0,3.0,c,22.302,58518.4901717,3169.49,3310.62,199.0,182.9,4.5,5.5,181.4,262.3,410.0,1.25,2.65,2.42,1.0,3.0,-0.434
02a58518o0593c,150.093925,-3.0201675,>20.84,0.0,3.0,c,22.307,58518.4991256,3150.14,3272.61,178.0,182.4,-0.0,6.1,183.7,414.8,453.7,1.1,2.62,2.42,1.0,3.0,-0.429
02a58518o0610c,150.093925,-3.0201675,>20.82,0.0,3.0,c,22.307,58518.5075986,3208.08,3352.29,185.0,181.8,-0.5,5.9,181.4,804.0,359.9,1.17,2.67,2.5,1.0,3.0,-0.427
02a58518o0628c,150.093925,-3.0201675,>20.83,0.0,3.0,c,22.3,58518.5166079,3227.61,3237.63,180.0,183.0,-4.9,5.9,184.0,776.0,451.4,1.1,2.66,2.47,1.0,3.0,-0.435
01a58520o0436o,150.093925,-3.0201675,>20.01,0.0,3.0,o,22.235,58520.4786927,7458.85,9159.49,158.0,174.6,-0.1,3.5,174.7,194.1,444.3,1.09,4.95,4.47,1.0,3.0,-0.374
01a58520o0454o,150.093925,-3.0201675,>20.14,0.0,3.0,o,22.245,58520.4876639,7478.88,9195.42,175.0,180.7,0.0,4.1,179.3,-410.7,396.2,0.95,4.48,3.8,1.0,3.0,-0.38
