#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58589o0371o,194.204228333,-30.2889866667,>19.57,0.0,3.0,o,22.072,58589.4117373,5387.99,6660.23,164.0,180.8,17.4,19.6,181.7,1268.7,1106.0,0.93,2.46,2.08,1.0,3.0,-0.421
02a58589o0388o,194.204228333,-30.2889866667,>19.6,0.0,3.0,o,22.072,58589.4196254,5371.81,6623.35,199.0,175.5,-8.6,19.7,178.8,3317.4,1098.3,1.19,2.44,2.03,1.0,3.0,-0.419
02a58589o0404o,194.204228333,-30.2889866667,19.99,0.58,1.42,o,22.07,58589.4269941,5439.09,6702.87,174.0,179.0,27.5,19.4,181.3,2531.5,1044.7,1.07,2.44,2.05,1.0,3.0,-0.422
02a58589o0421o,194.204228333,-30.2889866667,>19.58,0.0,3.0,o,22.071,58589.4348071,5455.21,6588.53,142.0,172.9,5.4,20.2,162.3,-2540.4,1088.2,1.54,2.42,2.02,1.0,3.0,-0.421
01a58595o0551o,194.204228333,-30.2889866667,>19.11,0.0,3.0,o,22.205,58595.4786472,8322.93,5802.2,136.0,178.9,-1.1,18.7,178.3,1076.1,1613.3,1.03,3.21,2.88,1.0,3.0,-0.417
01a58595o0569o,194.204228333,-30.2889866667,>19.06,0.0,3.0,o,22.2,58595.4870395,8340.8,5841.27,221.0,184.6,-22.5,19.9,186.5,-222.9,1540.5,1.07,3.13,2.89,1.0,3.0,-0.418
01a58595o0587o,194.204228333,-30.2889866667,>19.14,0.0,3.0,o,22.192,58595.4954558,8272.57,5763.78,224.0,180.1,-10.5,19.8,182.5,1074.1,1509.2,1.12,2.99,2.81,1.0,3.0,-0.432
01a58595o0605o,194.204228333,-30.2889866667,>19.06,0.0,3.0,o,22.183,58595.5038655,8257.19,5880.91,138.0,183.7,-4.0,21.8,187.0,1936.1,1596.1,1.25,2.94,2.77,1.0,3.0,-0.437
02a58597o0337o,194.204228333,-30.2889866667,>16.91,0.0,3.0,o,22.034,58597.3786327,877.1,10518.8,250.0,150.4,178.1,214.5,110.5,-54421.0,9837.1,0.08,2.48,2.1,1.0,3.0,-0.42
02a58597o0353o,194.204228333,-30.2889866667,>19.87,0.0,3.0,o,22.034,58597.3863067,859.84,10474.7,125.0,176.8,-4.8,16.0,176.1,374.0,1192.5,1.47,2.35,1.96,1.0,3.0,-0.426
02a58597o0358o,194.204228333,-30.2889866667,>20.19,0.0,3.0,o,22.047,58597.3886064,4652.49,841.7,193.0,179.7,1.8,11.7,179.3,-80.0,646.4,1.57,2.36,2.0,1.0,3.0,-0.427
02a58597o0368o,194.204228333,-30.2889866667,None,None,None,o,22.033,58597.3931873,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.422
02a58597o0374o,194.204228333,-30.2889866667,>20.14,0.0,3.0,o,22.048,58597.3959427,4636.95,804.51,168.0,180.9,-7.0,12.0,185.3,638.3,724.9,1.31,2.39,2.02,1.0,3.0,-0.423
02a58597o0384o,194.204228333,-30.2889866667,>19.98,0.0,3.0,o,22.033,58597.4006289,943.88,10445.0,140.0,175.2,8.1,14.9,169.9,-983.0,876.7,0.8,2.33,1.9,1.0,3.0,-0.424
02a58597o0389o,194.204228333,-30.2889866667,>20.17,0.0,3.0,o,22.045,58597.4029193,4704.2,884.56,158.0,180.3,-10.8,12.5,180.8,-573.3,786.7,1.5,2.3,1.95,1.0,3.0,-0.431
02a58597o0392o,194.204228333,-30.2889866667,>20.12,0.0,3.0,o,22.045,58597.4043165,4720.77,767.98,137.0,181.2,-18.7,12.6,181.4,241.1,754.4,1.46,2.35,1.99,1.0,3.0,-0.427
01a58599o0422o,194.204228333,-30.2889866667,>20.23,0.0,3.0,o,22.229,58599.418805,1223.74,4007.32,190.0,180.3,4.9,7.5,181.3,756.5,546.4,1.07,3.09,2.72,1.0,3.0,-0.426
01a58599o0440o,194.204228333,-30.2889866667,21.19,0.74,1.02,o,22.226,58599.42713,1241.22,4044.56,211.0,178.2,6.7,6.6,176.8,101.0,648.4,1.54,2.94,2.62,1.0,3.0,-0.436
01a58599o0457o,194.204228333,-30.2889866667,>20.34,0.0,3.0,o,22.225,58599.4349836,1187.44,3968.91,182.0,181.1,-7.4,8.2,177.5,-1380.5,578.2,0.93,2.75,2.52,1.0,3.0,-0.446
01a58599o0475o,194.204228333,-30.2889866667,>20.35,0.0,3.0,o,22.221,58599.4432888,1174.4,4084.54,144.0,178.2,-10.9,7.4,178.5,-132.9,632.1,1.31,2.85,2.65,1.0,3.0,-0.441
02a58605o0374c,194.204228333,-30.2889866667,>20.46,0.0,3.0,c,22.016,58605.4134814,304.33,4654.33,199.0,181.9,-2.8,6.4,180.3,297.7,387.1,1.38,2.73,2.41,1.0,3.0,-0.389
02a58605o0393c,194.204228333,-30.2889866667,>20.42,0.0,3.0,c,21.965,58605.4224593,289.85,4614.92,171.0,180.7,-2.6,6.0,179.7,460.1,403.6,1.32,2.78,2.49,1.0,3.0,-0.385
02a58605o0394c,194.204228333,-30.2889866667,>20.53,0.0,3.0,c,21.96,58605.4229164,9727.37,4682.3,175.0,182.3,-17.3,5.2,182.1,270.2,356.2,1.31,2.82,2.54,1.0,3.0,-0.383
02a58605o0413c,194.204228333,-30.2889866667,>20.26,0.0,3.0,c,21.821,58605.4317997,341.99,4694.44,150.0,178.4,-11.9,6.0,178.6,200.9,484.8,1.05,2.82,2.5,1.0,3.0,-0.39
02a58605o0414c,194.204228333,-30.2889866667,>20.02,0.0,3.0,c,21.683,58605.4322568,9711.9,4645.11,197.0,180.3,-3.7,6.6,180.9,-0.3,453.1,1.16,2.81,2.5,1.0,3.0,-0.379
02a58605o0432c,194.204228333,-30.2889866667,>20.09,0.0,3.0,c,21.854,58605.4406217,359.48,4578.53,177.0,181.2,-4.3,7.3,180.7,-350.0,496.9,1.0,2.78,2.5,1.0,3.0,-0.389
02a58605o0434c,194.204228333,-30.2889866667,>20.46,0.0,3.0,c,21.982,58605.4415542,9779.89,4722.74,180.0,181.8,-9.1,5.9,182.5,349.0,375.6,1.24,2.77,2.48,1.0,3.0,-0.386
02a58605o0455c,194.204228333,-30.2889866667,>20.41,0.0,3.0,c,21.958,58605.4513384,9798.11,4606.91,205.0,181.8,-14.6,6.1,181.2,107.4,395.9,1.37,2.75,2.47,1.0,3.0,-0.39
