#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58617o0496o,262.088266,23.744208,>20.06,0.0,3.0,o,22.248,58617.4686029,4927.43,6643.73,151.0,181.8,-22.5,8.4,183.9,719.0,708.7,1.24,3.12,2.87,1.0,3.0,-0.418
01a58617o0502o,262.088266,23.744208,>20.16,0.0,3.0,o,22.248,58617.471446,4906.5,6603.55,124.0,181.3,-37.8,7.4,183.8,820.6,532.4,1.42,3.17,2.91,1.0,3.0,-0.416
01a58617o0524o,262.088266,23.744208,>20.01,0.0,3.0,o,22.25,58617.4829619,4966.62,6681.37,174.0,177.5,-14.3,8.3,177.3,-154.3,673.3,0.79,3.21,2.96,1.0,3.0,-0.413
01a58617o0536o,262.088266,23.744208,>20.09,0.0,3.0,o,22.251,58617.4893177,4985.42,6567.25,195.0,177.1,8.0,8.4,176.0,804.6,717.8,0.92,3.11,2.8,1.0,3.0,-0.42
02a58619o0391o,262.088266,23.744208,>20.01,0.0,3.0,o,22.216,58619.4517407,8620.38,7764.05,210.0,181.8,5.3,18.5,184.3,2469.8,884.9,0.73,2.2,1.87,1.0,3.0,-0.443
02a58619o0411o,262.088266,23.744208,>20.16,0.0,3.0,o,22.219,58619.4624594,8633.1,7807.3,145.0,180.5,-35.9,17.0,184.1,1441.2,947.7,1.83,2.14,1.83,1.0,3.0,-0.438
02a58619o0428o,262.088266,23.744208,>20.03,0.0,3.0,o,22.219,58619.4710102,8585.81,7728.5,156.0,182.2,-7.2,18.0,187.0,898.8,1125.9,0.98,2.21,1.89,1.0,3.0,-0.441
02a58619o0441o,262.088266,23.744208,>20.04,0.0,3.0,o,22.22,58619.4774462,8557.19,7849.25,153.0,178.1,2.8,18.4,179.7,913.7,1014.6,1.23,2.18,1.85,1.0,3.0,-0.439
02a58623o0469o,262.088266,23.744208,>17.61,0.0,3.0,o,21.612,58623.4700147,8621.67,7767.14,-141.0,152.7,-241.3,95.5,184.5,14407.5,5609.1,1.35,2.2,1.9,1.0,3.0,-0.465
02a58623o0502o,262.088266,23.744208,>16.25,0.0,3.0,o,21.385,58623.4876597,8581.93,7732.31,-232.0,-318.2,-54.1,79.9,-311.2,9335.9,8785.2,2.4,4.1,3.47,1.0,3.0,0.0
01a58625o0390o,262.088266,23.744208,>19.99,0.0,3.0,o,22.247,58625.4274466,2331.6,370.96,180.0,177.6,6.8,10.3,175.9,-42.1,879.7,1.02,2.91,2.67,1.0,3.0,-0.434
01a58625o0393o,262.088266,23.744208,>16.85,0.0,3.0,o,22.245,58625.4289063,7858.39,10519.2,-290.0,-195.9,54.8,180.4,-256.2,-52744.5,61262.5,0.6,2.94,2.71,1.0,3.0,-0.431
01a58625o0399o,262.088266,23.744208,19.82,0.52,1.64,o,22.247,58625.4318127,7839.61,10482.9,159.0,163.6,23.8,14.5,166.0,3545.0,1161.4,0.51,2.94,2.7,1.0,3.0,-0.43
01a58625o0433o,262.088266,23.744208,>20.01,0.0,3.0,o,22.25,58625.4493149,2306.43,334.43,168.0,176.8,-17.1,10.3,178.8,1441.6,763.2,1.08,2.89,2.65,1.0,3.0,-0.437
01a58625o0444o,262.088266,23.744208,>19.94,0.0,3.0,o,22.252,58625.454877,2368.02,413.82,204.0,179.8,-3.2,10.7,177.8,825.0,873.4,1.11,2.92,2.68,1.0,3.0,-0.435
01a58625o0460o,262.088266,23.744208,>19.94,0.0,3.0,o,22.251,58625.4634635,7916.88,10442.3,189.0,175.2,-0.5,10.7,175.6,194.2,796.0,1.03,2.92,2.7,1.0,3.0,-0.433
01a58625o0461o,262.088266,23.744208,>19.96,0.0,3.0,o,22.252,58625.4639229,2384.77,296.88,161.0,179.0,-17.7,10.8,181.1,-230.8,836.3,0.97,2.87,2.66,1.0,3.0,-0.438
02a58627o0359o,262.088266,23.744208,>20.45,0.0,3.0,o,22.205,58627.4001444,7574.94,3803.8,179.0,185.1,-10.7,10.4,187.0,1529.7,700.3,1.13,2.37,2.04,1.0,3.0,-0.42
02a58627o0398o,262.088266,23.744208,>20.47,0.0,3.0,o,22.212,58627.4196332,7596.66,3843.16,177.0,184.0,-14.6,10.8,183.9,925.0,637.0,0.87,2.31,2.0,1.0,3.0,-0.426
02a58627o0426o,262.088266,23.744208,>20.49,0.0,3.0,o,22.214,58627.4330333,7545.47,3762.54,165.0,184.2,-7.9,11.0,186.6,1365.8,681.6,1.19,2.26,1.96,1.0,3.0,-0.435
02a58627o0445o,262.088266,23.744208,>20.51,0.0,3.0,o,22.215,58627.4430552,7517.79,3885.22,121.0,183.0,-26.0,12.0,184.1,1037.1,584.0,1.31,2.17,1.84,1.0,3.0,-0.445
01a58629o0451o,262.088266,23.744208,>20.31,0.0,3.0,o,22.081,58629.4529347,2322.05,378.54,143.0,181.1,-28.0,6.8,183.7,1776.7,473.0,1.07,2.85,2.64,1.0,3.0,-0.44
01a58629o0470o,262.088266,23.744208,>19.91,0.0,3.0,o,21.911,58629.4628022,2298.94,340.77,148.0,180.3,-24.2,8.0,181.1,-50.6,573.7,1.32,2.92,2.71,1.0,3.0,-0.437
01a58629o0517o,262.088266,23.744208,>19.77,0.0,3.0,o,21.822,58629.485839,2357.53,421.47,204.0,178.3,-2.1,8.8,178.0,430.5,676.6,1.19,2.86,2.62,1.0,3.0,-0.444
