###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,Sky,ZP,Obs
58686.535509,16.812,0.449,684,307,o,0,1.25,36.57713,-9.83593,6733.89,4209.42,2.45,2.11,33.8,-0.432,16.16,16.76,02a58686o0642o
58686.541468,18.897,2.077,100,208,o,0,0.73,36.57713,-9.83593,6677.39,4131.49,2.38,2.09,37.2,-0.411,17.17,17.84,02a58686o0655o
58686.551583,21.468,10.724,9,101,o,0,1.03,36.57713,-9.83593,6657.68,4246.92,2.54,2.13,39.4,-0.404,16.76,17.00,02a58686o0677o
58686.532280,-24.036,57.250,-1,50,o,0,0.92,36.57713,-9.83593,6715.03,4170.59,2.41,2.11,33.4,-0.410,17.33,17.81,02a58686o0635o
58688.616277,-25.008,49.500,-0,18,o,0,1.05,36.57713,-9.83593,8215.85,6587.91,2.96,2.71,-12.1,-0.431,19.04,20.16,01a58688o0782o
58688.599395,23.243,9.300,2,17,o,0,1.28,36.57713,-9.83593,8133.37,6625.48,2.94,2.75,-12.7,-0.432,19.06,20.20,01a58688o0746o
58688.592161,19.980,0.486,37,18,o,0,1.29,36.57713,-9.83593,8153.36,6663.67,3.15,2.98,-17.2,-0.422,18.97,20.16,01a58688o0731o
58690.587726,-20.930,0.772,-15,12,o,0,1.27,36.57713,-9.83593,4592.95,7685.52,2.16,1.86,23.1,-0.440,19.51,20.48,02a58690o0715o
58688.602648,-21.766,2.026,-7,14,o,0,1.37,36.57713,-9.83593,8193.43,6703.59,2.93,2.76,-15.4,-0.434,19.08,20.22,01a58688o0753o
58690.584504,-24.002,12.222,-1,11,o,0,1.14,36.57713,-9.83593,4574.50,7646.93,2.18,1.93,25.9,-0.429,19.45,20.48,02a58690o0708o
58692.537348,22.318,3.048,4,13,o,0,1.26,36.57713,-9.83593,8142.99,6667.27,3.06,2.83,-14.7,-0.424,19.21,20.74,01a58692o0639o
58692.540406,-20.635,0.737,-20,15,o,0,1.33,36.57713,-9.83593,8128.22,6631.92,3.13,2.90,-15.0,-0.422,19.17,20.76,01a58692o0645o
58690.605931,-21.987,1.898,-6,11,o,0,1.24,36.57713,-9.83593,4516.03,7722.95,2.16,1.90,14.2,-0.438,19.46,20.44,02a58690o0754o
58690.594784,20.521,0.441,22,10,o,0,1.77,36.57713,-9.83593,4536.79,7606.89,2.16,1.90,-26.4,-0.438,19.49,20.48,02a58690o0730o
58692.545528,20.961,0.831,15,12,o,0,1.77,36.57713,-9.83593,8187.47,6708.65,3.03,2.74,-15.0,-0.428,19.27,20.78,01a58692o0656o
58694.509951,22.734,4.529,3,13,c,0,0.70,36.57713,-9.83593,4582.59,7688.97,2.80,2.49,41.3,-0.385,19.46,21.39,02a58694o0570c
58692.630480,-19.261,1.262,-72,90,o,0,1.20,36.57713,-9.83593,8181.73,6647.55,3.02,2.84,-12.6,-0.440,17.92,18.57,01a58692o0829o
58694.506734,25.892,62.000,0,10,c,0,1.40,36.57713,-9.83593,4562.96,7649.77,2.65,2.38,41.8,-0.390,19.49,21.33,02a58694o0563c
58694.515481,21.674,1.553,8,12,c,0,0.57,36.57713,-9.83593,4525.97,7611.14,2.74,2.49,41.0,-0.386,19.53,21.45,02a58694o0582c
58692.555642,-22.883,5.615,-3,14,o,0,1.02,36.57713,-9.83593,8209.05,6592.24,3.02,2.80,-13.8,-0.427,19.28,20.82,01a58692o0676o
58694.526523,-23.026,4.000,-2,9,c,0,1.47,36.57713,-9.83593,4507.46,7727.78,2.73,2.50,45.0,-0.383,19.56,21.54,02a58694o0606c
58696.581951,-22.964,5.800,-2,14,o,0,1.02,36.57713,-9.83593,10087.68,6506.74,3.12,2.95,-85.9,-0.416,19.22,21.19,01a58696o0721o
58696.591956,-21.577,1.606,-8,14,o,0,1.39,36.57713,-9.83593,10148.38,6584.84,3.19,3.01,-38.6,-0.409,19.17,21.12,01a58696o0742o
58696.576488,20.381,0.583,26,15,o,0,1.21,36.57713,-9.83593,10106.64,6545.50,3.17,3.00,-81.9,-0.411,19.18,21.14,01a58696o0710o
58700.499136,20.437,0.716,24,17,o,0,1.30,36.57713,-9.83593,10072.31,6518.10,3.35,3.16,-81.1,-0.409,18.97,20.49,01a58700o0553o
58700.495854,20.841,1.172,17,20,o,0,1.16,36.57713,-9.83593,10091.74,6556.36,3.63,3.33,-6.1,-0.389,18.89,20.45,01a58700o0546o
58700.504273,20.385,0.635,26,16,o,0,1.42,36.57713,-9.83593,10134.13,6594.62,3.29,3.11,-63.7,-0.410,19.06,20.55,01a58700o0564o
58700.631677,-23.072,12.500,-2,27,o,0,1.22,36.57713,-9.83593,10135.20,6527.34,3.18,3.03,-12.9,-0.418,18.57,19.57,01a58700o0828o
58700.514442,20.631,0.705,20,14,o,0,1.45,36.57713,-9.83593,10155.46,6475.90,3.20,3.01,-71.3,-0.429,19.11,20.64,01a58700o0585o
58702.518244,17.418,0.032,392,13,c,0,1.22,36.57713,-9.83593,4480.37,5710.32,2.54,2.28,38.1,-0.394,19.64,21.47,02a58702o0583c
58702.521944,17.425,0.031,389,12,c,0,1.57,36.57713,-9.83593,4501.45,5746.58,2.63,2.35,38.0,-0.390,19.63,21.50,02a58702o0590c
58702.527628,17.434,0.031,386,12,c,0,1.30,36.57713,-9.83593,4445.27,5669.77,2.68,2.42,37.5,-0.388,19.59,21.52,02a58702o0602c
58702.537785,17.394,0.030,400,12,c,0,1.38,36.57713,-9.83593,4424.40,5784.92,2.55,2.32,-54.0,-0.399,19.67,21.60,02a58702o0624c
58704.526354,16.959,0.028,598,17,o,0,1.15,36.57713,-9.83593,1775.12,4542.14,3.00,2.80,-11.5,-0.431,19.23,20.73,01a58704o0613o
58704.523099,16.993,0.028,579,16,o,0,1.15,36.57713,-9.83593,1794.84,4580.43,2.97,2.78,-23.0,-0.432,19.30,20.77,01a58704o0606o
58704.531934,17.004,0.031,573,18,o,0,1.09,36.57713,-9.83593,1834.00,4620.50,2.90,2.73,-32.0,-0.436,19.29,20.73,01a58704o0625o
58704.542206,16.944,0.024,606,14,o,0,1.88,36.57713,-9.83593,1853.22,4506.34,3.05,2.86,-14.2,-0.425,19.23,20.87,01a58704o0647o
58706.537877,16.474,0.019,934,18,c,0,1.47,36.57713,-9.83593,4684.18,9629.52,2.57,2.30,41.0,-0.392,19.54,21.33,02a58706o0599c
58706.533768,16.483,0.018,927,16,c,0,2.03,36.57713,-9.83593,4664.58,9590.47,2.57,2.30,40.0,-0.389,19.43,21.05,02a58706o0591c
58706.558317,16.468,0.015,940,14,c,0,2.13,36.57713,-9.83593,4609.22,9667.30,2.54,2.28,36.5,-0.395,19.71,21.64,02a58706o0643c
58706.544376,16.461,0.015,946,14,c,0,1.94,36.57713,-9.83593,4627.42,9550.54,2.50,2.27,39.6,-0.398,19.69,21.63,02a58706o0613c
