#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58686o0635o,36.57712,-9.83594,>18.83,0,3,o,21.524,58686.5322798,6714.01,4169.61,177,202.3,-0.3,23.6,203,3345.4,1378,0.86,2.41,2.11,1,3,-0.41
02a58686o0642o,36.57712,-9.83594,16.8,0.46,1.91,o,20.784,58686.535509,6732.88,4208.44,1493,1202.2,153.3,80.2,1188.3,6575.4,5333.5,0.9,2.45,2.11,1,3,-0.432
02a58686o0655o,36.57712,-9.83594,>16.88,0,3,o,21.433,58686.5414677,6676.37,4130.51,-1880,-1891.3,46.3,133.3,-1896.5,5513.7,8447.5,0.32,2.38,2.09,1,3,-0.411
02a58686o0677o,36.57712,-9.83594,>18.05,0,3,o,21.168,58686.5515832,6656.67,4245.94,553,486.7,1.7,32.7,486.5,961.3,2077.5,0.94,2.54,2.13,1,3,-0.404
01a58688o0731o,36.57712,-9.83594,19.99,0.43,2.05,o,22.248,58688.5921612,8152.38,6662.65,223,183,17.4,8.5,182.1,612.2,639,1.34,3.15,2.98,1,3,-0.422
01a58688o0746o,36.57712,-9.83594,>20.06,0,3,o,22.251,58688.5993946,8132.39,6624.46,209,183.2,1,9.3,182.1,-11.8,742.4,1.28,2.94,2.75,1,3,-0.432
01a58688o0753o,36.57712,-9.83594,>20.09,0,3,o,22.254,58688.6026485,8192.45,6702.57,153,183,-4.1,9.1,181.7,342.2,685.5,1.03,2.93,2.76,1,3,-0.434
01a58688o0782o,36.57712,-9.83594,>20.01,0,3,o,22.259,58688.6162773,8214.87,6586.89,205,181.8,-0.3,9.9,179.8,-1750.1,744.7,1.05,2.96,2.71,1,3,-0.431
02a58690o0708o,36.57712,-9.83594,>20.49,0,3,o,22.184,58690.5845044,4573.48,7645.95,188,182.9,-4.6,11.3,183.6,595.4,575.5,1.07,2.18,1.93,1,3,-0.429
02a58690o0715o,36.57712,-9.83594,>20.47,0,3,o,22.184,58690.5877258,4591.93,7684.54,162,181.9,-15.8,12.1,181.5,214.7,581.2,1.31,2.16,1.86,1,3,-0.44
02a58690o0730o,36.57712,-9.83594,20.53,0.44,1.98,o,22.189,58690.5947841,4535.77,7605.91,192,185.3,22.6,11.4,185.8,784.1,665.9,1.33,2.16,1.9,1,3,-0.438
02a58690o0754o,36.57712,-9.83594,>20.52,0,3,o,22.192,58690.6059311,4515.01,7721.97,176,187.3,-5.9,11.4,186.5,-154.5,736.9,1.2,2.16,1.9,1,3,-0.438
01a58692o0639o,36.57712,-9.83594,>20.27,0,3,o,22.199,58692.5373478,8142.01,6666.25,184,183.2,1.9,6.8,181.9,-43.7,546.2,1.13,3.06,2.83,1,3,-0.424
01a58692o0645o,36.57712,-9.83594,>20.29,0,3,o,22.203,58692.5404055,8127.24,6630.9,223,182.6,-9.4,6.4,183.5,149.9,626,1.57,3.13,2.9,1,3,-0.422
01a58692o0656o,36.57712,-9.83594,20.97,0.72,1.07,o,22.21,58692.5455283,8186.49,6707.63,198,182.8,7.6,7.1,182.9,3.2,595.7,1.43,3.03,2.74,1,3,-0.428
01a58692o0676o,36.57712,-9.83594,>20.24,0,3,o,22.22,58692.5556424,8208.07,6591.22,193,181.8,-1.4,7.3,180.6,-416.1,599.4,1.02,3.02,2.8,1,3,-0.427
01a58692o0829o,36.57712,-9.83594,>18.2,0,3,o,22.253,58692.6304801,8180.75,6646.53,165,190.7,-36.5,48.8,193.2,4105.3,4142.8,1.08,3.02,2.84,1,3,-0.44
02a58694o0563c,36.57712,-9.83594,>20.49,0,3,c,22.089,58694.5067344,4561.94,7648.79,182,181.9,0,6.9,180.9,192.5,429,1.14,2.65,2.38,1,3,-0.39
02a58694o0570c,36.57712,-9.83594,>20.44,0,3,c,22.111,58694.5099506,4581.57,7687.99,189,181,1.9,6.7,183.6,1307.2,469.7,0.94,2.8,2.49,1,3,-0.385
02a58694o0582c,36.57712,-9.83594,>20.47,0,3,c,22.132,58694.5154812,4524.95,7610.16,185,181.9,4.6,6.8,182.9,649.1,432.8,0.66,2.74,2.49,1,3,-0.386
02a58694o0606c,36.57712,-9.83594,>20.6,0,3,c,22.167,58694.5265234,4506.44,7726.8,172,180.8,-1.7,6.2,182,1040.1,417,1.23,2.61,2.61,1,3,-0.383
01a58696o0710o,36.57712,-9.83594,20.3,0.46,1.91,o,22.077,58696.5764885,10105.7,6544.48,195,183.9,11.1,5.8,182.9,637,509.6,1.26,3.17,3,1,3,-0.411
