#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58693o0344o,304.988246667,15.3774577778,>20.41,0.0,3.0,o,22.283,58693.4319771,958.29,5937.06,189.0,186.9,-15.9,6.2,187.8,658.5,516.4,1.58,3.11,2.91,1.0,3.0,-0.434
01a58693o0350o,304.988246667,15.3774577778,>20.4,0.0,3.0,o,22.283,58693.4348539,979.55,5975.74,269.0,188.3,0.6,6.3,188.7,244.5,538.8,2.36,3.11,2.9,1.0,3.0,-0.438
01a58693o0363o,304.988246667,15.3774577778,>20.38,0.0,3.0,o,22.283,58693.4415399,920.37,5897.65,239.0,183.8,-8.5,6.4,185.8,372.2,522.3,1.68,3.11,2.89,1.0,3.0,-0.438
01a58693o0391o,304.988246667,15.3774577778,>20.38,0.0,3.0,o,22.285,58693.455823,904.07,6012.87,211.0,186.8,-8.3,6.5,191.0,2157.7,524.9,2.01,3.09,2.88,1.0,3.0,-0.436
02a58699o0426c,304.988246667,15.3774577778,>20.79,0.0,3.0,c,22.248,58699.4805858,6026.94,2843.31,132.0,183.5,-30.2,6.5,182.7,-124.6,448.6,1.24,2.55,2.31,1.0,3.0,-0.426
02a58699o0432c,304.988246667,15.3774577778,>20.79,0.0,3.0,c,22.287,58699.4836801,6007.09,2804.21,194.0,182.5,-18.9,6.6,184.0,1386.9,490.8,1.21,2.57,2.33,1.0,3.0,-0.428
02a58699o0443c,304.988246667,15.3774577778,>20.43,0.0,3.0,c,21.997,58699.4889488,6064.18,2881.3,193.0,186.4,-41.5,6.9,188.2,382.9,539.8,1.16,2.6,2.37,1.0,3.0,-0.413
02a58699o0460c,304.988246667,15.3774577778,>20.19,0.0,3.0,c,21.853,58699.4992526,6084.09,2764.21,155.0,184.3,-26.8,7.6,186.2,682.4,553.3,1.24,2.58,2.35,1.0,3.0,-0.413
01a58701o0169o,304.988246667,15.3774577778,>20.4,0.0,3.0,o,22.283,58701.4961546,9073.79,5889.62,133.0,182.6,-18.8,6.1,181.3,-215.6,479.2,1.3,3.15,2.95,1.0,3.0,-0.437
01a58701o0179o,304.988246667,15.3774577778,>20.39,0.0,3.0,o,22.282,58701.5013576,9094.67,5927.77,177.0,181.9,-17.2,6.2,181.0,-103.4,475.6,1.45,3.15,2.93,1.0,3.0,-0.437
01a58701o0200o,304.988246667,15.3774577778,>20.49,0.0,3.0,o,22.278,58701.5120189,9041.19,5851.64,185.0,183.1,-30.4,5.7,182.8,376.7,495.6,2.22,3.13,2.91,1.0,3.0,-0.437
01a58701o0207o,304.988246667,15.3774577778,>20.37,0.0,3.0,o,22.275,58701.5152702,9023.67,5968.32,165.0,183.0,1.0,6.2,182.7,481.1,476.3,1.42,3.17,2.93,1.0,3.0,-0.434
02a58703o0233c,304.988246667,15.3774577778,>20.42,0.0,3.0,c,22.32,58703.3460919,4552.49,7725.37,160.0,184.1,-1.5,10.0,185.8,1362.9,658.4,1.59,2.53,2.28,1.0,3.0,-0.419
02a58703o0253c,304.988246667,15.3774577778,>20.36,0.0,3.0,c,22.281,58703.3560735,4568.85,7766.37,137.0,179.6,-11.5,9.1,180.7,55.9,649.1,1.16,2.66,2.43,1.0,3.0,-0.444
02a58703o0265c,304.988246667,15.3774577778,>20.48,0.0,3.0,c,22.323,58703.3623858,4511.42,7688.74,125.0,183.6,-37.6,9.1,185.5,1019.0,555.5,1.62,2.57,2.34,1.0,3.0,-0.413
02a58703o0277c,304.988246667,15.3774577778,>20.51,0.0,3.0,c,22.323,58703.3683182,4491.45,7806.66,162.0,183.6,-8.7,8.9,183.7,459.1,611.7,1.75,2.54,2.34,1.0,3.0,-0.413
01a58705o0190o,304.988246667,15.3774577778,>19.07,0.0,3.0,o,22.109,58705.4022876,8906.42,7935.83,100.0,163.5,-6.9,19.1,157.2,-5399.7,3576.3,1.02,3.04,2.84,1.0,3.0,-0.431
01a58705o0213o,304.988246667,15.3774577778,>18.2,0.0,3.0,o,21.764,58705.4135499,8928.24,7972.61,1.0,169.8,-18.7,28.6,174.2,1286.9,2694.4,1.29,3.16,2.94,1.0,3.0,-0.424
01a58705o0237o,304.988246667,15.3774577778,>19.89,0.0,3.0,o,22.272,58705.4253564,8869.03,7894.38,182.0,184.0,4.8,8.9,185.6,1470.1,779.5,1.22,3.27,3.07,1.0,3.0,-0.418
01a58705o0244o,304.988246667,15.3774577778,>19.95,0.0,3.0,o,22.279,58705.4287075,8852.73,8011.28,172.0,177.5,-20.7,9.3,177.3,342.7,789.3,1.24,3.13,2.93,1.0,3.0,-0.431
02a58707o0643c,304.988246667,15.3774577778,19.51,0.48,1.8,c,22.241,58707.5452549,7351.51,9158.29,162.0,181.8,39.9,22.2,181.7,2852.5,1808.5,1.4,2.67,2.4,1.0,3.0,-0.406
02a58707o0649c,304.988246667,15.3774577778,>19.26,0.0,3.0,c,22.237,58707.5482307,7331.53,9119.21,183.0,181.4,15.8,24.1,189.4,2320.0,1551.4,1.0,2.7,2.39,1.0,3.0,-0.408
02a58707o0661c,304.988246667,15.3774577778,19.36,0.39,2.33,c,22.228,58707.553771,7393.15,9196.23,183.0,183.3,45.0,19.3,178.1,2125.7,1309.0,1.28,2.55,2.55,1.0,3.0,-0.394
02a58707o0684c,304.988246667,15.3774577778,18.66,0.15,6.71,c,22.199,58707.5656204,7410.7,9079.48,224.0,179.0,76.5,11.4,180.6,977.9,924.3,1.25,2.8,2.56,1.0,3.0,-0.386
01a58709o0312o,304.988246667,15.3774577778,>17.04,0.0,3.0,o,21.983,58709.3758347,8900.42,7939.68,48.0,86.2,26.1,108.9,90.3,-3537.2,8409.4,1.13,3.1,2.81,1.0,3.0,-0.448
01a58709o0318o,304.988246667,15.3774577778,>16.91,0.0,3.0,o,21.861,58709.3787358,8922.06,7977.12,-41.0,-80.8,-51.8,109.7,-70.6,11136.8,8198.3,1.16,3.1,2.82,1.0,3.0,-0.45
01a58709o0331o,304.988246667,15.3774577778,>16.85,0.0,3.0,o,21.488,58709.3854656,1682.74,2647.98,-144.0,221.5,-27.5,76.6,196.4,-20724.5,6575.6,1.29,3.19,2.92,1.0,3.0,-0.46
01a58709o0351o,304.988246667,15.3774577778,>16.41,0.0,3.0,o,21.798,58709.3956295,8846.78,8013.28,374.0,201.7,-45.3,171.5,247.2,23352.8,12293.4,1.19,3.03,2.74,1.0,3.0,-0.455
02a58711o0321o,304.988246667,15.3774577778,16.85,0.6,1.35,o,21.709,58711.3932554,7379.99,9160.89,432.0,651.5,371.2,275.1,660.5,22360.2,17995.1,0.84,2.29,2.03,1.0,3.0,-0.46
02a58711o0363o,304.988246667,15.3774577778,>15.57,0.0,3.0,o,21.531,58711.4141039,7427.94,9079.7,1285.0,705.8,22.5,492.2,642.8,-2136.2,30334.6,0.91,2.41,2.04,1.0,3.0,-0.452
01a58712o0496o,304.988246667,15.3774577778,18.07,0.13,7.57,o,22.259,58712.4572161,7515.07,3601.76,293.0,178.6,83.3,11.0,180.7,2754.9,1093.3,1.35,3.58,3.32,1.0,3.0,-0.392
01a58712o0502o,304.988246667,15.3774577778,18.32,0.19,5.25,o,22.259,58712.4600551,7534.98,3639.39,314.0,170.1,74.0,14.1,169.6,2481.5,1337.3,0.85,3.37,3.1,1.0,3.0,-0.41
01a58712o0516o,304.988246667,15.3774577778,18.38,0.21,4.78,o,22.212,58712.466677,7476.78,3563.3,211.0,172.9,68.4,14.3,169.7,2149.4,1539.2,1.23,3.34,3.08,1.0,3.0,-0.411
01a58712o0538o,304.988246667,15.3774577778,18.56,0.29,3.28,o,22.168,58712.4769655,7460.24,3681.0,225.0,144.1,39.7,12.1,145.2,2954.2,1323.0,1.68,3.99,3.74,1.0,3.0,-0.372
01a58713o0486o,304.988246667,15.3774577778,17.83,0.08,12.85,o,22.272,58713.4573339,7509.77,3602.06,340.0,180.8,149.1,11.6,181.2,1515.9,718.1,1.21,2.93,2.72,1.0,3.0,-0.444
01a58713o0494o,304.988246667,15.3774577778,18.06,0.1,10.2,o,22.269,58713.4610478,7530.34,3640.1,291.0,178.5,117.3,11.5,176.1,1656.3,860.0,1.11,2.98,2.75,1.0,3.0,-0.441
01a58713o0506o,304.988246667,15.3774577778,18.45,0.14,7.04,o,22.266,58713.4665919,7470.96,3564.63,290.0,181.7,78.1,11.1,181.7,-139.7,943.8,1.19,3.05,2.85,1.0,3.0,-0.432
01a58713o0527o,304.988246667,15.3774577778,18.28,0.12,8.22,o,22.264,58713.4770759,7455.23,3681.76,290.0,180.3,98.6,12.0,182.8,2543.4,922.4,1.03,2.94,2.69,1.0,3.0,-0.445
02a58719o0201o,304.988246667,15.3774577778,18.15,0.06,17.58,o,22.244,58719.3666122,7669.15,4795.52,348.0,181.7,189.9,10.8,183.9,1566.9,543.7,1.89,2.27,1.97,1.0,3.0,-0.469
02a58719o0207o,304.988246667,15.3774577778,17.94,0.05,20.79,o,22.245,58719.3694664,7649.31,4758.03,390.0,181.7,232.8,11.2,181.2,1712.7,524.6,1.62,2.24,1.96,1.0,3.0,-0.472
02a58719o0230o,304.988246667,15.3774577778,18.06,0.06,18.91,o,22.243,58719.3809719,7702.19,4834.16,348.0,181.8,206.1,10.9,182.9,1685.9,484.5,1.85,2.27,1.97,1.0,3.0,-0.467
02a58719o0251o,304.988246667,15.3774577778,18.23,0.06,16.28,o,22.243,58719.3915088,7717.53,4718.23,379.0,182.8,179.1,11.0,183.3,1483.0,474.3,1.58,2.24,1.95,1.0,3.0,-0.47
01a58721o0073o,304.988246667,15.3774577778,18.22,0.06,17.36,o,22.359,58721.2481341,9892.99,687.93,303.0,182.3,232.6,13.4,191.8,4374.6,539.6,2.1,2.1,1.78,1.0,3.0,-0.485
01a58721o0093o,304.988246667,15.3774577778,18.3,0.08,13.02,o,22.024,58721.2582128,9872.84,646.76,326.0,183.8,157.6,12.1,184.3,1931.2,594.0,1.67,1.95,1.95,1.0,3.0,-0.468
01a58721o0121o,304.988246667,15.3774577778,18.17,0.06,18.98,o,22.37,58721.2725914,9932.59,722.99,394.0,181.6,244.8,12.9,185.1,4104.0,506.3,2.4,2.07,1.8,1.0,3.0,-0.488
01a58721o0127o,304.988246667,15.3774577778,18.13,0.06,19.22,o,22.366,58721.2754351,9953.69,607.3,393.0,178.1,251.8,13.1,179.5,2196.3,606.8,3.49,2.09,1.8,1.0,3.0,-0.49
02a58723o0030c,304.988246667,15.3774577778,19.5,0.16,6.28,c,22.318,58723.2605506,8975.34,9955.08,210.0,181.5,47.7,7.6,181.0,269.3,498.2,1.03,2.5,2.26,1.0,3.0,-0.439
02a58723o0037c,304.988246667,15.3774577778,19.2,0.12,8.32,c,22.321,58723.2637963,8995.48,9996.59,242.0,181.2,63.2,7.6,183.2,953.1,448.4,1.55,2.48,2.25,1.0,3.0,-0.443
02a58723o0048c,304.988246667,15.3774577778,19.39,0.15,6.9,c,22.322,58723.2689717,8935.46,9918.97,237.0,182.4,53.8,7.8,182.7,240.0,488.6,1.32,2.46,2.24,1.0,3.0,-0.446
02a58723o0072c,304.988246667,15.3774577778,19.25,0.13,7.69,c,22.326,58723.2814253,8914.18,10036.5,236.0,180.5,61.5,8.0,181.1,1888.2,463.8,1.75,2.47,2.24,1.0,3.0,-0.444

