#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58688o0678o,3.81332,-8.1894075,>20.09,0.0,3.0,o,22.263,58688.5660771,10143.9,9850.54,162.0,189.0,-19.3,9.3,192.6,919.0,728.7,1.36,2.94,2.7,1.0,3.0,-0.435
01a58688o0685o,3.81332,-8.1894075,>20.11,0.0,3.0,o,22.264,58688.5694146,10122.7,9811.68,179.0,190.5,-8.6,8.7,189.2,213.6,830.0,1.13,3.02,2.77,1.0,3.0,-0.432
01a58688o0698o,3.81332,-8.1894075,>20.11,0.0,3.0,o,22.264,58688.5756676,10184.3,9886.99,189.0,193.4,-3.1,9.0,191.1,-343.2,780.9,1.05,2.95,2.75,1.0,3.0,-0.433
01a58688o0722o,3.81332,-8.1894075,>20.13,0.0,3.0,o,22.265,58688.5876989,10202.5,9768.94,161.0,187.0,2.0,8.5,187.9,149.1,722.3,1.18,3.0,2.79,1.0,3.0,-0.429
01a58688o0806o,3.81332,-8.1894075,>18.96,0.0,3.0,o,22.276,58688.6284986,356.09,762.12,222.0,186.7,0.3,25.4,185.7,913.5,2117.3,1.2,3.0,2.78,1.0,3.0,-0.44
02a58690o0540o,3.81332,-8.1894075,>20.6,0.0,3.0,o,22.188,58690.5033595,2664.77,4463.11,194.0,180.9,4.5,9.8,180.6,-0.7,563.8,1.2,2.29,1.92,1.0,3.0,-0.425
02a58690o0546o,3.81332,-8.1894075,>20.68,0.0,3.0,o,22.189,58690.5065478,2685.97,4501.27,172.0,181.1,-2.6,10.3,178.4,-1270.9,453.7,0.98,2.11,1.85,1.0,3.0,-0.442
02a58690o0561o,3.81332,-8.1894075,20.82,0.49,1.74,o,22.192,58690.5140234,2627.22,4423.77,175.0,181.4,17.7,10.2,178.0,-681.3,533.2,1.02,2.15,1.86,1.0,3.0,-0.437
02a58690o0587o,3.81332,-8.1894075,>20.63,0.0,3.0,o,22.195,58690.526368,2607.73,4540.36,171.0,181.4,6.6,10.2,179.3,-608.9,500.0,1.02,2.2,1.88,1.0,3.0,-0.433
01a58692o0427o,3.81332,-8.1894075,>19.97,0.0,3.0,o,22.172,58692.4344179,10115.8,9864.43,198.0,182.3,-5.4,7.8,180.4,-294.9,608.3,1.14,3.35,2.92,1.0,3.0,-0.408
01a58692o0433o,3.81332,-8.1894075,>20.0,0.0,3.0,o,22.178,58692.4374384,10096.3,9824.86,156.0,179.5,6.7,7.8,180.2,1924.0,673.6,1.18,3.32,2.87,1.0,3.0,-0.411
01a58692o0444o,3.81332,-8.1894075,>20.0,0.0,3.0,o,22.187,58692.4426316,10157.0,9903.06,169.0,181.8,-5.8,7.9,181.5,-351.8,709.3,1.12,3.25,2.91,1.0,3.0,-0.415
01a58692o0465o,3.81332,-8.1894075,>20.03,0.0,3.0,o,22.202,58692.452852,10178.1,9783.12,162.0,180.4,2.8,8.3,180.8,667.6,615.6,1.12,3.17,2.8,1.0,3.0,-0.42
02a58694o0539c,3.81332,-8.1894075,>20.77,0.0,3.0,c,22.251,58694.4953423,2664.81,4463.8,183.0,181.4,-3.0,6.7,181.0,21.8,407.4,1.13,2.55,2.3,1.0,3.0,-0.396
02a58694o0546c,3.81332,-8.1894075,>20.8,0.0,3.0,c,22.254,58694.4985555,2684.29,4502.67,187.0,181.0,0.5,6.7,180.2,-128.2,391.8,1.53,2.51,2.26,1.0,3.0,-0.4
