###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,Sky,ZP,Obs
58623.470015,-17.367,0.380,-410,156,o,0,1.57,262.08824,23.74425,8622.62,7768.05,2.20,1.90,-58.2,-0.465,17.16,17.06,02a58623o0469o
58623.487660,-17.862,1.508,-260,392,o,0,2.31,262.08824,23.74425,8582.89,7733.23,4.10,3.47,0.0,0.000,15.91,16.45,02a58623o0502o
58619.477446,23.263,8.263,2,15,o,0,1.69,262.08824,23.74425,8558.14,7850.17,2.18,1.85,45.8,-0.439,19.17,19.77,02a58619o0441o
58619.471010,-21.688,2.205,-8,17,o,0,1.07,262.08824,23.74425,8586.76,7729.42,2.21,1.89,-52.9,-0.441,19.19,19.76,02a58619o0428o
58619.462459,-20.051,0.469,-35,16,o,0,1.68,262.08824,23.74425,8634.05,7808.22,2.14,1.83,-49.0,-0.438,19.19,19.75,02a58619o0411o
58619.451741,21.865,2.463,6,16,o,0,0.92,262.08824,23.74425,8621.33,7764.97,2.20,1.87,-52.6,-0.443,19.15,19.71,02a58619o0391o
58627.419633,-20.848,0.701,-17,12,o,0,0.87,262.08824,23.74425,7597.61,3844.08,2.31,2.00,-78.2,-0.426,19.49,20.69,02a58627o0398o
58627.400144,-21.154,0.838,-12,10,o,0,1.41,262.08824,23.74425,7575.90,3804.72,2.37,2.04,-9.2,-0.420,19.51,20.80,02a58627o0359o
58627.443055,-20.439,0.578,-24,14,o,0,0.87,262.08824,23.74425,7518.75,3886.14,2.17,1.84,46.1,-0.445,19.56,20.54,02a58627o0445o
58627.433033,-21.743,1.429,-7,10,o,0,1.44,262.08824,23.74425,7546.42,3763.46,2.26,1.96,-50.8,-0.435,19.52,20.64,02a58627o0426o
58629.462802,-19.435,0.306,-61,19,o,0,1.49,262.08824,23.74425,2299.99,341.85,2.92,2.71,-15.4,-0.437,18.99,20.52,01a58629o0470o
58629.452935,-19.490,0.225,-58,13,o,0,1.14,262.08824,23.74425,2323.10,379.62,2.85,2.64,-18.7,-0.440,19.33,21.17,01a58629o0451o
58629.485839,-21.524,2.086,-9,19,o,0,1.73,262.08824,23.74425,2358.58,422.55,2.86,2.62,-25.5,-0.444,18.75,20.05,01a58629o0517o
58629.489935,-21.106,1.932,-13,25,o,0,1.33,262.08824,23.74425,8175.38,10251.12,2.89,2.64,-30.3,-0.442,18.52,19.67,01a58629o0525o
58629.564259,-21.812,2.237,-7,15,o,0,1.12,262.08824,23.74425,2675.67,90.87,2.86,2.66,-19.1,-0.440,19.28,20.80,01a58629o0671o
58629.591098,22.065,2.433,5,13,o,0,1.28,262.08824,23.74425,2608.20,126.99,2.89,2.69,-45.0,-0.439,19.28,20.79,01a58629o0724o
58631.413643,21.194,0.820,12,10,o,0,1.09,262.08824,23.74425,7578.69,3804.60,2.21,1.87,-48.3,-0.449,19.76,21.22,02a58631o0370o
58631.416887,-21.345,0.764,-10,8,o,0,2.36,262.08824,23.74425,7598.09,3843.37,2.15,1.86,-49.2,-0.447,19.72,21.20,02a58631o0376o
58631.423470,20.875,0.572,16,9,o,0,1.31,262.08824,23.74425,7541.31,3766.01,2.18,1.88,-48.9,-0.445,19.72,21.16,02a58631o0389o
58631.434519,-20.699,0.574,-19,11,o,0,0.96,262.08824,23.74425,7517.52,3882.97,2.18,1.87,-47.4,-0.443,19.73,21.16,02a58631o0412o
58633.534973,-18.863,0.325,-104,34,o,0,1.22,262.08824,23.74425,9461.73,3606.23,2.92,2.74,-17.8,-0.440,17.67,19.40,01a58633o0624o
58633.546751,-20.854,0.675,-16,11,o,0,1.20,262.08824,23.74425,9483.99,3642.86,2.99,2.78,-25.6,-0.427,19.39,21.31,01a58633o0647o
58633.559764,19.733,0.318,46,15,o,0,1.14,262.08824,23.74425,9425.54,3568.90,3.23,3.01,-31.3,-0.414,19.13,21.08,01a58633o0673o
58633.571285,-20.765,0.682,-18,12,o,0,1.34,262.08824,23.74425,9415.98,3686.58,3.15,2.94,-30.3,-0.417,19.37,21.34,01a58633o0696o
58635.484874,19.710,0.189,47,9,c,0,1.31,262.08824,23.74425,2920.58,4790.48,2.56,2.33,-65.0,-0.402,19.81,21.97,02a58635o0519c
58635.473235,21.143,0.733,13,9,c,0,0.95,262.08824,23.74425,7651.81,5751.98,2.53,2.31,-52.7,-0.404,19.84,21.95,02a58635o0496c
58635.495237,20.763,0.472,18,8,c,0,1.11,262.08824,23.74425,2975.75,4865.99,2.53,2.30,-55.0,-0.401,19.84,21.93,02a58635o0538c
58635.498263,20.613,0.407,21,8,c,0,1.11,262.08824,23.74425,2997.23,4749.47,2.55,2.33,-50.1,-0.401,19.86,21.93,02a58635o0544c
58637.375888,22.939,5.545,2,13,o,0,1.23,262.08824,23.74425,1071.62,6924.38,3.26,2.97,-10.3,-0.416,19.31,21.28,01a58637o0039o
58637.402344,20.320,0.539,27,15,o,0,1.17,262.08824,23.74425,1129.88,6848.47,3.10,2.91,-52.8,-0.433,19.22,21.17,01a58637o0091o
58637.390771,20.625,0.657,20,13,o,0,1.15,262.08824,23.74425,1052.18,6887.93,3.10,2.84,-18.5,-0.428,19.43,21.32,01a58637o0069o
