#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58280o0737c,325.887195,43.54955,>19.1,0.0,3.0,c,21.525,58280.5921094,10514.3,6874.25,163.0,175.0,-5.5,15.0,163.3,-5227.0,1223.7,1.2,2.57,2.41,1.0,3.0,-0.428
01a58282o0665o,325.887195,43.54955,19.91,0.36,2.56,o,22.308,58282.593138,10323.6,7308.23,177.0,169.4,20.5,8.0,159.1,-2686.6,643.1,1.74,3.12,2.8,1.0,3.0,-0.458
01a58282o0685o,325.887195,43.54955,20.73,0.66,1.21,o,22.305,58282.6038365,10343.1,7343.69,161.0,167.0,9.4,7.8,160.8,-1246.8,628.3,1.73,3.16,2.82,1.0,3.0,-0.456
01a58282o0706o,325.887195,43.54955,19.61,0.46,1.91,o,22.299,58282.6152549,10282.4,7267.85,189.0,165.4,27.5,14.4,159.3,-1042.8,1180.9,1.61,3.08,2.75,1.0,3.0,-0.453
01a58282o0712o,325.887195,43.54955,18.89,0.42,2.13,o,22.287,58282.618462,389.79,7531.89,216.0,151.2,53.3,25.0,147.9,7.7,1795.5,1.43,3.1,2.75,1.0,3.0,-0.43
02a58284o0750c,325.887195,43.54955,>20.72,0.0,3.0,c,22.349,58284.5976844,7297.23,4164.09,181.0,181.7,-6.8,6.8,180.2,272.3,582.8,1.3,2.66,2.47,1.0,3.0,-0.44
02a58284o0771c,325.887195,43.54955,>20.59,0.0,3.0,c,22.342,58284.6086818,7283.71,4129.76,165.0,180.4,-7.5,7.6,180.9,679.8,509.5,1.65,2.66,2.48,1.0,3.0,-0.437
02a58284o0792c,325.887195,43.54955,>19.12,0.0,3.0,c,22.34,58284.6194599,3140.15,6217.15,176.0,149.9,-20.8,25.7,152.2,-1123.9,1899.8,1.27,2.85,2.65,1.0,3.0,-0.423
01a58286o0661o,325.887195,43.54955,>20.72,0.0,3.0,o,22.255,58286.5744151,2216.28,10496.3,149.0,166.2,-982.1,4.6,88.8,-15689.0,759.3,117.66,3.17,2.83,1.0,3.0,-0.444
01a58286o0681o,325.887195,43.54955,>20.19,0.0,3.0,o,22.268,58286.5851005,2203.93,10456.7,140.0,165.2,3.9,6.9,163.5,-9736.0,593.0,1.47,3.36,2.93,1.0,3.0,-0.439
01a58286o0684o,325.887195,43.54955,>20.26,0.0,3.0,o,22.279,58286.5868121,7258.65,702.04,177.0,178.0,-4.8,6.5,179.8,949.0,574.8,1.8,3.32,2.98,1.0,3.0,-0.435
01a58286o0702o,325.887195,43.54955,17.3,0.61,1.34,o,22.259,58286.5965372,2256.21,10534.2,209.0,149.5,194.0,144.8,-191.1,-184417.0,9989.9,1.04,3.37,2.95,1.0,3.0,-0.43
01a58286o0705o,325.887195,43.54955,>20.25,0.0,3.0,o,22.266,58286.5982547,7239.67,661.75,161.0,179.6,-6.1,6.6,179.9,550.2,532.8,1.87,3.31,2.92,1.0,3.0,-0.439
01a58286o0723o,325.887195,43.54955,>20.18,0.0,3.0,o,22.258,58286.6079812,8241.03,116.93,147.0,168.8,4.9,7.9,164.8,-1540.2,770.1,1.6,3.13,2.74,1.0,3.0,-0.447
01a58286o0726o,325.887195,43.54955,19.79,0.35,2.65,o,22.261,58286.6095261,7292.27,739.44,183.0,179.7,21.2,8.0,174.6,-1337.7,639.1,1.46,3.22,2.82,1.0,3.0,-0.441
01a58286o0747o,325.887195,43.54955,>19.15,0.0,3.0,o,22.267,58286.6197757,3277.31,9947.96,193.0,175.3,-23.9,20.2,172.0,286.3,1680.9,1.08,3.15,2.78,1.0,3.0,-0.437
01a58290o0672o,325.887195,43.54955,None,None,None,o,22.285,58290.5576346,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.422
01a58290o0691o,325.887195,43.54955,20.21,0.44,1.98,o,22.291,58290.5680994,7617.56,820.65,160.0,181.6,11.7,5.9,179.6,-190.5,481.7,1.95,3.59,3.29,1.0,3.0,-0.416
01a58290o0692o,325.887195,43.54955,None,None,None,o,22.285,58290.5685603,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.416
01a58290o0711o,325.887195,43.54955,>20.09,0.0,3.0,o,22.292,58290.5791647,7585.73,777.83,192.0,178.0,4.1,6.3,181.4,1618.2,568.2,1.29,3.65,3.29,1.0,3.0,-0.415
01a58290o0732o,325.887195,43.54955,>20.13,0.0,3.0,o,22.294,58290.5908178,7655.3,858.05,163.0,181.6,-4.8,6.3,178.3,-900.8,544.5,1.83,3.59,3.25,1.0,3.0,-0.414
01a58290o0733o,325.887195,43.54955,>16.74,0.0,3.0,o,22.281,58290.5912776,2598.57,10521.9,148.0,157.6,6.7,134.3,183.8,13235.6,9304.7,0.02,3.66,3.34,1.0,3.0,-0.402
01a58290o0753o,325.887195,43.54955,20.45,0.56,1.49,o,22.291,58290.6005818,7664.83,741.39,205.0,181.4,8.5,5.7,182.1,576.1,536.3,2.27,3.83,3.46,1.0,3.0,-0.398
02a58292o0701o,325.887195,43.54955,19.93,0.3,3.14,o,22.283,58292.5705356,1201.27,7653.69,205.0,181.0,34.8,11.1,186.1,3089.8,616.0,2.13,2.3,2.13,1.0,3.0,-0.473
02a58292o0722o,325.887195,43.54955,>20.46,0.0,3.0,o,22.284,58292.581557,1216.44,7692.79,154.0,182.0,-22.8,10.7,184.8,-601.8,627.0,2.06,2.32,2.16,1.0,3.0,-0.478
02a58292o0743o,325.887195,43.54955,>20.48,0.0,3.0,o,22.283,58292.5924699,1158.99,7611.59,197.0,182.3,7.5,10.2,184.7,2354.3,581.7,2.34,2.36,2.19,1.0,3.0,-0.473
02a58292o0764o,325.887195,43.54955,19.69,0.26,3.69,o,22.284,58292.6043239,1144.08,7727.33,203.0,180.4,45.0,12.2,181.5,1574.6,786.1,1.64,2.17,2.17,1.0,3.0,-0.482
01a58294o0619o,325.887195,43.54955,>19.89,0.0,3.0,o,22.289,58294.5294275,8341.72,1486.56,176.0,179.5,1.8,9.8,180.5,-21.5,807.2,1.4,3.26,2.84,1.0,3.0,-0.434
01a58294o0640o,325.887195,43.54955,>19.94,0.0,3.0,o,22.292,58294.5407577,8322.31,1441.93,139.0,178.0,-15.8,10.3,172.2,-928.2,889.6,1.31,3.09,2.73,1.0,3.0,-0.4465
01a58294o0661o,325.887195,43.54955,20.17,0.54,1.54,o,22.292,58294.5520996,8376.3,1521.84,217.0,177.6,15.4,10.0,173.8,-501.7,831.9,1.3,3.21,2.83,1.0,3.0,-0.44
01a58294o0682o,325.887195,43.54955,>19.99,0.0,3.0,o,22.295,58294.5627544,8400.58,1401.31,222.0,179.9,-12.8,9.8,179.3,-754.8,743.7,1.34,3.11,2.75,1.0,3.0,-0.443
01a58297o0615o,325.887195,43.54955,>15.19,0.0,3.0,o,22.273,58297.5485513,3696.53,10515.5,182.0,110.8,90.3,463.5,118.4,-17586.3,34841.0,0.0,4.01,3.65,1.0,3.0,-0.385
01a58297o0626o,325.887195,43.54955,19.82,0.59,1.39,o,22.279,58297.5542415,3680.26,10475.4,149.0,157.8,17.7,12.7,160.1,1756.2,1210.0,1.2,3.51,3.12,1.0,3.0,-0.413
