#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58255o0536o,332.648545,-27.2496295,>19.93,0.0,3.0,o,22.112,58255.5994912,2241.38,913.07,184.0,172.6,6.2,7.8,173.3,657.6,688.3,0.93,3.39,2.82,1.0,3.0,-0.423
01a58255o0553o,332.648545,-27.2496295,>19.86,0.0,3.0,o,22.015,58255.6074099,2214.47,852.89,177.0,176.6,-4.4,8.5,178.4,236.9,659.8,0.98,3.12,2.75,1.0,3.0,-0.425
01a58255o0556o,332.648545,-27.2496295,None,None,None,o,21.997,58255.6087874,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.418
01a58255o0570o,332.648545,-27.2496295,19.51,0.63,1.27,o,21.77,58255.6153283,2259.1,911.7,190.0,179.0,13.7,10.8,179.5,2415.0,1126.0,1.04,3.66,3.3,1.0,3.0,-0.402
01a58255o0573o,332.648545,-27.2496295,>18.59,0.0,3.0,o,21.773,58255.6167071,9783.04,10482.1,149.0,158.0,-7.1,16.0,162.7,4028.4,1523.4,0.82,3.59,3.27,1.0,3.0,-0.404
02a58257o0795c,332.648545,-27.2496295,>20.45,0.0,3.0,c,22.228,58257.6001804,1265.55,8947.95,190.0,179.5,-3.4,7.0,179.8,-7.3,570.0,1.47,2.71,2.71,1.0,3.0,-0.396
02a58257o0831c,332.648545,-27.2496295,>19.59,0.0,3.0,c,22.254,58257.6167168,1279.16,8987.7,197.0,179.9,12.4,14.8,180.7,-346.7,1206.6,1.38,2.89,2.73,1.0,3.0,-0.385
02a58257o0843c,332.648545,-27.2496295,>18.12,0.0,3.0,c,22.279,58257.6222626,1225.38,8912.42,242.0,186.3,35.8,65.1,181.2,342.5,4504.0,1.14,2.73,2.6,1.0,3.0,-0.402
01a58259o0793o,332.648545,-27.2496295,>20.07,0.0,3.0,o,22.232,58259.5982713,2353.99,1375.71,164.0,169.1,-1.6,7.4,170.2,1162.0,523.6,0.92,3.39,2.92,1.0,3.0,-0.41
01a58259o0810o,332.648545,-27.2496295,>19.94,0.0,3.0,o,22.236,58259.6061194,2328.09,1314.19,180.0,176.2,-2.7,8.0,174.1,-958.2,706.4,0.81,3.44,3.02,1.0,3.0,-0.398
02a58261o0819o,332.648545,-27.2496295,>20.35,0.0,3.0,o,22.192,58261.6020264,1179.89,7995.31,151.0,178.5,-9.8,12.5,178.2,17.3,681.9,1.38,2.2,1.98,1.0,3.0,-0.436
02a58261o0826o,332.648545,-27.2496295,None,None,None,o,22.202,58261.6052725,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.428
02a58261o0843o,332.648545,-27.2496295,None,None,None,o,22.207,58261.6130483,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.427
02a58261o0851o,332.648545,-27.2496295,>19.44,0.0,3.0,o,22.205,58261.6167512,1193.41,8035.02,173.0,173.8,-13.5,27.8,176.4,1237.2,1704.2,1.05,2.26,2.03,1.0,3.0,-0.43
02a58261o0869o,332.648545,-27.2496295,>17.08,0.0,3.0,o,22.241,58261.625051,1122.22,7960.45,-453.0,214.7,-137.6,236.5,221.6,9230.5,13742.8,1.09,2.35,2.08,1.0,3.0,-0.439
01a58263o0769o,332.648545,-27.2496295,>19.99,0.0,3.0,o,22.019,58263.5919015,1049.03,2767.81,173.0,181.0,-18.6,7.3,181.5,20.2,654.3,1.22,3.19,2.79,1.0,3.0,-0.419
01a58263o0786o,332.648545,-27.2496295,>18.4,0.0,3.0,o,20.593,58263.599712,1023.27,2705.4,174.0,175.0,4.2,8.2,176.7,1050.2,707.8,0.97,3.25,2.83,1.0,3.0,-0.422
01a58263o0793o,332.648545,-27.2496295,>18.11,0.0,3.0,o,20.538,58263.6029377,10478.3,2637.13,178.0,174.1,-0.4,10.2,173.3,-182.1,848.8,1.07,3.26,2.82,1.0,3.0,-0.422
01a58263o0803o,332.648545,-27.2496295,>19.3,0.0,3.0,o,21.583,58263.6075854,1066.42,2761.07,220.0,182.3,-2.3,9.3,183.7,1243.4,639.3,0.95,3.18,2.76,1.0,3.0,-0.421
01a58263o0810o,332.648545,-27.2496295,>18.14,0.0,3.0,o,20.615,58263.6108633,10450.4,2575.03,165.0,170.6,-23.5,10.7,171.7,-115.9,889.8,0.94,3.24,2.83,1.0,3.0,-0.423
01a58263o0820o,332.648545,-27.2496295,>17.98,0.0,3.0,o,21.106,58263.6154696,1073.88,2619.41,100.0,163.6,2.3,18.8,152.0,-7745.8,1552.5,0.94,3.28,2.89,1.0,3.0,-0.42
01a58263o0827o,332.648545,-27.2496295,>17.01,0.0,3.0,o,21.177,58263.6187267,10512.9,2625.73,68.0,134.9,-2.4,49.1,161.7,16216.1,3731.0,0.38,3.26,2.89,1.0,3.0,-0.43
02a58269o0686o,332.648545,-27.2496295,>18.93,0.0,3.0,o,22.029,58269.5717119,9572.07,10279.7,77.0,164.4,-46.9,39.2,167.2,-19.9,3210.3,1.15,2.21,2.01,1.0,3.0,-0.446
02a58269o0704o,332.648545,-27.2496295,19.0,0.48,1.82,o,22.013,58269.5800941,9589.24,10321.5,280.0,194.0,68.6,37.7,181.9,115.1,2639.9,0.93,2.27,2.06,1.0,3.0,-0.436
02a58269o0706o,332.648545,-27.2496295,>18.9,0.0,3.0,o,21.921,58269.5810089,2145.17,518.41,183.0,176.7,12.6,31.6,172.3,-1199.4,2058.1,0.91,2.37,2.16,1.0,3.0,-0.453
02a58269o0710o,332.648545,-27.2496295,>18.26,0.0,3.0,o,21.958,58269.5828352,103.88,10321.4,62.0,170.7,-103.9,62.6,184.2,-1596.3,3632.5,0.63,2.31,2.08,1.0,3.0,-0.433
02a58269o0721o,332.648545,-27.2496295,>18.99,0.0,3.0,o,22.064,58269.5879443,9535.26,10242.2,249.0,170.6,-31.1,36.1,185.2,6608.7,2232.4,1.13,2.26,2.08,1.0,3.0,-0.451
02a58269o0724o,332.648545,-27.2496295,>19.22,0.0,3.0,o,22.037,58269.5893415,2161.6,558.68,148.0,166.0,2.1,27.0,170.5,381.0,1676.2,0.93,2.32,2.13,1.0,3.0,-0.4465
02a58269o0728o,332.648545,-27.2496295,>18.96,0.0,3.0,o,22.081,58269.5912184,119.93,10361.2,272.0,203.7,-15.7,35.6,213.9,4111.3,2072.6,0.78,2.34,2.13,1.0,3.0,-0.437
02a58269o0739o,332.648545,-27.2496295,>19.09,0.0,3.0,o,22.083,58269.5963897,9516.74,10361.6,106.0,154.2,-63.5,35.1,164.2,1218.1,1972.9,1.15,2.21,2.03,1.0,3.0,-0.454
02a58269o0741o,332.648545,-27.2496295,>19.15,0.0,3.0,o,22.028,58269.5973042,2107.71,481.11,220.0,175.5,12.6,26.3,177.9,3096.2,1555.8,0.93,2.43,2.21,1.0,3.0,-0.439
02a58269o0745o,332.648545,-27.2496295,>18.02,0.0,3.0,o,22.02,58269.5991815,49.71,10285.5,-37.0,36.5,-32.2,77.9,51.1,4943.1,4351.2,0.47,2.36,2.16,1.0,3.0,-0.4355
02a58269o0759o,332.648545,-27.2496295,>19.07,0.0,3.0,o,21.929,58269.6057234,2089.01,599.77,130.0,174.6,-69.7,29.6,176.8,-1117.5,1681.5,1.26,2.28,2.06,1.0,3.0,-0.447
02a58269o0763o,332.648545,-27.2496295,>17.69,0.0,3.0,o,22.03,58269.6075781,28.07,10405.4,21.0,63.6,-20.5,115.5,52.6,-23736.8,11210.0,0.59,2.26,2.08,1.0,3.0,-0.446
01a58271o0703o,332.648545,-27.2496295,>14.33,0.0,3.0,o,22.052,58271.6206633,1595.04,1343.3,5088.0,5141.0,16.1,1120.4,5346.0,169664.0,72809.7,0.01,3.6,3.04,1.0,3.0,-0.442
02a58273o0725o,332.648545,-27.2496295,16.56,0.51,1.66,o,21.118,58273.5729703,842.41,9275.9,1166.0,530.9,390.3,234.6,546.8,1249.6,15403.5,1.11,2.41,2.12,1.0,3.0,-0.499
