#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58629o0660o,264.234165,21.1047725,20.86,0.68,1.14,o,22.203,58629.5583582,6586.61,5128.72,199.0,184.2,8.1,7.1,187.4,2461.8,530.0,1.41,3.07,2.79,1.0,3.0,-0.429
01a58629o0671o,264.234165,21.1047725,>20.35,0.0,3.0,o,22.212,58629.5642589,6608.04,5168.08,162.0,181.4,-6.9,7.3,179.1,-772.0,595.4,1.4,2.86,2.66,1.0,3.0,-0.44
01a58629o0708o,264.234165,21.1047725,>20.4,0.0,3.0,o,22.234,58629.5826185,6550.71,5090.99,186.0,184.5,-10.5,7.1,184.2,43.4,563.7,1.25,2.87,2.66,1.0,3.0,-0.438
01a58629o0724o,264.234165,21.1047725,20.71,0.55,1.5,o,22.231,58629.5910979,6537.5,5206.51,224.0,181.1,10.5,7.0,178.1,53.5,487.6,1.7,2.78,2.78,1.0,3.0,-0.439
02a58631o0392o,264.234165,21.1047725,20.69,0.52,1.61,o,22.208,58631.4248435,1322.68,8914.4,210.0,182.6,19.7,12.2,180.7,957.7,623.7,1.07,2.17,1.88,1.0,3.0,-0.45
02a58631o0410o,264.234165,21.1047725,20.39,0.38,2.42,o,22.211,58631.4336028,1337.93,8955.92,209.0,182.4,26.6,11.0,180.6,542.9,587.7,1.1,2.15,1.86,1.0,3.0,-0.448
02a58631o0420o,264.234165,21.1047725,>20.57,0.0,3.0,o,22.21,58631.4386795,1287.37,8875.66,172.0,182.9,-4.3,10.6,185.2,415.6,578.4,1.31,2.23,1.91,1.0,3.0,-0.447
02a58631o0440o,264.234165,21.1047725,>20.49,0.0,3.0,o,22.212,58631.4490006,1258.56,8993.83,194.0,184.9,-4.3,11.6,186.9,1377.9,675.0,1.12,2.24,1.88,1.0,3.0,-0.448
01a58633o0399o,264.234165,21.1047725,>20.43,0.0,3.0,o,22.241,58633.4199575,7228.0,1701.43,170.0,180.5,-1.6,6.8,179.7,552.3,528.9,1.48,2.89,2.71,1.0,3.0,-0.435
01a58633o0410o,264.234165,21.1047725,20.35,0.43,2.06,o,22.127,58633.4250966,7207.41,1663.5,178.0,181.5,13.0,6.3,180.0,334.7,435.0,1.33,2.94,2.72,1.0,3.0,-0.43
01a58633o0430o,264.234165,21.1047725,>19.15,0.0,3.0,o,20.937,58633.4356218,7265.16,1741.26,181.0,184.8,-2.8,6.1,184.2,409.8,509.9,1.28,3.03,2.81,1.0,3.0,-0.432
01a58633o0454o,264.234165,21.1047725,>20.04,0.0,3.0,o,21.912,58633.4483198,7281.9,1622.41,143.0,185.0,-4.4,7.4,188.2,793.9,641.4,1.38,2.86,2.65,1.0,3.0,-0.437
02a58635o0360c,264.234165,21.1047725,>20.7,0.0,3.0,c,22.271,58635.4026243,6149.44,682.18,188.0,182.1,6.0,7.4,180.0,-215.4,416.5,1.31,2.52,2.28,1.0,3.0,-0.401
02a58635o0366c,264.234165,21.1047725,>20.78,0.0,3.0,c,22.272,58635.4054224,6168.34,721.74,204.0,183.2,4.7,7.0,183.0,428.2,476.3,1.82,2.49,2.26,1.0,3.0,-0.402
02a58635o0409c,264.234165,21.1047725,>20.9,0.0,3.0,c,22.278,58635.426959,6114.2,645.26,166.0,182.1,-7.8,6.2,185.3,1337.9,340.4,2.0,2.5,2.29,1.0,3.0,-0.4
02a58635o0435c,264.234165,21.1047725,21.63,0.73,1.05,c,22.279,58635.440714,6097.27,765.99,174.0,184.0,6.6,6.3,183.3,-2.1,463.5,1.77,2.51,2.27,1.0,3.0,-0.402
